Fecha;Hora;name;stationId;NO2;CO;OZONO;BBP;SO2;eBC;NOX;NO;PM25;PM10
2025-11-10;01:38;Bolivia;27;18.1;0.62;6.8;;;;30.3;12.2;2.8;12.4
2025-11-10;01:38;Fontibon;30;27.0;0.26;1.0;4.8;-9999.0;1.7;33.9;6.9;4.9;-9999.0
2025-11-10;01:38;Usme;32;10.1;0.2;15.7;;10.3;;11.2;1.0;8.3;26.9
2025-11-10;01:38;Jazmin;34;11.0;0.08;12.2;;1.5;;11.8;0.8;2.9;5.2
2025-11-10;01:38;Ciudad Bolivar;37;-9999.0;0.04;19.3;5.7;1.4;0.7;-9999.0;-9999.0;2.8;9.5
2025-11-10;01:38;Colina;38;62.8;0.7;-9999.0;;0.4;;86.3;23.5;8.0;2.4
2025-11-10;01:38;Movil Fontibon;39;-9999.0;-9999.0;;;;;-9999.0;-9999.0;3.7;10.4
2025-11-10;02:23;Usaquen;1;-9999.0;-9999.0;-9999.0;;-9999.0;;-9999.0;-9999.0;0.0;4.7
2025-11-10;02:23;Carvajal - Sevillana;3;;0.11;;;2.5;;;;8.0;30.0
2025-11-10;02:23;Tunal;4;2.1;-9999.0;20.1;1.5;0.4;0.5;2.7;0.6;7.0;4.0
2025-11-10;02:23;Centro de Alto Rendimiento;5;9.2;0.24;0.0;6.2;1.4;1.1;9.6;0.4;3.5;3.4
2025-11-10;02:23;Las Ferias;6;5.6;0.16;18.3;;;;6.5;0.9;6.0;5.1
2025-11-10;02:23;Guaymaral;8;12.6;0.15;10.4;;0.2;;17.6;5.0;0.0;9.0
2025-11-10;02:23;Kennedy;9;12.4;0.69;15.7;4.5;-0.5;3.0;28.5;16.1;16.7;31.6
2025-11-10;02:23;Suba;11;8.7;0.26;8.1;;0.6;;10.2;1.5;1.0;12.8
2025-11-10;02:23;Puente Aranda;13;15.2;0.13;6.7;0.1;1.2;-9999.0;18.3;3.0;2.7;4.8
2025-11-10;02:23;MinAmbiente;17;4.3;0.28;14.2;;2.5;;4.9;0.6;0.0;0.0
2025-11-10;02:23;San Cristobal;24;1.3;0.13;21.5;0.4;0.8;0.3;1.6;0.3;4.0;2.0
2025-11-10;02:23;Movil 7ma;26;;-9999.0;;;;;;;1.7;20.7
2025-11-10;02:23;Bolivia;27;19.1;0.55;6.8;;;;31.8;12.7;2.7;10.8
2025-11-10;02:23;Fontibon;30;18.6;0.17;7.0;7.1;-9999.0;1.4;19.8;1.2;14.1;-9999.0
2025-11-10;02:23;Usme;32;6.4;0.15;21.4;;7.7;;7.2;0.8;7.7;16.5
2025-11-10;02:23;Jazmin;34;6.6;0.11;17.2;;1.2;;7.1;0.5;2.9;4.5
2025-11-10;02:23;Ciudad Bolivar;37;-9999.0;-0.03;21.0;5.0;1.4;0.4;-9999.0;-9999.0;3.8;7.8
2025-11-10;02:23;Colina;38;62.8;0.7;-9999.0;;0.4;;86.3;23.5;8.0;2.4
2025-11-10;02:23;Movil Fontibon;39;-9999.0;-9999.0;;;;;-9999.0;-9999.0;3.7;16.0
2025-11-10;03:33;Usaquen;1;-9999;-9999;-9999;;-9999;;-9999;-9999;2;1.5
2025-11-10;03:33;Carvajal - Sevillana;3;;0.04;;;18.7;;;;12;26
2025-11-10;03:33;Tunal;4;2.5;-9999;22.7;3.7;0.4;0.3;3.2;0.7;3;3
2025-11-10;03:33;Centro de Alto Rendimiento;5;4.2;0.13;0;3.6;1.4;0.5;4.4;0.2;3.5;4.8
2025-11-10;03:33;Las Ferias;6;2;0.14;22.5;;;;2.9;0.8;5;5
2025-11-10;03:33;Guaymaral;8;12.1;0.14;11.2;;0.3;;16.1;4;3;8
2025-11-10;03:33;Kennedy;9;12.4;0.69;15.7;4.5;-0.5;3;28.5;16.1;16.7;31.6
2025-11-10;03:33;Suba;11;6.1;0.26;10.2;;0.6;;7.4;1.3;3;11.3
2025-11-10;03:33;Puente Aranda;13;13;0.11;11.2;0.1;1;-9999;16.3;3.3;2.5;5.4
2025-11-10;03:33;MinAmbiente;17;0.2;0.2;22.5;;0.9;;0.7;0.5;0;1
2025-11-10;03:33;San Cristobal;24;1.2;0.11;23;20.9;0.9;0.1;1.4;0.3;5;6
2025-11-10;03:33;Movil 7ma;26;;-9999;;;;;;;1.6;17.3
2025-11-10;03:33;Bolivia;27;10.9;0.5;8.3;;;;13.8;2.8;2.7;17
2025-11-10;03:33;Fontibon;30;16.4;0.15;7.2;8;-9999;1.3;17.1;0.6;3;-9999
2025-11-10;03:33;Usme;32;5.7;0.13;22.9;;1.5;;6.8;1.1;9.5;12.6
2025-11-10;03:33;Jazmin;34;2.9;0.08;22.3;;0.8;;3.4;0.6;2.9;3.8
2025-11-10;03:33;Ciudad Bolivar;37;-9999;-0.02;24.5;2.1;1.3;0.6;-9999;-9999;3.6;5.9
2025-11-10;03:33;Colina;38;62.8;0.7;-9999;;0.4;;86.3;23.5;8;2.4
2025-11-10;03:33;Movil Fontibon;39;-9999;-9999;;;;;-9999;-9999;3.6;13
