Fecha;Hora;name;stationId;OZONO;PM25;NO;SO2;eBC;PM10;NO2;BBP;NOX;CO
2025-12-11;01:40;Tunal;4;2.2;0.0;11.1;0.8;2.4;48.0;9.3;1.6;20.4;-9999.0
2025-12-11;01:40;Centro de Alto Rendimiento;5;-9999.0;3.6;5.4;0.2;2.0;12.8;12.3;4.6;17.7;0.25
2025-12-11;01:40;Las Ferias;6;1.2;9.0;8.0;;;8.8;16.2;;24.1;0.3
2025-12-11;01:40;Guaymaral;8;4.1;5.0;2.9;0.5;;42.0;10.8;;13.7;0.13
2025-12-11;01:40;Kennedy;9;0.0;25.0;35.1;1.6;4.2;34.2;23.3;10.4;58.4;0.85
2025-12-11;01:40;Suba;11;0.9;985.0;5.7;0.3;;29.2;13.4;;19.1;0.3
2025-12-11;01:40;Puente Aranda;13;1.0;14.4;18.6;1.1;-9999.0;9.2;19.9;0.1;38.5;0.27
2025-12-11;01:40;MinAmbiente;17;8.9;2.0;4.7;0.3;;9.0;5.3;;9.9;0.33
2025-12-11;01:40;San Cristobal;24;5.5;3.0;-9999.0;0.5;0.5;13.0;-9999.0;0.6;-9999.0;0.23
2025-12-11;01:40;Movil 7ma;26;;3.5;;;;22.8;;;;-9999.0
2025-12-11;01:40;Bolivia;27;1.6;5.6;16.7;;;36.1;19.5;;36.2;0.3
2025-12-11;01:40;Fontibon;30;1.6;13.0;22.1;-9999.0;3.4;-9999.0;20.1;8.7;42.3;0.46
2025-12-11;01:40;Usme;32;6.8;6.0;6.5;6.4;;21.3;13.6;;20.2;0.17
2025-12-11;01:40;Jazmin;34;0.2;5.5;28.6;0.5;;20.9;24.4;;53.0;0.51
2025-12-11;01:40;Ciudad Bolivar;37;2.0;4.6;23.5;1.7;3.9;19.6;27.4;3.9;50.9;0.45
2025-12-11;01:40;Colina;38;-9999.0;8.0;23.5;0.4;;2.4;62.8;;86.3;0.7
2025-12-11;01:40;Movil Fontibon;39;;13.6;-9999.0;;;48.6;-9999.0;;-9999.0;-9999.0
2025-12-11;02:28;Usaquen;1;-9999;6.2;-9999;-9999;;35.3;-9999;;-9999;-9999
2025-12-11;02:28;Carvajal - Sevillana;3;;22;;3;;56;;;;0.49
2025-12-11;02:28;Tunal;4;3.4;0;7.7;0.8;1.7;43;8.5;2.3;16.2;-9999
2025-12-11;02:28;Centro de Alto Rendimiento;5;-9999;3.5;3.3;0.3;1.6;9.1;10.8;4.7;14.2;0.19
2025-12-11;02:28;Las Ferias;6;6.6;9;1.9;;;10.3;9.2;;11.1;0.28
2025-12-11;02:28;Guaymaral;8;1.8;6;11.3;0.7;;20;12;;23.3;0.22
2025-12-11;02:28;Kennedy;9;0;18.5;58.9;1.8;6.3;33.5;23.7;12;82.6;1.08
2025-12-11;02:28;Suba;11;0.8;985;8.7;0.3;;21.6;13.6;;22.4;0.32
2025-12-11;02:28;Puente Aranda;13;0.9;11.1;31.5;1.3;-9999;8.7;23.9;0.1;55.3;0.5
2025-12-11;02:28;MinAmbiente;17;6.4;5;5.7;0.4;;15;5.5;;11.2;0.32
2025-12-11;02:28;San Cristobal;24;3.3;5;-9999;0.4;0.5;9;-9999;4.2;-9999;0.24
2025-12-11;02:28;Movil 7ma;26;;3;;;;21.8;;;;-9999
2025-12-11;02:28;Bolivia;27;1.7;5.4;8.6;;;32.8;15.6;;24.2;0.24
2025-12-11;02:28;Fontibon;30;1.5;15;22.6;-9999;3.9;-9999;20.6;10.3;43.2;0.47
2025-12-11;02:28;Usme;32;1.6;7.5;13.5;3;;30.1;19.1;;32.6;0.23
2025-12-11;02:28;Jazmin;34;0.4;7;16.3;0.5;;25.6;23;;39.3;0.35
2025-12-11;02:28;Ciudad Bolivar;37;11.5;4.8;9.1;1.5;1.5;23.7;11.2;3.1;20.3;0.12
2025-12-11;02:28;Colina;38;-9999;8;23.5;0.4;;2.4;62.8;;86.3;0.7
2025-12-11;02:28;Movil Fontibon;39;;10;-9999;;;34.6;-9999;;-9999;-9999
