Fecha;Hora;name;stationId;Presion Baro;Rad Solar;Lluvia;Humedad;Vel Viento;Temperatura 8M;Temperatura;Dir Viento
2026-01-06;05:29;Usaquen;1;;;0.0;;0.6;;11.4;57.0
2026-01-06;05:29;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;05:29;Tunal;4;562.0;0.0;0.0;89.0;0.9;;;280.0
2026-01-06;05:29;Centro de Alto Rendimiento;5;564.0;0.0;0.1;91.0;1.1;;11.9;302.0
2026-01-06;05:29;Las Ferias;6;563.0;;0.0;85.0;0.4;;11.8;226.0
2026-01-06;05:29;Guaymaral;8;563.0;0.0;0.0;87.0;0.6;10.8;11.1;268.0
2026-01-06;05:29;Kennedy;9;;0.0;0.0;91.1;0.9;;;322.0
2026-01-06;05:29;Suba;11;;;0.0;;0.6;;11.1;9.0
2026-01-06;05:29;Puente Aranda;13;563.0;1.0;0.0;100.0;1.0;;11.7;257.0
2026-01-06;05:29;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;05:29;San Cristobal;24;;0.0;0.0;88.0;1.1;;10.0;116.0
2026-01-06;05:29;Movil 7ma;26;561.0;0.0;0.0;76.3;0.2;;12.4;261.0
2026-01-06;05:29;Bolivia;27;564.0;0.0;0.0;97.0;0.7;;11.6;324.0
2026-01-06;05:29;Fontibon;30;564.0;;0.0;95.0;0.8;;10.9;255.0
2026-01-06;05:29;Usme;32;561.0;0.0;0.0;;;;10.8;
2026-01-06;05:29;Jazmin;34;563.0;0.0;0.0;100.0;1.1;;12.1;283.0
2026-01-06;05:29;Ciudad Bolivar;37;557.0;0.0;0.0;;;;11.4;
2026-01-06;05:29;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;05:29;Movil Fontibon;39;564.0;1.0;;;;;11.0;
2026-01-06;06:23;Usaquen;1;;;0.0;;0.7;;11.5;148.0
2026-01-06;06:23;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;06:23;Tunal;4;563.0;0.0;0.0;89.0;0.4;;;191.0
2026-01-06;06:23;Centro de Alto Rendimiento;5;564.0;0.0;0.0;91.0;1.3;;12.1;304.0
2026-01-06;06:23;Las Ferias;6;563.0;;0.1;85.0;1.5;;11.7;238.0
2026-01-06;06:23;Guaymaral;8;563.0;0.0;0.1;87.0;0.5;11.1;11.5;275.0
2026-01-06;06:23;Kennedy;9;;0.0;0.0;91.6;0.9;;;345.0
2026-01-06;06:23;Suba;11;;;0.0;;0.8;;11.3;3.0
2026-01-06;06:23;Puente Aranda;13;563.0;1.0;0.0;100.0;0.9;;12.0;269.0
2026-01-06;06:23;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;06:23;San Cristobal;24;;0.0;0.0;88.0;0.7;;9.9;107.0
2026-01-06;06:23;Movil 7ma;26;562.0;0.0;0.0;76.6;0.1;;12.8;121.0
2026-01-06;06:23;Bolivia;27;564.0;0.0;0.1;97.0;0.9;;10.7;272.0
2026-01-06;06:23;Fontibon;30;564.0;;0.0;95.0;0.6;;11.1;334.0
2026-01-06;06:23;Usme;32;562.0;0.0;0.0;;;;10.8;
2026-01-06;06:23;Jazmin;34;563.0;0.0;0.1;100.0;0.7;;12.2;307.0
2026-01-06;06:23;Ciudad Bolivar;37;557.0;0.0;0.0;;;;11.3;
2026-01-06;06:23;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;06:23;Movil Fontibon;39;564.0;1.0;;;;;11.6;
2026-01-06;07:54;Usaquen;1;;;0.1;;0.6;;11.9;0.0
2026-01-06;07:54;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;07:54;Tunal;4;563.0;29.0;0.0;89.0;0.4;;;213.0
2026-01-06;07:54;Centro de Alto Rendimiento;5;565.0;16.0;0.0;91.0;1.1;;12.1;267.0
2026-01-06;07:54;Las Ferias;6;564.0;;0.0;84.0;0.4;;12.0;348.0
2026-01-06;07:54;Guaymaral;8;564.0;7.0;0.0;87.0;0.6;11.3;11.7;267.0
2026-01-06;07:54;Kennedy;9;;21.0;0.0;91.8;0.5;;;342.0
2026-01-06;07:54;Suba;11;;;0.0;;0.8;;11.5;34.0
2026-01-06;07:54;Puente Aranda;13;563.0;23.0;0.0;100.0;0.7;;12.5;266.0
2026-01-06;07:54;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;07:54;San Cristobal;24;;24.0;0.0;88.0;0.6;;10.6;108.0
2026-01-06;07:54;Movil 7ma;26;562.0;15.0;0.0;77.4;0.3;;13.0;322.0
2026-01-06;07:54;Bolivia;27;565.0;31.0;0.0;98.0;0.7;;11.3;226.0
2026-01-06;07:54;Fontibon;30;564.0;;0.0;95.0;0.1;;11.5;228.0
2026-01-06;07:54;Usme;32;562.0;30.0;0.0;;;;11.5;
2026-01-06;07:54;Jazmin;34;564.0;28.0;0.0;100.0;0.5;;12.7;262.0
2026-01-06;07:54;Ciudad Bolivar;37;557.0;10.0;0.0;;;;11.7;
2026-01-06;07:54;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;07:54;Movil Fontibon;39;565.0;32.0;;;;;12.1;
2026-01-06;08:41;Usaquen;1;;;0.0;;0.9;;13.4;225.0
2026-01-06;08:41;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;08:41;Tunal;4;564.0;172.0;0.0;89.0;0.4;;;244.0
2026-01-06;08:41;Centro de Alto Rendimiento;5;565.0;106.0;0.0;90.0;1.5;;13.6;313.0
2026-01-06;08:41;Las Ferias;6;564.0;;0.0;80.0;0.9;;13.9;207.0
2026-01-06;08:41;Guaymaral;8;564.0;99.0;0.0;88.0;0.8;13.4;13.6;308.0
2026-01-06;08:41;Kennedy;9;;152.0;0.0;92.0;1.1;;;305.0
2026-01-06;08:41;Suba;11;;;0.0;;0.9;;12.9;298.0
2026-01-06;08:41;Puente Aranda;13;564.0;129.0;0.0;97.0;1.0;;13.4;261.0
2026-01-06;08:41;MinAmbiente;17;;;6.1;;-9999.0;;;-9999.0
2026-01-06;08:41;San Cristobal;24;;96.0;0.0;84.0;0.2;;12.3;39.0
2026-01-06;08:41;Movil 7ma;26;563.0;97.0;0.0;76.8;0.2;;13.7;353.0
2026-01-06;08:41;Bolivia;27;565.0;150.0;0.0;97.0;0.8;;12.7;283.0
2026-01-06;08:41;Fontibon;30;565.0;;0.0;94.0;0.9;;12.8;268.0
2026-01-06;08:41;Usme;32;562.0;152.0;0.0;;;;13.1;
2026-01-06;08:41;Jazmin;34;564.0;205.0;0.0;92.0;0.7;;14.0;249.0
2026-01-06;08:41;Ciudad Bolivar;37;558.0;203.0;0.1;;;;13.0;
2026-01-06;08:41;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;08:41;Movil Fontibon;39;565.0;180.0;;;;;13.1;
2026-01-06;09:28;Usaquen;1;;;0.0;;0.8;;14.5;181.0
2026-01-06;09:28;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;09:28;Tunal;4;564.0;508.0;0.0;72.0;1.3;;;98.0
2026-01-06;09:28;Centro de Alto Rendimiento;5;565.0;222.0;0.0;81.0;0.4;;15.9;282.0
2026-01-06;09:28;Las Ferias;6;564.0;;0.0;64.0;0.6;;17.3;133.0
2026-01-06;09:28;Guaymaral;8;564.0;252.0;0.0;81.0;0.9;16.0;16.9;25.0
2026-01-06;09:28;Kennedy;9;;286.0;0.0;87.5;1.0;;;340.0
2026-01-06;09:28;Suba;11;;;0.0;;0.3;;14.6;305.0
2026-01-06;09:28;Puente Aranda;13;564.0;192.0;0.0;87.0;0.6;;15.0;279.0
2026-01-06;09:28;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;09:28;San Cristobal;24;;194.0;0.0;76.0;0.4;;14.5;358.0
2026-01-06;09:28;Movil 7ma;26;563.0;171.0;0.0;70.8;0.3;;15.3;203.0
2026-01-06;09:28;Bolivia;27;565.0;365.0;0.0;86.0;0.6;;14.6;225.0
2026-01-06;09:28;Fontibon;30;565.0;;0.0;83.0;0.2;;16.4;34.0
2026-01-06;09:28;Usme;32;563.0;357.0;0.0;;;;15.0;
2026-01-06;09:28;Jazmin;34;565.0;459.0;0.0;81.0;0.8;;15.8;329.0
2026-01-06;09:28;Ciudad Bolivar;37;558.0;347.0;0.0;;;;14.5;
2026-01-06;09:28;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;09:28;Movil Fontibon;39;565.0;519.0;;;;;14.8;
2026-01-06;10:28;Usaquen;1;;;0.0;;0.6;;16.5;346.0
2026-01-06;10:28;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;10:28;Tunal;4;563.0;751.0;0.0;54.0;1.6;;;317.0
2026-01-06;10:28;Centro de Alto Rendimiento;5;565.0;478.0;0.0;59.0;0.8;;19.7;19.0
2026-01-06;10:28;Las Ferias;6;564.0;;0.0;52.0;0.8;;20.4;31.0
2026-01-06;10:28;Guaymaral;8;564.0;401.0;0.0;65.0;1.2;18.1;19.5;327.0
2026-01-06;10:28;Kennedy;9;;495.0;0.0;66.1;1.2;;;311.0
2026-01-06;10:28;Suba;11;;;0.0;;0.9;;19.8;20.0
2026-01-06;10:28;Puente Aranda;13;564.0;341.0;0.1;73.0;1.1;;17.2;290.0
2026-01-06;10:28;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;10:28;San Cristobal;24;;464.0;0.0;62.0;0.7;;17.4;350.0
2026-01-06;10:28;Movil 7ma;26;563.0;564.0;0.0;56.2;0.4;;18.3;138.0
2026-01-06;10:28;Bolivia;27;565.0;703.0;0.0;74.0;1.1;;16.9;69.0
2026-01-06;10:28;Fontibon;30;565.0;;0.0;61.0;0.9;;18.1;25.0
2026-01-06;10:28;Usme;32;562.0;643.0;0.0;;;;17.0;
2026-01-06;10:28;Jazmin;34;564.0;683.0;0.0;70.0;1.2;;17.4;359.0
2026-01-06;10:28;Ciudad Bolivar;37;558.0;497.0;0.0;;;;16.3;
2026-01-06;10:28;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;10:28;Movil Fontibon;39;565.0;688.0;;;;;17.6;
2026-01-06;11:35;Usaquen;1;;;0.0;;0.8;;18.1;126.0
2026-01-06;11:35;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;11:35;Tunal;4;563.0;458.0;0.0;56.0;2.6;;;287.0
2026-01-06;11:35;Centro de Alto Rendimiento;5;565.0;498.0;0.0;52.0;2.6;;21.0;308.0
2026-01-06;11:35;Las Ferias;6;564.0;;0.0;44.0;1.0;;22.7;96.0
2026-01-06;11:35;Guaymaral;8;564.0;583.0;0.0;52.0;1.0;20.3;21.7;339.0
2026-01-06;11:35;Kennedy;9;;682.0;0.0;63.5;3.0;;;286.0
2026-01-06;11:35;Suba;11;;;0.0;;0.8;;22.7;342.0
2026-01-06;11:35;Puente Aranda;13;564.0;295.0;0.0;73.0;2.5;;17.5;249.0
2026-01-06;11:35;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;11:35;San Cristobal;24;;646.0;0.0;51.0;0.2;;20.2;352.0
2026-01-06;11:35;Movil 7ma;26;562.0;518.0;0.0;47.8;1.2;;20.5;254.0
2026-01-06;11:35;Bolivia;27;565.0;627.0;0.0;68.0;1.9;;17.9;265.0
2026-01-06;11:35;Fontibon;30;564.0;;0.0;63.0;4.0;;17.8;276.0
2026-01-06;11:35;Usme;32;562.0;499.0;0.0;;;;18.4;
2026-01-06;11:35;Jazmin;34;564.0;626.0;0.0;67.0;2.6;;18.2;278.0
2026-01-06;11:35;Ciudad Bolivar;37;558.0;662.0;0.0;;;;16.2;
2026-01-06;11:35;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;11:35;Movil Fontibon;39;565.0;389.0;;;;;17.7;
2026-01-06;12:27;Usaquen;1;;;0.0;;0.2;;17.3;2.0
2026-01-06;12:27;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;12:27;Tunal;4;563.0;410.0;0.0;64.0;4.4;;;286.0
2026-01-06;12:27;Centro de Alto Rendimiento;5;564.0;92.0;0.0;71.0;5.3;;16.7;308.0
2026-01-06;12:27;Las Ferias;6;563.0;;0.0;63.0;5.1;;17.3;234.0
2026-01-06;12:27;Guaymaral;8;563.0;335.0;0.0;52.0;2.7;18.6;19.7;246.0
2026-01-06;12:27;Kennedy;9;;353.0;0.0;66.6;4.0;;;284.0
2026-01-06;12:27;Suba;11;;;0.0;;2.1;;20.4;252.0
2026-01-06;12:27;Puente Aranda;13;563.0;111.0;0.0;83.0;3.6;;16.0;249.0
2026-01-06;12:27;MinAmbiente;17;;;0.0;;-9999.0;;;-9999.0
2026-01-06;12:27;San Cristobal;24;;36.0;0.0;70.0;2.0;;15.9;305.0
2026-01-06;12:27;Movil 7ma;26;562.0;127.0;0.0;55.5;0.6;;19.2;300.0
2026-01-06;12:27;Bolivia;27;564.0;261.0;0.0;79.0;3.8;;15.5;283.0
2026-01-06;12:27;Fontibon;30;564.0;;0.0;76.0;5.8;;15.5;267.0
2026-01-06;12:27;Usme;32;562.0;90.0;0.0;;;;17.1;
2026-01-06;12:27;Jazmin;34;563.0;323.0;0.0;76.0;4.0;;16.8;278.0
2026-01-06;12:27;Ciudad Bolivar;37;557.0;391.0;0.0;;;;14.8;
2026-01-06;12:27;Colina;38;563.0;93.0;0.0;;1.8;;16.5;169.0
2026-01-06;12:27;Movil Fontibon;39;564.0;243.0;;;;;16.1;
2026-01-06;13:38;Usaquen;1;;;0.1;;1.8;;15.0;231.0
2026-01-06;13:38;Carvajal - Sevillana;3;;;0.0;;1.6;;11.9;243.0
2026-01-06;13:38;Tunal;4;562.0;144.0;0.0;68.0;3.6;;;267.0
