Fecha;Hora;name;stationId;Lluvia;Temperatura;Vel Viento;Presion Baro;Temperatura 8M;Dir Viento;Humedad;Rad Solar
2025-10-06;03:30;San Cristobal;24;0.0;8.7;1.4;;;107.0;79.0;0.0
2025-10-06;03:30;Movil 7ma;26;0.0;11.2;0.3;562.0;;78.0;66.5;0.0
2025-10-06;03:30;Bolivia;27;0.0;10.1;1.0;564.0;;348.0;90.0;0.0
2025-10-06;03:30;Fontibon;30;0.0;10.2;0.5;564.0;;307.0;88.0;
2025-10-06;03:30;Usme;32;0.0;8.9;;562.0;;;;0.0
2025-10-06;03:30;Jazmin;34;0.0;11.4;0.5;564.0;;257.0;79.0;0.0
2025-10-06;03:30;Ciudad Bolivar;37;0.0;10.3;;557.0;;;;0.0
2025-10-06;03:30;Colina;38;0.0;9.7;0.5;564.0;;323.0;;0.0
2025-10-06;03:30;Movil Fontibon;39;;10.6;;564.0;;;;0.0
2025-10-06;04:27;Usaquen;1;0.0;9.0;0.8;;;81.0;;
2025-10-06;04:27;Carvajal - Sevillana;3;0.0;10.3;1.5;;;254.0;;
2025-10-06;04:27;Tunal;4;0.0;;0.6;563.0;;207.0;76.0;1.0
2025-10-06;04:27;Centro de Alto Rendimiento;5;0.0;6.4;0.3;564.0;;258.0;87.0;0.0
2025-10-06;04:27;Las Ferias;6;0.0;9.7;0.9;563.0;;9.0;79.0;
2025-10-06;04:27;Guaymaral;8;0.0;7.6;0.4;563.0;7.7;288.0;85.0;0.0
2025-10-06;04:27;Kennedy;9;0.0;;0.6;;;309.0;82.6;0.0
2025-10-06;04:27;Suba;11;0.0;8.4;1.2;;;39.0;;
2025-10-06;04:27;Puente Aranda;13;0.0;11.5;0.8;563.0;;252.0;79.0;0.0
2025-10-06;04:27;MinAmbiente;17;0.0;;-9999.0;;;-9999.0;;
2025-10-06;04:27;San Cristobal;24;0.0;8.3;1.8;;;108.0;79.0;0.0
2025-10-06;04:27;Movil 7ma;26;0.0;10.7;0.2;562.0;;90.0;66.2;0.0
2025-10-06;04:27;Bolivia;27;0.0;10.0;1.0;564.0;;73.0;92.0;0.0
2025-10-06;04:27;Fontibon;30;0.0;9.8;0.5;564.0;;26.0;89.0;
2025-10-06;04:27;Usme;32;0.0;8.5;;562.0;;;;0.0
2025-10-06;04:27;Jazmin;34;0.0;10.9;0.5;563.0;;275.0;79.0;0.0
2025-10-06;04:27;Ciudad Bolivar;37;0.0;10.0;;557.0;;;;0.0
2025-10-06;04:27;Colina;38;0.0;9.3;0.3;564.0;;297.0;;0.0
2025-10-06;04:27;Movil Fontibon;39;;10.8;;564.0;;;;0.0
2025-10-06;05:25;Usaquen;1;0.0;8.7;0.8;;;123.0;;
2025-10-06;05:25;Carvajal - Sevillana;3;0.0;10.0;2.1;;;252.0;;
2025-10-06;05:25;Tunal;4;0.0;;0.5;563.0;;234.0;77.0;1.0
2025-10-06;05:25;Centro de Alto Rendimiento;5;0.0;6.3;0.4;564.0;;279.0;88.0;0.0
2025-10-06;05:25;Las Ferias;6;0.0;9.1;0.4;563.0;;331.0;82.0;
2025-10-06;05:25;Guaymaral;8;0.0;7.1;0.5;563.0;7.2;307.0;84.0;0.0
2025-10-06;05:25;Kennedy;9;0.0;;0.6;;;189.0;82.5;0.0
2025-10-06;05:25;Suba;11;0.0;8.2;1.1;;;39.0;;
