Fecha;Hora;name;stationId;Lluvia;Rad Solar;Vel Viento;Temperatura 8M;Presion Baro;Dir Viento;Humedad;Temperatura
2025-12-10;02:26;Las Ferias;6;0.0;;0.9;;563.0;2.0;77.0;11.0
2025-12-10;02:26;Guaymaral;8;0.0;0.0;0.6;8.6;563.0;288.0;84.0;8.4
2025-12-10;02:26;Kennedy;9;0.0;0.0;0.8;;;315.0;84.9;
2025-12-10;02:26;Suba;11;0.0;;1.6;;;14.0;;9.4
2025-12-10;02:26;Puente Aranda;13;0.0;0.0;0.9;;563.0;244.0;90.0;12.9
2025-12-10;02:26;MinAmbiente;17;0.0;;-9999.0;;;-9999.0;;
2025-12-10;02:26;San Cristobal;24;0.0;0.0;1.6;;;110.0;79.0;10.1
2025-12-10;02:26;Movil 7ma;26;0.0;0.0;1.0;;561.0;248.0;60.8;13.4
2025-12-10;02:26;Bolivia;27;0.0;0.0;2.0;;564.0;44.0;89.0;11.4
2025-12-10;02:26;Fontibon;30;0.0;;1.8;;563.0;31.0;84.0;11.5
2025-12-10;02:26;Usme;32;0.0;0.0;;;561.0;;;12.0
2025-12-10;02:26;Jazmin;34;0.0;0.0;0.5;;563.0;232.0;85.0;12.2
2025-12-10;02:26;Ciudad Bolivar;37;0.0;0.0;;;556.0;;;11.2
2025-12-10;02:26;Colina;38;0.3;53.0;0.9;;562.0;271.0;;14.8
2025-12-10;02:26;Movil Fontibon;39;;1.0;;;564.0;;;12.3
2025-12-10;04:30;Usaquen;1;0;;2.4;;;115;;11.9
2025-12-10;04:30;Carvajal - Sevillana;3;0;;0.5;;;19;;10.9
2025-12-10;04:30;Tunal;4;0;1;0.7;;562;241;85;
2025-12-10;04:30;Centro de Alto Rendimiento;5;0;0;0.9;;564;52;91;9.3
2025-12-10;04:30;Las Ferias;6;0;;1;;563;359;79;10.6
2025-12-10;04:30;Guaymaral;8;0;0;0.6;8.1;563;318;85;7.9
2025-12-10;04:30;Kennedy;9;0;0;0.7;;;273;87;
2025-12-10;04:30;Suba;11;0;;0.7;;;20;;8.6
2025-12-10;04:30;Puente Aranda;13;0;0;0.9;;562;43;86;12.6
2025-12-10;04:30;MinAmbiente;17;0;;-9999;;;-9999;;
2025-12-10;04:30;San Cristobal;24;0;0;0.5;;;113;81;9.6
2025-12-10;04:30;Movil 7ma;26;0;0;0.3;;561;220;64;12.3
2025-12-10;04:30;Bolivia;27;0;0;1.2;;564;43;89;10.8
2025-12-10;04:30;Fontibon;30;0;;1.4;;563;47;88;10.8
2025-12-10;04:30;Usme;32;0;0;;;561;;;11.5
2025-12-10;04:30;Jazmin;34;0;0;0.5;;563;260;93;11.4
2025-12-10;04:30;Ciudad Bolivar;37;0;0;;;556;;;10.4
2025-12-10;04:30;Colina;38;0.3;53;0.9;;562;271;;14.8
2025-12-10;04:30;Movil Fontibon;39;;1;;;564;;;12.3
