Fecha;Hora;name;stationId;Lluvia;Rad Solar;Vel Viento;Presion Baro;Dir Viento;Temperatura;Humedad;Temperatura 8M
2026-01-12;06:25;Jazmin;34;0.0;0.0;0.7;563.0;263.0;14.1;74.0;
2026-01-12;06:25;Ciudad Bolivar;37;0.0;0.0;;557.0;;13.1;;
2026-01-12;06:25;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;06:25;Movil Fontibon;39;;0.0;;564.0;;13.1;;
2026-01-12;07:57;Usaquen;1;0.0;;0.6;;179.0;12.7;;
2026-01-12;07:57;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;07:57;Tunal;4;0.0;16.0;1.1;563.0;172.0;;71.0;
2026-01-12;07:57;Centro de Alto Rendimiento;5;0.0;10.0;2.1;565.0;122.0;12.8;75.0;
2026-01-12;07:57;Las Ferias;6;0.0;;2.4;564.0;51.0;13.0;68.0;
2026-01-12;07:57;Guaymaral;8;0.0;0.0;0.8;564.0;96.0;11.8;82.0;11.9
2026-01-12;07:57;Kennedy;9;0.0;14.0;0.7;;156.0;;77.6;
2026-01-12;07:57;Suba;11;0.0;;1.8;;15.0;11.2;;
2026-01-12;07:57;Puente Aranda;13;0.0;13.0;0.9;563.0;266.0;14.0;84.0;
2026-01-12;07:57;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;07:57;San Cristobal;24;0.0;6.0;0.9;;123.0;12.3;70.0;
2026-01-12;07:57;Movil 7ma;26;0.0;9.0;0.2;562.0;0.0;13.7;61.1;
2026-01-12;07:57;Bolivia;27;0.0;16.0;1.9;565.0;61.0;12.3;90.0;
2026-01-12;07:57;Fontibon;30;0.0;;1.0;564.0;62.0;12.5;86.0;
2026-01-12;07:57;Usme;32;0.0;9.0;;562.0;;13.3;;
2026-01-12;07:57;Jazmin;34;0.0;16.0;1.1;564.0;231.0;14.2;72.0;
2026-01-12;07:57;Ciudad Bolivar;37;0.0;8.0;;557.0;;13.0;;
2026-01-12;07:57;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;07:57;Movil Fontibon;39;;17.0;;564.0;;13.1;;
2026-01-12;08:48;Usaquen;1;0.0;;1.0;;305.0;13.3;;
2026-01-12;08:48;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;08:48;Tunal;4;0.0;62.0;1.3;563.0;174.0;;70.0;
2026-01-12;08:48;Centro de Alto Rendimiento;5;0.0;58.0;1.4;565.0;141.0;13.6;73.0;
2026-01-12;08:48;Las Ferias;6;0.0;;2.4;564.0;47.0;13.8;65.0;
2026-01-12;08:48;Guaymaral;8;0.0;54.0;1.2;564.0;347.0;13.4;79.0;13.0
2026-01-12;08:48;Kennedy;9;0.0;66.0;1.0;;184.0;;74.0;
2026-01-12;08:48;Suba;11;0.0;;1.6;;8.0;12.0;;
2026-01-12;08:48;Puente Aranda;13;0.0;62.0;1.2;564.0;258.0;14.5;76.0;
2026-01-12;08:48;MinAmbiente;17;0.0;;-9999.0;;-9999.0;;;
2026-01-12;08:48;San Cristobal;24;0.0;46.0;0.6;;119.0;12.6;70.0;
2026-01-12;08:48;Movil 7ma;26;0.0;57.0;0.4;562.0;322.0;14.0;60.1;
2026-01-12;08:48;Bolivia;27;0.0;102.0;1.7;565.0;77.0;13.1;86.0;
2026-01-12;08:48;Fontibon;30;0.0;;1.8;565.0;89.0;13.5;77.0;
2026-01-12;08:48;Usme;32;0.0;50.0;;562.0;;13.5;;
2026-01-12;08:48;Jazmin;34;0.0;76.0;1.9;564.0;154.0;14.6;70.0;
2026-01-12;08:48;Ciudad Bolivar;37;0.0;57.0;;558.0;;13.1;;
2026-01-12;08:48;Colina;38;0.0;93.0;1.8;563.0;169.0;16.5;;
2026-01-12;08:48;Movil Fontibon;39;;71.0;;565.0;;14.2;;
2026-01-12;09:30;Usaquen;1;0.0;;0.9;;206.0;14.3;;
2026-01-12;09:30;Carvajal - Sevillana;3;0.0;;1.6;;243.0;11.9;;
2026-01-12;09:30;Tunal;4;0.0;238.0;1.2;564.0;197.0;;64.0;
2026-01-12;09:30;Centro de Alto Rendimiento;5;0.0;208.0;1.8;565.0;86.0;15.6;63.0;
2026-01-12;09:30;Las Ferias;6;0.0;;3.3;564.0;43.0;15.2;60.0;
2026-01-12;09:30;Guaymaral;8;0.0;107.0;1.1;564.0;347.0;15.0;69.0;14.3
