Fecha;Hora;name;stationId;NO2;PM10;BBP;CO;NOX;PM25;NO;eBC;SO2;OZONO
2025-12-05;04:27;Colina;38;62.8;2.4;;0.7;86.3;8.0;23.5;;0.4;-9999.0
2025-12-05;04:27;Movil Fontibon;39;-9999.0;35.2;;-9999.0;-9999.0;37.8;-9999.0;;;
2025-12-05;05:27;Usaquen;1;-9999.0;35.3;;-9999.0;-9999.0;16.0;-9999.0;;-9999.0;-9999.0
2025-12-05;05:27;Carvajal - Sevillana;3;;31.0;;1.39;;26.0;;;0.9;
2025-12-05;05:27;Tunal;4;13.1;20.0;2.2;-9999.0;66.6;0.0;53.5;12.8;1.7;1.2
2025-12-05;05:27;Centro de Alto Rendimiento;5;14.2;33.0;11.2;0.24;17.7;22.6;3.5;2.8;0.6;-9999.0
2025-12-05;05:27;Las Ferias;6;17.9;18.8;;0.31;21.3;12.0;3.4;;;2.0
2025-12-05;05:27;Guaymaral;8;16.5;17.0;;0.26;23.9;6.0;7.4;;1.1;2.9
2025-12-05;05:27;Kennedy;9;21.4;32.5;11.4;0.67;42.0;16.1;20.6;3.3;0.9;0.0
2025-12-05;05:27;Suba;11;15.6;25.2;;0.36;27.4;985.0;11.8;;0.5;1.3
2025-12-05;05:27;Puente Aranda;13;19.0;35.0;0.1;0.18;47.6;17.8;28.6;-9999.0;2.0;1.0
2025-12-05;05:27;MinAmbiente;17;19.9;18.0;;0.58;30.0;14.0;10.1;;1.1;0.8
2025-12-05;05:27;San Cristobal;24;-9999.0;17.0;0.9;0.29;-9999.0;13.0;-9999.0;1.1;0.5;2.2
2025-12-05;05:27;Movil 7ma;26;;50.3;;-9999.0;;13.2;;;;
2025-12-05;05:27;Bolivia;27;23.7;32.2;;0.23;46.1;19.7;22.4;;;0.8
2025-12-05;05:27;Fontibon;30;15.8;-9999.0;5.8;0.31;26.2;16.0;10.4;3.0;-9999.0;1.5
2025-12-05;05:27;Usme;32;19.1;33.3;;0.24;52.4;13.4;33.3;;1.5;1.3
2025-12-05;05:27;Jazmin;34;22.1;35.6;;0.39;39.0;23.8;16.8;;1.2;0.2
