Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Temperatura;Rad Solar;Presion Baro;Vel Viento;Dir Viento;Lluvia
2026-01-08;02:29;Colina;38;;;16.5;93.0;563.0;1.8;169.0;0.0
2026-01-08;02:29;Movil Fontibon;39;;;13.7;1.0;564.0;;;
2026-01-08;03:37;Usaquen;1;;;13.2;;;1.7;101.0;0.0
2026-01-08;03:37;Carvajal - Sevillana;3;;;11.9;;;1.6;243.0;0.0
2026-01-08;03:37;Tunal;4;;73.0;;0.0;562.0;0.5;193.0;0.0
2026-01-08;03:37;Centro de Alto Rendimiento;5;;78.0;13.4;0.0;563.0;2.1;91.0;0.0
2026-01-08;03:37;Las Ferias;6;;68.0;13.7;;562.0;1.3;50.0;0.0
2026-01-08;03:37;Guaymaral;8;12.5;78.0;12.8;0.0;562.0;0.7;305.0;0.0
2026-01-08;03:37;Kennedy;9;;85.1;;0.0;;0.7;2.0;0.0
2026-01-08;03:37;Suba;11;;;12.2;;;1.5;15.0;0.0
2026-01-08;03:37;Puente Aranda;13;;86.0;14.5;0.0;562.0;0.8;330.0;0.0
2026-01-08;03:37;MinAmbiente;17;;;;;;-9999.0;-9999.0;0.0
2026-01-08;03:37;San Cristobal;24;;74.0;12.6;0.0;;1.3;108.0;0.0
2026-01-08;03:37;Movil 7ma;26;;63.9;14.1;0.0;561.0;0.9;242.0;0.0
2026-01-08;03:37;Bolivia;27;;85.0;13.4;0.0;563.0;2.0;55.0;0.0
2026-01-08;03:37;Fontibon;30;;82.0;13.3;;563.0;1.8;38.0;0.0
2026-01-08;03:37;Usme;32;;;13.7;0.0;561.0;;;0.0
2026-01-08;03:37;Jazmin;34;;86.0;14.3;0.0;563.0;0.7;312.0;0.0
2026-01-08;03:37;Ciudad Bolivar;37;;;13.6;0.0;556.0;;;0.0
2026-01-08;03:37;Colina;38;;;16.5;93.0;563.0;1.8;169.0;0.0
2026-01-08;03:37;Movil Fontibon;39;;;13.9;1.0;563.0;;;
2026-01-08;04:33;Usaquen;1;;;12.9;;;0.7;52.0;0.0
2026-01-08;04:33;Carvajal - Sevillana;3;;;11.9;;;1.6;243.0;0.0
2026-01-08;04:33;Tunal;4;;74.0;;0.0;562.0;0.4;191.0;0.0
2026-01-08;04:33;Centro de Alto Rendimiento;5;;73.0;13.6;0.0;564.0;1.8;98.0;0.0
2026-01-08;04:33;Las Ferias;6;;69.0;13.5;;563.0;1.4;37.0;0.0
2026-01-08;04:33;Guaymaral;8;12.4;78.0;12.7;0.0;562.0;0.4;265.0;0.0
2026-01-08;04:33;Kennedy;9;;83.3;;0.0;;0.9;57.0;0.0
2026-01-08;04:33;Suba;11;;;12.2;;;1.1;5.0;0.0
2026-01-08;04:33;Puente Aranda;13;;79.0;14.4;0.0;562.0;1.4;28.0;0.0
2026-01-08;04:33;MinAmbiente;17;;;;;;-9999.0;-9999.0;0.0
2026-01-08;04:33;San Cristobal;24;;76.0;12.1;0.0;;1.2;99.0;0.0
2026-01-08;04:33;Movil 7ma;26;;63.4;14.1;0.0;561.0;0.3;151.0;0.0
2026-01-08;04:33;Bolivia;27;;87.0;13.1;0.0;564.0;2.1;49.0;0.0
2026-01-08;04:33;Fontibon;30;;79.0;13.3;;563.0;2.5;52.0;0.0
2026-01-08;04:33;Usme;32;;;13.7;0.0;561.0;;;0.0
2026-01-08;04:33;Jazmin;34;;82.0;14.3;0.0;563.0;1.0;298.0;0.0
2026-01-08;04:33;Ciudad Bolivar;37;;;13.2;0.0;556.0;;;0.0
2026-01-08;04:33;Colina;38;;;16.5;93.0;563.0;1.8;169.0;0.0
2026-01-08;04:33;Movil Fontibon;39;;;13.9;1.0;563.0;;;
2026-01-08;05:30;Usaquen;1;;;12.7;;;1.6;127.0;0.0
2026-01-08;05:30;Carvajal - Sevillana;3;;;11.9;;;1.6;243.0;0.0
2026-01-08;05:30;Tunal;4;;78.0;;0.0;562.0;1.2;99.0;0.0
2026-01-08;05:30;Centro de Alto Rendimiento;5;;74.0;13.5;0.0;564.0;1.3;90.0;0.0
2026-01-08;05:30;Las Ferias;6;;70.0;13.2;;563.0;1.4;34.0;0.0
2026-01-08;05:30;Guaymaral;8;12.2;78.0;12.6;0.0;563.0;0.8;270.0;0.0
2026-01-08;05:30;Kennedy;9;;80.9;;0.0;;1.4;105.0;0.0
2026-01-08;05:30;Suba;11;;;12.0;;;1.1;24.0;0.0
2026-01-08;05:30;Puente Aranda;13;;87.0;13.6;0.0;563.0;1.0;68.0;0.0
2026-01-08;05:30;MinAmbiente;17;;;;;;-9999.0;-9999.0;0.0
2026-01-08;05:30;San Cristobal;24;;86.0;11.0;0.0;;0.5;107.0;0.1
2026-01-08;05:30;Movil 7ma;26;;63.0;13.8;0.0;561.0;0.7;236.0;0.0
2026-01-08;05:30;Bolivia;27;;88.0;12.7;0.0;564.0;1.9;64.0;0.0
2026-01-08;05:30;Fontibon;30;;82.0;12.8;;563.0;2.0;62.0;0.0
2026-01-08;05:30;Usme;32;;;13.2;0.0;561.0;;;0.0
2026-01-08;05:30;Jazmin;34;;88.0;13.4;0.0;563.0;0.7;151.0;0.0
2026-01-08;05:30;Ciudad Bolivar;37;;;12.5;0.0;556.0;;;0.0
2026-01-08;05:30;Colina;38;;;16.5;93.0;563.0;1.8;169.0;0.0
2026-01-08;05:30;Movil Fontibon;39;;;13.4;1.0;564.0;;;
2026-01-08;06:25;Usaquen;1;;;12.5;;;2.7;113;0
2026-01-08;06:25;Carvajal - Sevillana;3;;;11.9;;;1.6;243;0
2026-01-08;06:25;Tunal;4;;82;;0;562;0.4;197;0
2026-01-08;06:25;Centro de Alto Rendimiento;5;;77;12.9;0;564;0.7;137;0
2026-01-08;06:25;Las Ferias;6;;69;13.2;;563;2;42;0
2026-01-08;06:25;Guaymaral;8;12.3;76;12.5;0;563;0.9;274;0
2026-01-08;06:25;Kennedy;9;;81.8;;0;;0.3;187;0
2026-01-08;06:25;Suba;11;;;11.8;;;0.6;49;0
2026-01-08;06:25;Puente Aranda;13;;86;13.6;0;563;1;90;0
2026-01-08;06:25;MinAmbiente;17;;;;;;-9999;-9999;0
2026-01-08;06:25;San Cristobal;24;;88;10.9;0;;0.5;115;0
2026-01-08;06:25;Movil 7ma;26;;62.5;13.8;0;561;0.4;208;0
2026-01-08;06:25;Bolivia;27;;87;12.7;0;564;1.5;70;0
2026-01-08;06:25;Fontibon;30;;79;13.1;;564;3;74;0
2026-01-08;06:25;Usme;32;;;12.6;0;561;;;0
2026-01-08;06:25;Jazmin;34;;95;13;0;563;0.5;201;0
2026-01-08;06:25;Ciudad Bolivar;37;;;11.7;0;557;;;0
2026-01-08;06:25;Colina;38;;;16.5;93;563;1.8;169;0
2026-01-08;06:25;Movil Fontibon;39;;;13.7;1;564;;;
