Fecha;Hora;name;stationId;Presion Baro;Dir Viento;Vel Viento;Humedad;Temperatura 8M;Rad Solar;Lluvia;Temperatura
2025-10-01;04:25;Las Ferias;6;564.0;;;74.0;;;0.0;11.8
2025-10-01;04:25;Guaymaral;8;564.0;76.0;0.9;80.0;11.6;0.0;0.0;11.6
2025-10-01;04:25;Kennedy;9;;152.0;1.0;78.6;;0.0;0.0;
2025-10-01;04:25;Suba;11;;40.0;1.4;;;;0.0;10.8
2025-10-01;04:25;Puente Aranda;13;564.0;178.0;0.5;81.0;;0.0;0.0;13.2
2025-10-01;04:25;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;04:25;San Cristobal;24;;61.0;0.3;75.0;;0.0;0.0;11.1
2025-10-01;04:25;Movil 7ma;26;563.0;218.0;0.4;62.8;;0.0;0.0;13.1
2025-10-01;04:25;Bolivia;27;565.0;65.0;1.9;88.0;;0.0;0.0;12.1
2025-10-01;04:25;Fontibon;30;565.0;38.0;0.4;89.0;;;0.0;11.6
2025-10-01;04:25;Usme;32;563.0;;;;;0.0;0.0;12.7
2025-10-01;04:25;Jazmin;34;564.0;189.0;0.5;81.0;;0.0;0.0;12.5
2025-10-01;04:25;Ciudad Bolivar;37;558.0;;;;;0.0;0.0;12.3
2025-10-01;04:25;Colina;38;565.0;50.0;0.7;;;0.0;0.0;12.2
2025-10-01;04:25;Movil Fontibon;39;565.0;;;;;0.0;;12.5
2025-10-01;05:24;Usaquen;1;;24.0;0.3;;;;0.0;11.8
2025-10-01;05:24;Carvajal - Sevillana;3;;239.0;3.7;;;;0.0;12.8
2025-10-01;05:24;Tunal;4;564.0;177.0;1.0;80.0;;1.0;0.0;
2025-10-01;05:24;Centro de Alto Rendimiento;5;565.0;296.0;0.2;87.0;;0.0;0.0;8.7
2025-10-01;05:24;Las Ferias;6;565.0;;;71.0;;;0.0;12.3
2025-10-01;05:24;Guaymaral;8;565.0;87.0;0.8;80.0;11.3;0.0;0.0;11.2
2025-10-01;05:24;Kennedy;9;;96.0;0.9;79.9;;0.0;0.0;
2025-10-01;05:24;Suba;11;;37.0;1.4;;;;0.0;10.8
2025-10-01;05:24;Puente Aranda;13;564.0;280.0;0.8;84.0;;0.0;0.0;13.2
2025-10-01;05:24;MinAmbiente;17;;-9999.0;-9999.0;;;;0.0;
2025-10-01;05:24;San Cristobal;24;;84.0;0.4;77.0;;0.0;0.0;11.0
2025-10-01;05:24;Movil 7ma;26;563.0;147.0;0.1;63.5;;0.0;0.0;13.0
2025-10-01;05:24;Bolivia;27;566.0;69.0;1.8;86.0;;0.0;0.0;12.2
2025-10-01;05:24;Fontibon;30;565.0;269.0;0.5;89.0;;;0.0;11.3
2025-10-01;05:24;Usme;32;563.0;;;;;0.0;0.0;12.9
2025-10-01;05:24;Jazmin;34;565.0;289.0;0.5;81.0;;0.0;0.0;12.6
2025-10-01;05:24;Ciudad Bolivar;37;558.0;;;;;0.0;0.0;12.2
2025-10-01;05:24;Colina;38;565.0;267.0;0.4;;;0.0;0.0;12.0
2025-10-01;05:24;Movil Fontibon;39;565.0;;;;;0.0;;12.2
2025-10-01;06:19;Usaquen;1;;29.0;0.5;;;;0.0;11.6
