Fecha;Hora;name;stationId;Temperatura;Dir Viento;Temperatura 8M;Presion Baro;Lluvia;Vel Viento;Rad Solar;Humedad
2025-12-07;03:29;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;04:23;Usaquen;1;11.6;29.0;;;0.0;0.7;;
2025-12-07;04:23;Carvajal - Sevillana;3;12.6;257.0;;;0.0;0.5;;
2025-12-07;04:23;Tunal;4;;227.0;;563.0;0.0;0.5;1.0;82.0
2025-12-07;04:23;Centro de Alto Rendimiento;5;10.7;319.0;;564.0;0.0;0.4;0.0;90.0
2025-12-07;04:23;Las Ferias;6;11.7;356.0;;563.0;0.0;0.1;;75.0
2025-12-07;04:23;Guaymaral;8;9.6;323.0;9.4;563.0;0.0;0.4;0.0;85.0
2025-12-07;04:23;Kennedy;9;;338.0;;;0.0;0.5;0.0;86.5
2025-12-07;04:23;Suba;11;10.1;62.0;;;0.0;0.4;;
2025-12-07;04:23;Puente Aranda;13;13.3;267.0;;563.0;0.0;0.7;0.0;88.0
2025-12-07;04:23;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;04:23;San Cristobal;24;10.5;106.0;;;0.0;1.0;0.0;85.0
2025-12-07;04:23;Movil 7ma;26;13.0;81.0;;562.0;0.0;0.3;0.0;69.9
2025-12-07;04:23;Bolivia;27;11.7;264.0;;564.0;0.0;0.5;0.0;89.0
2025-12-07;04:23;Fontibon;30;11.8;10.0;;564.0;0.0;0.5;;87.0
2025-12-07;04:23;Usme;32;10.8;;;562.0;0.0;;0.0;
2025-12-07;04:23;Jazmin;34;12.9;294.0;;564.0;0.0;0.5;0.0;87.0
2025-12-07;04:23;Ciudad Bolivar;37;11.7;;;557.0;0.0;;0.0;
2025-12-07;04:23;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;04:23;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;05:23;Usaquen;1;11.0;135.0;;;0.0;1.0;;
2025-12-07;05:23;Carvajal - Sevillana;3;12.2;250.0;;;0.0;1.7;;
2025-12-07;05:23;Tunal;4;;201.0;;563.0;0.0;0.6;1.0;79.0
2025-12-07;05:23;Centro de Alto Rendimiento;5;10.2;249.0;;564.0;0.0;0.4;0.0;90.0
2025-12-07;05:23;Las Ferias;6;10.8;154.0;;564.0;0.0;0.4;;78.0
2025-12-07;05:23;Guaymaral;8;9.0;297.0;9.0;563.0;0.0;0.4;0.0;85.0
2025-12-07;05:23;Kennedy;9;;185.0;;;0.0;0.7;0.0;84.7
2025-12-07;05:23;Suba;11;9.6;4.0;;;0.0;0.5;;
2025-12-07;05:23;Puente Aranda;13;13.0;201.0;;563.0;0.0;1.1;0.0;89.0
2025-12-07;05:23;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;05:23;San Cristobal;24;10.4;115.0;;;0.0;1.0;0.0;86.0
2025-12-07;05:23;Movil 7ma;26;12.7;288.0;;562.0;0.0;0.2;0.0;70.5
2025-12-07;05:23;Bolivia;27;11.4;359.0;;564.0;0.0;0.4;0.0;89.0
2025-12-07;05:23;Fontibon;30;11.9;184.0;;564.0;0.0;0.9;;88.0
2025-12-07;05:23;Usme;32;11.2;;;562.0;0.0;;0.0;
2025-12-07;05:23;Jazmin;34;12.7;219.0;;564.0;0.0;0.4;0.0;87.0
2025-12-07;05:23;Ciudad Bolivar;37;11.8;;;557.0;0.0;;0.0;
2025-12-07;05:23;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;05:23;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;06:18;Usaquen;1;9.8;127.0;;;0.0;0.8;;
2025-12-07;06:18;Carvajal - Sevillana;3;11.7;247.0;;;0.0;1.7;;
2025-12-07;06:18;Tunal;4;;186.0;;563.0;0.0;0.8;2.0;81.0
2025-12-07;06:18;Centro de Alto Rendimiento;5;9.5;347.0;;565.0;0.0;0.7;1.0;90.0
2025-12-07;06:18;Las Ferias;6;10.2;294.0;;564.0;0.0;0.2;;81.0
2025-12-07;06:18;Guaymaral;8;8.3;336.0;8.4;564.0;0.0;0.5;0.0;85.0
2025-12-07;06:18;Kennedy;9;;178.0;;;0.0;0.5;1.0;85.0
2025-12-07;06:18;Suba;11;8.7;13.0;;;0.0;0.5;;
2025-12-07;06:18;Puente Aranda;13;12.7;208.0;;564.0;0.0;1.5;1.0;88.0
2025-12-07;06:18;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;06:18;San Cristobal;24;10.0;120.0;;;0.0;1.0;0.0;87.0
2025-12-07;06:18;Movil 7ma;26;12.0;206.0;;562.0;0.0;0.4;0.0;71.9
2025-12-07;06:18;Bolivia;27;10.9;356.0;;565.0;0.0;0.8;2.0;89.0
2025-12-07;06:18;Fontibon;30;12.2;214.0;;564.0;0.0;1.1;;86.0
2025-12-07;06:18;Usme;32;11.7;;;562.0;0.0;;1.0;
2025-12-07;06:18;Jazmin;34;12.3;216.0;;564.0;0.0;0.5;1.0;88.0
2025-12-07;06:18;Ciudad Bolivar;37;11.9;;;557.0;0.0;;0.0;
2025-12-07;06:18;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;06:18;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;07:45;Usaquen;1;9.8;20.0;;;0.0;0.7;;
2025-12-07;07:45;Carvajal - Sevillana;3;13.2;243.0;;;0.0;0.7;;
2025-12-07;07:45;Tunal;4;;223.0;;564.0;0.0;0.5;83.0;82.0
2025-12-07;07:45;Centro de Alto Rendimiento;5;10.8;29.0;;565.0;0.0;1.4;74.0;90.0
2025-12-07;07:45;Las Ferias;6;10.9;356.0;;564.0;0.0;1.3;;81.0
2025-12-07;07:45;Guaymaral;8;9.6;310.0;9.6;564.0;0.0;0.5;30.0;86.0
2025-12-07;07:45;Kennedy;9;;301.0;;;0.0;0.8;40.0;86.8
2025-12-07;07:45;Suba;11;9.0;19.0;;;0.0;1.0;;
2025-12-07;07:45;Puente Aranda;13;13.4;204.0;;564.0;0.0;0.9;58.0;83.0
2025-12-07;07:45;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;07:45;San Cristobal;24;10.3;108.0;;;0.0;0.9;18.0;84.0
2025-12-07;07:45;Movil 7ma;26;11.7;164.0;;563.0;0.0;0.6;22.0;71.2
2025-12-07;07:45;Bolivia;27;10.8;8.0;;565.0;0.0;1.2;110.0;91.0
2025-12-07;07:45;Fontibon;30;12.4;23.0;;565.0;0.0;1.2;;83.0
2025-12-07;07:45;Usme;32;12.5;;;562.0;0.0;;65.0;
2025-12-07;07:45;Jazmin;34;12.7;210.0;;564.0;0.0;0.6;81.0;85.0
2025-12-07;07:45;Ciudad Bolivar;37;12.8;;;558.0;0.0;;74.0;
2025-12-07;07:45;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;07:45;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;08:28;Usaquen;1;12.6;18.0;;;0.0;0.7;;
2025-12-07;08:28;Carvajal - Sevillana;3;18.0;70.0;;;0.0;1.0;;
2025-12-07;08:28;Tunal;4;;196.0;;564.0;0.0;0.7;307.0;65.0
2025-12-07;08:28;Centro de Alto Rendimiento;5;16.6;35.0;;566.0;0.0;1.9;277.0;70.0
2025-12-07;08:28;Las Ferias;6;13.6;19.0;;565.0;0.0;1.3;;71.0
2025-12-07;08:28;Guaymaral;8;15.4;345.0;14.0;565.0;0.0;1.1;201.0;84.0
2025-12-07;08:28;Kennedy;9;;21.0;;;0.0;1.0;73.0;85.6
2025-12-07;08:28;Suba;11;12.0;20.0;;;0.0;1.7;;
2025-12-07;08:28;Puente Aranda;13;14.9;251.0;;565.0;0.0;0.9;227.0;78.0
2025-12-07;08:28;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;08:28;San Cristobal;24;13.2;106.0;;;0.0;0.8;250.0;72.0
2025-12-07;08:28;Movil 7ma;26;14.4;178.0;;563.0;0.0;0.5;293.0;66.3
2025-12-07;08:28;Bolivia;27;13.0;53.0;;566.0;0.0;1.2;342.0;83.0
2025-12-07;08:28;Fontibon;30;15.2;27.0;;565.0;0.0;1.0;;72.0
2025-12-07;08:28;Usme;32;14.7;;;563.0;0.0;;304.0;
2025-12-07;08:28;Jazmin;34;15.5;276.0;;565.0;0.0;0.6;325.0;74.0
2025-12-07;08:28;Ciudad Bolivar;37;13.9;;;558.0;0.0;;269.0;
2025-12-07;08:28;Colina;38;14.8;271.0;;562.0;0.3;0.9;53.0;
2025-12-07;08:28;Movil Fontibon;39;12.3;;;564.0;;;1.0;
2025-12-07;09:21;Usaquen;1;14.6;103.0;;;0.0;1.5;;
2025-12-07;09:21;Carvajal - Sevillana;3;19.2;47.0;;;0.0;1.1;;
2025-12-07;09:21;Tunal;4;;307.0;;564.0;0.0;1.0;579.0;54.0
2025-12-07;09:21;Centro de Alto Rendimiento;5;19.5;348.0;;566.0;0.0;1.3;439.0;55.0
2025-12-07;09:21;Las Ferias;6;18.7;42.0;;565.0;0.0;0.9;;54.0
2025-12-07;09:21;Guaymaral;8;18.5;312.0;17.4;565.0;0.0;0.8;346.0;65.0
2025-12-07;09:21;Kennedy;9;;339.0;;;0.0;1.3;147.0;75.7
2025-12-07;09:21;Suba;11;16.2;358.0;;;0.0;1.2;;
2025-12-07;09:21;Puente Aranda;13;16.3;250.0;;565.0;0.0;1.1;197.0;72.0
2025-12-07;09:21;MinAmbiente;17;;-9999.0;;;0.0;-9999.0;;
2025-12-07;09:21;San Cristobal;24;16.3;23.0;;;0.0;0.3;448.0;61.0
2025-12-07;09:21;Movil 7ma;26;19.4;264.0;;563.0;0.0;0.5;493.0;50.1
2025-12-07;09:21;Bolivia;27;15.6;114.0;;566.0;0.0;0.8;567.0;75.0
2025-12-07;09:21;Fontibon;30;17.5;13.0;;566.0;0.0;1.0;;60.0
