Fecha;Hora;name;stationId;Temperatura;Humedad;Dir Viento;Presion Baro;Lluvia;Rad Solar;Vel Viento;Temperatura 8M
2025-09-30;06:19;Movil Fontibon;39;12.6;;;566.0;;1.0;;
2025-09-30;07:50;Usaquen;1;11.5;;338.0;;1.2;;0.9;
2025-09-30;07:50;Carvajal - Sevillana;3;11.9;;33.0;;3.6;;1.5;
2025-09-30;07:50;Tunal;4;;86.0;298.0;565.0;3.9;18.0;0.9;
2025-09-30;07:50;Centro de Alto Rendimiento;5;10.6;84.0;291.0;567.0;2.1;14.0;0.5;
2025-09-30;07:50;Las Ferias;6;11.8;81.0;;566.0;1.5;;;
2025-09-30;07:50;Guaymaral;8;12.0;81.0;-9999.0;566.0;0.4;0.0;-9999.0;11.7
2025-09-30;07:50;Kennedy;9;;86.0;332.0;;2.4;9.0;1.4;
2025-09-30;07:50;Suba;11;11.5;;344.0;;0.9;;0.6;
2025-09-30;07:50;Puente Aranda;13;12.3;99.0;254.0;565.0;1.9;12.0;1.1;
2025-09-30;07:50;MinAmbiente;17;;;-9999.0;;2.4;;-9999.0;
2025-09-30;07:50;San Cristobal;24;10.4;90.0;346.0;;2.3;8.0;0.3;
2025-09-30;07:50;Movil 7ma;26;12.8;73.1;219.0;564.0;2.2;7.0;0.2;
2025-09-30;07:50;Bolivia;27;11.6;91.0;305.0;567.0;1.2;24.0;0.8;
2025-09-30;07:50;Fontibon;30;11.5;89.0;328.0;566.0;2.0;;1.1;
2025-09-30;07:50;Usme;32;11.8;;;564.0;2.4;13.0;;
2025-09-30;07:50;Jazmin;34;12.4;99.0;247.0;566.0;3.4;12.0;0.7;
2025-09-30;07:50;Ciudad Bolivar;37;11.1;;;559.0;4.7;2.0;;
2025-09-30;07:50;Colina;38;12.0;;328.0;566.0;0.0;19.0;1.1;
2025-09-30;07:50;Movil Fontibon;39;12.0;;;566.0;;18.0;;
2025-09-30;08:32;Usaquen;1;11.2;;336.0;;1.8;;1.4;
2025-09-30;08:32;Carvajal - Sevillana;3;11.5;;32.0;;4.0;;2.2;
2025-09-30;08:32;Tunal;4;;87.0;297.0;565.0;4.5;49.0;1.5;
2025-09-30;08:32;Centro de Alto Rendimiento;5;10.5;85.0;288.0;567.0;1.6;11.0;1.4;
2025-09-30;08:32;Las Ferias;6;11.7;82.0;;566.0;3.2;;;
2025-09-30;08:32;Guaymaral;8;11.9;81.0;-9999.0;566.0;0.5;1.0;-9999.0;11.5
2025-09-30;08:32;Kennedy;9;;88.5;319.0;;2.9;38.0;1.4;
2025-09-30;08:32;Suba;11;11.6;;312.0;;1.5;;1.2;
2025-09-30;08:32;Puente Aranda;13;11.7;100.0;261.0;566.0;2.1;30.0;1.5;
2025-09-30;08:32;MinAmbiente;17;;;-9999.0;;1.0;;-9999.0;
2025-09-30;08:32;San Cristobal;24;10.5;91.0;297.0;;0.9;17.0;0.4;
2025-09-30;08:32;Movil 7ma;26;12.5;75.2;228.0;564.0;0.9;31.0;0.2;
2025-09-30;08:32;Bolivia;27;11.4;92.0;306.0;567.0;3.1;34.0;1.7;
2025-09-30;08:32;Fontibon;30;11.1;92.0;291.0;567.0;2.8;;2.6;
2025-09-30;08:32;Usme;32;11.4;;;564.0;3.5;38.0;;
2025-09-30;08:32;Jazmin;34;11.9;100.0;290.0;566.0;1.7;49.0;1.7;
2025-09-30;08:32;Ciudad Bolivar;37;10.8;;;560.0;3.5;34.0;;
2025-09-30;08:32;Colina;38;11.9;;336.0;566.0;0.0;31.0;1.2;
2025-09-30;08:32;Movil Fontibon;39;11.6;;;567.0;;40.0;;
2025-09-30;09:22;Usaquen;1;10.9;;337.0;;2.5;;1.7;
2025-09-30;09:22;Carvajal - Sevillana;3;11.8;;33.0;;2.4;;1.9;
2025-09-30;09:22;Tunal;4;;88.0;310.0;566.0;4.2;106.0;1.4;
2025-09-30;09:22;Centro de Alto Rendimiento;5;10.5;86.0;330.0;567.0;2.3;58.0;1.3;
2025-09-30;09:22;Las Ferias;6;11.3;83.0;;567.0;5.5;;;
2025-09-30;09:22;Guaymaral;8;11.6;82.0;-9999.0;566.0;-6.8;14.0;-9999.0;11.1
2025-09-30;09:22;Kennedy;9;;89.3;272.0;;0.7;88.0;1.8;
2025-09-30;09:22;Suba;11;11.3;;286.0;;3.7;;0.7;
2025-09-30;09:22;Puente Aranda;13;11.7;100.0;267.0;566.0;1.7;74.0;1.4;
2025-09-30;09:22;MinAmbiente;17;;;-9999.0;;2.1;;-9999.0;
2025-09-30;09:22;San Cristobal;24;10.4;92.0;338.0;;3.6;32.0;1.0;
2025-09-30;09:22;Movil 7ma;26;12.2;76.9;23.0;565.0;2.1;41.0;0.2;
2025-09-30;09:22;Bolivia;27;11.3;94.0;309.0;568.0;4.3;79.0;1.2;
2025-09-30;09:22;Fontibon;30;11.1;93.0;286.0;567.0;2.3;;2.1;
2025-09-30;09:22;Usme;32;11.7;;;565.0;1.8;88.0;;
2025-09-30;09:22;Jazmin;34;11.8;100.0;303.0;567.0;1.2;99.0;1.4;
