Fecha;Hora;name;stationId;Rad Solar;Temperatura;Lluvia;Temperatura 8M;Dir Viento;Presion Baro;Vel Viento;Humedad
2025-12-30;02:27;Fontibon;30;;13.0;0.0;;20.0;564.0;1.3;78.0
2025-12-30;02:27;Usme;32;0.0;13.4;0.0;;;562.0;;
2025-12-30;02:27;Jazmin;34;0.0;14.4;0.0;;233.0;563.0;0.8;75.0
2025-12-30;02:27;Ciudad Bolivar;37;0.0;13.2;0.0;;;557.0;;
2025-12-30;02:27;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;02:27;Movil Fontibon;39;0.0;14.0;;;;564.0;;
2025-12-30;03:35;Usaquen;1;;12.7;0.0;;188.0;;0.4;
2025-12-30;03:35;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;03:35;Tunal;4;0.0;;0.0;;191.0;562.0;0.7;75.0
2025-12-30;03:35;Centro de Alto Rendimiento;5;0.0;11.7;0.0;;256.0;564.0;0.2;80.0
2025-12-30;03:35;Las Ferias;6;;13.4;0.0;;3.0;563.0;1.6;68.0
2025-12-30;03:35;Guaymaral;8;0.0;12.2;0.0;12.1;351.0;563.0;0.6;75.0
2025-12-30;03:35;Kennedy;9;0.0;;0.0;;322.0;;1.3;74.9
2025-12-30;03:35;Suba;11;;11.8;0.0;;27.0;;1.2;
2025-12-30;03:35;Puente Aranda;13;0.0;14.5;0.0;;246.0;563.0;0.9;78.0
2025-12-30;03:35;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;03:35;San Cristobal;24;0.0;11.8;0.0;;107.0;;0.7;75.0
2025-12-30;03:35;Movil 7ma;26;0.0;14.0;0.0;;187.0;561.0;0.4;60.3
2025-12-30;03:35;Bolivia;27;0.0;12.9;0.0;;58.0;564.0;1.7;82.0
2025-12-30;03:35;Fontibon;30;;12.7;0.0;;17.0;564.0;1.9;79.0
2025-12-30;03:35;Usme;32;0.0;13.4;0.0;;;561.0;;
2025-12-30;03:35;Jazmin;34;0.0;14.3;0.0;;244.0;563.0;0.5;76.0
2025-12-30;03:35;Ciudad Bolivar;37;0.0;13.4;0.0;;;557.0;;
2025-12-30;03:35;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;03:35;Movil Fontibon;39;0.0;13.6;;;;564.0;;
2025-12-30;04:30;Usaquen;1;;13.0;0.0;;64.0;;0.4;
2025-12-30;04:30;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;04:30;Tunal;4;0.0;;0.0;;205.0;562.0;0.4;74.0
2025-12-30;04:30;Centro de Alto Rendimiento;5;0.0;11.7;0.0;;353.0;564.0;1.1;82.0
2025-12-30;04:30;Las Ferias;6;;13.5;0.0;;346.0;563.0;1.8;68.0
2025-12-30;04:30;Guaymaral;8;0.0;12.4;0.0;12.2;327.0;563.0;0.8;74.0
2025-12-30;04:30;Kennedy;9;0.0;;0.0;;353.0;;1.0;77.5
2025-12-30;04:30;Suba;11;;11.9;0.0;;12.0;;1.6;
2025-12-30;04:30;Puente Aranda;13;0.0;14.7;0.0;;318.0;563.0;0.9;78.0
2025-12-30;04:30;MinAmbiente;17;;;0.0;;-9999.0;;-9999.0;
2025-12-30;04:30;San Cristobal;24;0.0;12.0;0.0;;111.0;;0.6;75.0
2025-12-30;04:30;Movil 7ma;26;0.0;14.1;0.0;;170.0;561.0;0.6;60.5
2025-12-30;04:30;Bolivia;27;0.0;12.7;0.0;;45.0;564.0;1.9;83.0
2025-12-30;04:30;Fontibon;30;;12.9;0.0;;32.0;563.0;2.4;78.0
2025-12-30;04:30;Usme;32;0.0;13.4;0.0;;;561.0;;
2025-12-30;04:30;Jazmin;34;0.0;14.3;0.0;;309.0;563.0;0.7;76.0
2025-12-30;04:30;Ciudad Bolivar;37;0.0;12.5;0.0;;;556.0;;
2025-12-30;04:30;Colina;38;53.0;14.8;0.3;;271.0;562.0;0.9;
2025-12-30;04:30;Movil Fontibon;39;0.0;13.6;;;;564.0;;
2025-12-30;05:28;Usaquen;1;;12.7;0.0;;119.0;;1.6;
2025-12-30;05:28;Carvajal - Sevillana;3;;11.9;0.0;;243.0;;1.6;
2025-12-30;05:28;Tunal;4;0.0;;0.0;;262.0;562.0;0.8;73.0
