Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Vel Viento;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar
2025-10-14;04:25;Movil 7ma;26;;65.9;0.1;258.0;0.0;12.6;561.0;0.0
2025-10-14;04:25;Bolivia;27;;84.0;0.7;32.0;0.0;12.3;564.0;0.0
2025-10-14;04:25;Fontibon;30;;87.0;0.1;349.0;0.0;11.8;563.0;
2025-10-14;04:25;Usme;32;;;;;0.0;12.5;561.0;0.0
2025-10-14;04:25;Jazmin;34;;96.0;1.0;270.0;0.0;12.4;563.0;0.0
2025-10-14;04:25;Ciudad Bolivar;37;;;;;0.0;11.4;557.0;0.0
2025-10-14;04:25;Colina;38;;;0.5;317.0;0.1;10.9;563.0;0.0
2025-10-14;04:25;Movil Fontibon;39;;;;;;12.0;564.0;0.0
2025-10-14;05:25;Usaquen;1;;;0.6;73.0;0.1;10.6;;
2025-10-14;05:25;Carvajal - Sevillana;3;;;;;1.0;11.9;;
2025-10-14;05:25;Tunal;4;;85.0;0.8;199.0;1.5;;563.0;1.0
2025-10-14;05:25;Centro de Alto Rendimiento;5;;87.0;0.2;264.0;0.4;9.2;564.0;0.0
2025-10-14;05:25;Las Ferias;6;;78.0;0.7;232.0;0.5;11.4;563.0;
2025-10-14;05:25;Guaymaral;8;10.3;85.0;0.5;305.0;0.1;10.5;563.0;0.0
2025-10-14;05:25;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;05:25;Suba;11;;;0.4;358.0;0.2;10.4;;
2025-10-14;05:25;Puente Aranda;13;;88.0;1.1;225.0;0.3;12.6;563.0;0.0
2025-10-14;05:25;MinAmbiente;17;;;-9999.0;-9999.0;0.4;;;
2025-10-14;05:25;San Cristobal;24;;81.0;0.5;92.0;0.5;9.7;;0.0
2025-10-14;05:25;Movil 7ma;26;;62.7;0.0;220.0;0.2;12.4;561.0;0.0
2025-10-14;05:25;Bolivia;27;;88.0;0.6;257.0;0.4;11.7;564.0;0.0
2025-10-14;05:25;Fontibon;30;;88.0;1.0;250.0;0.3;11.6;564.0;
2025-10-14;05:25;Usme;32;;;;;0.2;12.4;562.0;0.0
2025-10-14;05:25;Jazmin;34;;88.0;0.8;263.0;0.7;12.4;563.0;0.0
2025-10-14;05:25;Ciudad Bolivar;37;;;;;0.7;11.4;557.0;0.0
2025-10-14;05:25;Colina;38;;;0.5;302.0;0.1;11.0;563.0;0.0
2025-10-14;05:25;Movil Fontibon;39;;;;;;11.8;564.0;0.0
2025-10-14;06:18;Usaquen;1;;;1.0;126.0;0.0;10.3;;
2025-10-14;06:18;Carvajal - Sevillana;3;;;;;0.1;11.6;;
2025-10-14;06:18;Tunal;4;;84.0;1.0;163.0;0.2;;563.0;4.0
2025-10-14;06:18;Centro de Alto Rendimiento;5;;87.0;0.4;21.0;0.0;8.8;565.0;3.0
2025-10-14;06:18;Las Ferias;6;;80.0;0.5;2.0;0.1;11.3;564.0;
2025-10-14;06:18;Guaymaral;8;10.3;85.0;0.5;307.0;0.0;10.4;564.0;0.0
2025-10-14;06:18;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;06:18;Suba;11;;;0.4;16.0;0.0;10.4;;
2025-10-14;06:18;Puente Aranda;13;;84.0;0.6;192.0;0.1;12.4;563.0;3.0
2025-10-14;06:18;MinAmbiente;17;;;-9999.0;-9999.0;0.0;;;
2025-10-14;06:18;San Cristobal;24;;86.0;0.7;97.0;0.0;9.1;;0.0
2025-10-14;06:18;Movil 7ma;26;;67.9;0.2;125.0;0.0;11.8;562.0;1.0
2025-10-14;06:18;Bolivia;27;;90.0;0.5;178.0;0.0;11.7;565.0;4.0
2025-10-14;06:18;Fontibon;30;;91.0;0.2;49.0;0.0;11.4;564.0;
2025-10-14;06:18;Usme;32;;;;;0.1;11.7;562.0;2.0
2025-10-14;06:18;Jazmin;34;;87.0;0.8;139.0;0.0;12.0;564.0;3.0
2025-10-14;06:18;Ciudad Bolivar;37;;;;;0.3;11.3;557.0;2.0
2025-10-14;06:18;Colina;38;;;0.5;316.0;0.0;10.8;564.0;3.0
2025-10-14;06:18;Movil Fontibon;39;;;;;;11.8;564.0;4.0
2025-10-14;07:51;Usaquen;1;;;1.6;90.0;0.0;11.7;;
2025-10-14;07:51;Carvajal - Sevillana;3;;;;;0.0;12.6;;
2025-10-14;07:51;Tunal;4;;82.0;1.3;155.0;0.0;;563.0;65.0
2025-10-14;07:51;Centro de Alto Rendimiento;5;;86.0;0.6;32.0;0.0;9.8;565.0;56.0
2025-10-14;07:51;Las Ferias;6;;76.0;1.4;25.0;0.0;12.1;564.0;
2025-10-14;07:51;Guaymaral;8;10.6;85.0;0.5;331.0;0.0;10.6;564.0;14.0
2025-10-14;07:51;Kennedy;9;;76.1;1.3;234.0;0.0;;;0.0
2025-10-14;07:51;Suba;11;;;0.8;17.0;0.1;10.5;;
2025-10-14;07:51;Puente Aranda;13;;83.0;0.6;173.0;0.0;13.0;564.0;50.0
