Fecha;Hora;name;stationId;Lluvia;Temperatura 8M;Vel Viento;Humedad;Temperatura;Rad Solar;Dir Viento;Presion Baro
2025-10-02;03:29;Movil 7ma;26;0.0;;0.2;61.7;14.0;0.0;221.0;563.0
2025-10-02;03:29;Bolivia;27;0.0;;1.3;85.0;11.9;0.0;2.0;566.0
2025-10-02;03:29;Fontibon;30;0.0;;1.7;82.0;11.9;;355.0;565.0
2025-10-02;03:29;Usme;32;0.0;;;;13.2;0.0;;563.0
2025-10-02;03:29;Jazmin;34;0.0;;1.0;78.0;13.8;0.0;274.0;565.0
2025-10-02;03:29;Ciudad Bolivar;37;0.0;;;;12.7;0.0;;558.0
2025-10-02;03:29;Colina;38;0.0;;0.9;;12.4;0.0;33.0;565.0
2025-10-02;03:29;Movil Fontibon;39;;;;;12.7;0.0;;566.0
2025-10-02;04:22;Usaquen;1;0.0;;0.5;;11.3;;32.0;
2025-10-02;04:22;Carvajal - Sevillana;3;0.0;;0.7;;13.4;;54.0;
2025-10-02;04:22;Tunal;4;0.0;;0.5;74.0;;1.0;232.0;564.0
2025-10-02;04:22;Centro de Alto Rendimiento;5;0.0;;0.9;76.0;10.8;0.0;342.0;566.0
2025-10-02;04:22;Las Ferias;6;0.0;;;73.0;12.1;;;565.0
2025-10-02;04:22;Guaymaral;8;0.0;9.7;0.9;82.0;9.7;0.0;6.0;565.0
2025-10-02;04:22;Kennedy;9;0.0;;1.3;80.0;;0.0;348.0;
2025-10-02;04:22;Suba;11;0.0;;1.1;;10.0;;41.0;
2025-10-02;04:22;Puente Aranda;13;0.0;;0.9;83.0;13.6;0.0;335.0;565.0
2025-10-02;04:22;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;04:22;San Cristobal;24;0.0;;1.0;78.0;11.1;0.0;109.0;
2025-10-02;04:22;Movil 7ma;26;0.0;;0.3;64.4;13.6;0.0;24.0;563.0
2025-10-02;04:22;Bolivia;27;0.0;;1.0;86.0;11.5;0.0;13.0;566.0
2025-10-02;04:22;Fontibon;30;0.0;;2.1;84.0;11.5;;20.0;565.0
2025-10-02;04:22;Usme;32;0.0;;;;12.4;0.0;;563.0
2025-10-02;04:22;Jazmin;34;0.0;;1.0;80.0;13.4;0.0;297.0;565.0
2025-10-02;04:22;Ciudad Bolivar;37;0.0;;;;12.1;0.0;;558.0
2025-10-02;04:22;Colina;38;0.0;;1.0;;11.6;0.0;351.0;565.0
2025-10-02;04:22;Movil Fontibon;39;;;;;12.3;0.0;;566.0
2025-10-02;05:22;Usaquen;1;0.0;;0.4;;11.2;;75.0;
2025-10-02;05:22;Carvajal - Sevillana;3;0.0;;1.0;;12.2;;121.0;
2025-10-02;05:22;Tunal;4;0.0;;0.6;78.0;;1.0;283.0;564.0
2025-10-02;05:22;Centro de Alto Rendimiento;5;0.0;;0.7;82.0;9.1;0.0;47.0;566.0
2025-10-02;05:22;Las Ferias;6;0.0;;;77.0;10.8;;;565.0
2025-10-02;05:22;Guaymaral;8;0.0;9.1;0.4;83.0;9.0;0.0;281.0;565.0
2025-10-02;05:22;Kennedy;9;0.0;;1.0;81.7;;0.0;60.0;
2025-10-02;05:22;Suba;11;0.0;;1.5;;9.2;;26.0;
2025-10-02;05:22;Puente Aranda;13;0.0;;1.3;88.0;12.7;0.0;45.0;565.0
2025-10-02;05:22;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;05:22;San Cristobal;24;0.0;;1.4;80.0;10.3;0.0;98.0;
2025-10-02;05:22;Movil 7ma;26;0.0;;0.5;66.6;12.6;0.0;106.0;563.0
2025-10-02;05:22;Bolivia;27;0.0;;2.0;87.0;11.0;0.0;65.0;566.0
2025-10-02;05:22;Fontibon;30;0.0;;2.4;85.0;11.1;;45.0;565.0
2025-10-02;05:22;Usme;32;0.0;;;;11.7;0.0;;563.0
2025-10-02;05:22;Jazmin;34;0.0;;1.0;87.0;12.5;0.0;356.0;565.0
2025-10-02;05:22;Ciudad Bolivar;37;0.0;;;;11.2;0.0;;558.0
2025-10-02;05:22;Colina;38;0.0;;0.9;;11.1;0.0;344.0;565.0
2025-10-02;05:22;Movil Fontibon;39;;;;;11.9;0.0;;566.0
2025-10-02;06:18;Usaquen;1;0.0;;0.3;;10.9;;30.0;
2025-10-02;06:18;Carvajal - Sevillana;3;0.0;;0.7;;11.9;;60.0;
2025-10-02;06:18;Tunal;4;0.0;;0.7;79.0;;4.0;222.0;565.0
2025-10-02;06:18;Centro de Alto Rendimiento;5;0.0;;0.7;82.0;9.0;2.0;33.0;566.0
2025-10-02;06:18;Las Ferias;6;0.0;;;75.0;11.2;;;565.0
2025-10-02;06:18;Guaymaral;8;0.0;9.0;0.9;85.0;9.0;0.0;305.0;565.0
2025-10-02;06:18;Kennedy;9;0.0;;0.8;83.3;;2.0;348.0;
2025-10-02;06:18;Suba;11;0.0;;1.3;;9.0;;27.0;
2025-10-02;06:18;Puente Aranda;13;0.0;;1.0;86.0;12.8;2.0;321.0;565.0
2025-10-02;06:18;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;06:18;San Cristobal;24;0.0;;0.7;79.0;10.1;1.0;111.0;
2025-10-02;06:18;Movil 7ma;26;0.0;;0.6;63.4;12.6;1.0;152.0;563.0
2025-10-02;06:18;Bolivia;27;0.0;;2.1;87.0;10.9;3.0;66.0;566.0
2025-10-02;06:18;Fontibon;30;0.0;;1.9;84.0;11.1;;40.0;566.0
2025-10-02;06:18;Usme;32;0.0;;;;11.6;2.0;;564.0
2025-10-02;06:18;Jazmin;34;0.0;;0.6;87.0;12.5;3.0;302.0;565.0
2025-10-02;06:18;Ciudad Bolivar;37;0.0;;;;11.2;1.0;;559.0
2025-10-02;06:18;Colina;38;0.0;;1.0;;11.3;2.0;1.0;566.0
2025-10-02;06:18;Movil Fontibon;39;;;;;11.8;3.0;;566.0
2025-10-02;07:45;Usaquen;1;0.0;;1.0;;11.4;;65.0;
2025-10-02;07:45;Carvajal - Sevillana;3;0.0;;1.3;;13.3;;254.0;
2025-10-02;07:45;Tunal;4;0.0;;0.5;81.0;;75.0;238.0;565.0
2025-10-02;07:45;Centro de Alto Rendimiento;5;0.0;;1.0;77.0;10.5;84.0;58.0;567.0
2025-10-02;07:45;Las Ferias;6;0.0;;;69.0;12.7;;;566.0
2025-10-02;07:45;Guaymaral;8;0.0;9.7;0.8;85.0;9.7;18.0;299.0;566.0
2025-10-02;07:45;Kennedy;9;0.0;;0.8;84.3;;50.0;48.0;
2025-10-02;07:45;Suba;11;0.0;;1.9;;9.4;;27.0;
2025-10-02;07:45;Puente Aranda;13;0.0;;0.7;82.0;13.4;67.0;220.0;565.0
2025-10-02;07:45;MinAmbiente;17;0.0;;-9999.0;;;;-9999.0;
2025-10-02;07:45;San Cristobal;24;0.0;;0.6;80.0;10.2;33.0;99.0;
2025-10-02;07:45;Movil 7ma;26;0.0;;0.1;64.3;12.5;42.0;190.0;564.0
2025-10-02;07:45;Bolivia;27;0.0;;2.3;86.0;11.1;82.0;64.0;567.0
