Fecha;Hora;name;stationId;PM25;eBC;NOX;PM10;BBP;OZONO;NO2;SO2;CO;NO
2025-12-08;06:23;Usme;32;43.3;;49.6;64.6;;0.6;13.9;1.2;0.48;35.7
2025-12-08;06:23;Jazmin;34;66.7;;47.0;89.4;;0.3;14.9;1.1;0.64;32.1
2025-12-08;06:23;Ciudad Bolivar;37;69.3;8.0;121.7;124.8;31.9;0.9;27.5;1.7;1.61;94.2
2025-12-08;06:23;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;06:23;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;07:53;Usaquen;1;44.4;;-9999.0;35.2;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;07:53;Carvajal - Sevillana;3;60.0;;;124.0;;;;3.4;2.03;
2025-12-08;07:53;Tunal;4;0.0;3.0;30.8;29.0;11.4;1.5;7.2;0.5;-9999.0;23.6
2025-12-08;07:53;Centro de Alto Rendimiento;5;52.6;7.3;43.7;61.6;23.7;-9999.0;8.6;-0.6;0.75;35.1
2025-12-08;07:53;Las Ferias;6;48.0;;62.9;50.8;;0.5;15.0;;1.04;47.8
2025-12-08;07:53;Guaymaral;8;25.0;;42.5;43.0;;0.5;8.2;1.0;0.54;34.2
2025-12-08;07:53;Kennedy;9;55.0;7.8;59.3;65.5;29.5;0.1;20.4;2.1;1.17;38.9
2025-12-08;07:53;Suba;11;985.0;;43.7;24.8;;0.5;9.5;0.6;0.67;34.2
2025-12-08;07:53;Puente Aranda;13;38.5;-9999.0;65.3;49.7;0.1;1.5;18.4;2.8;0.65;47.4
2025-12-08;07:53;MinAmbiente;17;22.0;;24.3;30.0;;1.6;8.6;1.4;0.76;15.7
2025-12-08;07:53;San Cristobal;24;15.0;0.7;-9999.0;16.0;12.9;3.7;-9999.0;0.1;0.32;-9999.0
2025-12-08;07:53;Movil 7ma;26;38.3;;;71.0;;;;;-9999.0;
2025-12-08;07:53;Bolivia;27;36.6;;41.5;78.7;;0.7;13.3;;0.78;28.2
2025-12-08;07:53;Fontibon;30;54.0;5.0;61.2;-9999.0;34.2;2.1;21.7;-9999.0;0.75;39.5
2025-12-08;07:53;Usme;32;37.2;;42.9;34.5;;0.7;12.8;1.4;0.39;30.2
2025-12-08;07:53;Jazmin;34;49.9;;51.3;77.0;;0.3;16.4;1.4;0.79;34.9
2025-12-08;07:53;Ciudad Bolivar;37;73.0;9.5;145.1;132.5;29.2;1.2;31.7;2.4;1.7;113.4
2025-12-08;07:53;Colina;38;8.0;;86.3;2.4;;-9999.0;62.8;0.4;0.7;23.5
2025-12-08;07:53;Movil Fontibon;39;14.2;;-9999.0;79.8;;;-9999.0;;-9999.0;-9999.0
2025-12-08;08:37;Usaquen;1;44.6;;-9999.0;35.2;;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0
2025-12-08;08:37;Carvajal - Sevillana;3;60.0;;;119.0;;;;7.2;1.11;
2025-12-08;08:37;Tunal;4;0.0;4.1;35.9;43.0;8.0;4.1;9.8;2.3;-9999.0;26.1
2025-12-08;08:37;Centro de Alto Rendimiento;5;62.8;9.8;56.6;63.2;20.8;-9999.0;18.6;0.4;0.91;38.1
2025-12-08;08:37;Las Ferias;6;42.0;;57.5;45.7;;2.9;20.8;;0.9;36.7
2025-12-08;08:37;Guaymaral;8;22.0;;19.6;37.0;;2.9;7.4;0.8;0.36;12.2
2025-12-08;08:37;Kennedy;9;63.7;8.0;73.6;67.0;17.6;2.4;27.5;7.0;1.29;46.1
2025-12-08;08:37;Suba;11;985.0;;26.3;42.8;;1.6;7.1;0.9;0.5;19.2
2025-12-08;08:37;Puente Aranda;13;38.0;-9999.0;61.8;41.7;0.1;2.9;26.9;3.7;0.65;35.1
2025-12-08;08:37;MinAmbiente;17;36.0;;29.0;53.0;;5.1;12.7;2.4;0.84;16.4
2025-12-08;08:37;San Cristobal;24;10.0;0.8;-9999.0;32.0;14.3;5.2;-9999.0;0.7;0.53;-9999.0
2025-12-08;08:37;Movil 7ma;26;28.4;;;58.9;;;;;-9999.0;
2025-12-08;08:37;Bolivia;27;37.0;;30.5;70.0;;2.3;13.3;;0.39;17.2
2025-12-08;08:37;Fontibon;30;55.0;6.0;85.7;-9999.0;20.8;4.4;42.4;-9999.0;0.76;43.4
2025-12-08;08:37;Usme;32;37.4;;44.1;55.8;;2.7;17.4;10.1;0.45;26.8
2025-12-08;08:37;Jazmin;34;47.7;;53.7;68.3;;2.6;21.0;2.3;0.89;32.8
