Fecha;Hora;name;stationId;Humedad;Presion Baro;Rad Solar;Vel Viento;Dir Viento;Temperatura;Temperatura 8M;Lluvia
2025-11-04;01:36;Las Ferias;6;80.0;565.0;;1.4;242.0;13.5;;0.0
2025-11-04;01:36;Guaymaral;8;83.0;564.0;0.0;0.5;318.0;9.8;10.0;0.0
2025-11-04;01:36;Kennedy;9;46.2;;615.0;1.7;174.0;;;0.0
2025-11-04;01:36;Suba;11;;;;0.5;6.0;11.1;;0.0
2025-11-04;01:36;Puente Aranda;13;85.0;564.0;0.0;1.3;223.0;13.4;;0.0
2025-11-04;01:36;MinAmbiente;17;;;;-9999.0;-9999.0;;;0.0
2025-11-04;01:36;San Cristobal;24;75.0;;0.0;2.3;107.0;10.1;;0.0
2025-11-04;01:36;Movil 7ma;26;64.1;563.0;0.0;0.2;96.0;14.3;;0.0
2025-11-04;01:36;Bolivia;27;94.0;566.0;0.0;0.6;316.0;12.7;;0.0
2025-11-04;01:36;Fontibon;30;92.0;565.0;;0.5;301.0;12.7;;0.0
2025-11-04;01:36;Usme;32;;563.0;0.0;;;11.5;;0.0
2025-11-04;01:36;Jazmin;34;83.0;565.0;0.0;0.5;225.0;12.8;;0.0
2025-11-04;01:36;Ciudad Bolivar;37;;558.0;0.0;;;11.6;;0.0
2025-11-04;01:36;Colina;38;;562.0;53.0;0.9;271.0;14.8;;0.3
2025-11-04;01:36;Movil Fontibon;39;;565.0;0.0;;;13.2;;
2025-11-04;02:23;Usaquen;1;;;;0.8;149.0;10.8;;0.0
2025-11-04;02:23;Carvajal - Sevillana;3;;;;1.4;249.0;11.7;;0.0
2025-11-04;02:23;Tunal;4;79.0;564.0;1.0;0.7;231.0;;;0.0
2025-11-04;02:23;Centro de Alto Rendimiento;5;87.0;565.0;0.0;0.1;261.0;9.3;;0.0
2025-11-04;02:23;Las Ferias;6;79.0;564.0;;1.3;216.0;13.3;;0.0
2025-11-04;02:23;Guaymaral;8;84.0;564.0;0.0;0.4;210.0;9.1;9.3;0.0
2025-11-04;02:23;Kennedy;9;46.2;;615.0;1.7;174.0;;;0.0
