Fecha;Hora;name;stationId;Temperatura 8M;Humedad;Temperatura;Dir Viento;Lluvia;Rad Solar;Presion Baro;Vel Viento
2025-11-13;06:21;Movil Fontibon;39;;;12.7;;;8.0;564.0;
2025-11-13;07:52;Usaquen;1;;;13.2;6.0;0.0;;;1.1
2025-11-13;07:52;Carvajal - Sevillana;3;;;14.7;246.0;0.0;;;2.3
2025-11-13;07:52;Tunal;4;;81.0;;180.0;0.0;78.0;563.0;1.2
2025-11-13;07:52;Centro de Alto Rendimiento;5;;74.0;13.7;207.0;0.0;100.0;565.0;0.5
2025-11-13;07:52;Las Ferias;6;;64.0;15.2;33.0;0.0;;564.0;1.6
2025-11-13;07:52;Guaymaral;8;13.4;75.0;13.4;68.0;0.0;4.0;564.0;0.7
2025-11-13;07:52;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;07:52;Suba;11;;;13.2;19.0;0.0;;;1.1
2025-11-13;07:52;Puente Aranda;13;;87.0;14.3;221.0;0.0;72.0;563.0;1.5
2025-11-13;07:52;MinAmbiente;17;;;;-9999.0;0.1;;;-9999.0
2025-11-13;07:52;San Cristobal;24;;76.0;12.8;105.0;0.0;52.0;;0.6
2025-11-13;07:52;Movil 7ma;26;;59.9;15.0;319.0;0.0;66.0;562.0;0.3
2025-11-13;07:52;Bolivia;27;;80.0;14.2;72.0;0.0;133.0;565.0;1.7
2025-11-13;07:52;Fontibon;30;;90.0;13.4;304.0;0.0;;564.0;0.6
2025-11-13;07:52;Usme;32;;;13.6;;0.0;37.0;562.0;
2025-11-13;07:52;Jazmin;34;;83.0;14.7;227.0;0.0;131.0;564.0;0.7
2025-11-13;07:52;Ciudad Bolivar;37;;;13.3;;0.0;86.0;557.0;
2025-11-13;07:52;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;07:52;Movil Fontibon;39;;;13.2;;;100.0;565.0;
2025-11-13;08:35;Usaquen;1;;;13.7;53.0;0.0;;;1.1
2025-11-13;08:35;Carvajal - Sevillana;3;;;16.2;249.0;0.0;;;2.7
2025-11-13;08:35;Tunal;4;;78.0;;177.0;0.0;156.0;563.0;1.1
2025-11-13;08:35;Centro de Alto Rendimiento;5;;56.0;17.0;124.0;0.0;202.0;565.0;0.2
2025-11-13;08:35;Las Ferias;6;;62.0;15.8;2.0;0.0;;564.0;2.3
2025-11-13;08:35;Guaymaral;8;16.6;67.0;17.5;97.0;0.0;160.0;564.0;0.8
2025-11-13;08:35;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;08:35;Suba;11;;;15.9;24.0;0.0;;;2.0
2025-11-13;08:35;Puente Aranda;13;;80.0;15.2;202.0;0.0;148.0;564.0;1.7
2025-11-13;08:35;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;08:35;San Cristobal;24;;69.0;14.1;139.0;0.0;101.0;;1.0
2025-11-13;08:35;Movil 7ma;26;;58.3;15.7;237.0;0.0;136.0;562.0;0.4
2025-11-13;08:35;Bolivia;27;;75.0;15.2;70.0;0.0;417.0;565.0;2.3
2025-11-13;08:35;Fontibon;30;;77.0;15.4;252.0;0.0;;565.0;0.6
2025-11-13;08:35;Usme;32;;;14.3;;0.0;141.0;562.0;
2025-11-13;08:35;Jazmin;34;;80.0;15.3;223.0;0.0;201.0;564.0;1.0
2025-11-13;08:35;Ciudad Bolivar;37;;;14.6;;0.0;237.0;557.0;
2025-11-13;08:35;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;08:35;Movil Fontibon;39;;;14.9;;;267.0;565.0;
2025-11-13;09:23;Usaquen;1;;;15.6;91.0;0.0;;;0.9
2025-11-13;09:23;Carvajal - Sevillana;3;;;17.5;243.0;0.0;;;2.4
2025-11-13;09:23;Tunal;4;;67.0;;213.0;0.0;372.0;564.0;1.3
2025-11-13;09:23;Centro de Alto Rendimiento;5;;58.0;16.2;118.0;0.0;268.0;565.0;0.7
2025-11-13;09:23;Las Ferias;6;;58.0;17.0;71.0;0.0;;564.0;0.8
2025-11-13;09:23;Guaymaral;8;16.4;60.0;16.9;320.0;0.0;111.0;564.0;0.7
2025-11-13;09:23;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;09:23;Suba;11;;;17.1;46.0;0.0;;;1.7
2025-11-13;09:23;Puente Aranda;13;;74.0;16.2;208.0;0.0;236.0;564.0;1.6
2025-11-13;09:23;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;09:23;San Cristobal;24;;61.0;16.4;146.0;0.0;332.0;;1.4
2025-11-13;09:23;Movil 7ma;26;;52.4;15.9;345.0;0.0;463.0;563.0;0.2
2025-11-13;09:23;Bolivia;27;;70.0;16.2;76.0;0.0;497.0;565.0;2.0
2025-11-13;09:23;Fontibon;30;;64.0;16.8;69.0;0.0;;565.0;0.6
2025-11-13;09:23;Usme;32;;;15.9;;0.0;210.0;563.0;
2025-11-13;09:23;Jazmin;34;;70.0;16.5;266.0;0.0;361.0;564.0;0.8
2025-11-13;09:23;Ciudad Bolivar;37;;;15.6;;0.0;295.0;558.0;
2025-11-13;09:23;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;09:23;Movil Fontibon;39;;;16.3;;;273.0;565.0;
2025-11-13;10:27;Usaquen;1;;;15.9;37.0;0.0;;;1.7
2025-11-13;10:27;Carvajal - Sevillana;3;;;19.3;280.0;0.0;;;2.8
2025-11-13;10:27;Tunal;4;;56.0;;203.0;0.0;524.0;564.0;1.4
2025-11-13;10:27;Centro de Alto Rendimiento;5;;54.0;17.1;324.0;0.0;181.0;565.0;1.2
2025-11-13;10:27;Las Ferias;6;;55.0;18.3;0.0;0.0;;564.0;2.2
2025-11-13;10:27;Guaymaral;8;16.9;57.0;17.6;96.0;0.0;139.0;564.0;1.1
2025-11-13;10:27;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;10:27;Suba;11;;;18.2;31.0;0.0;;;1.8
2025-11-13;10:27;Puente Aranda;13;;68.0;17.0;224.0;0.0;179.0;564.0;1.8
2025-11-13;10:27;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;10:27;San Cristobal;24;;52.0;18.6;116.0;0.0;429.0;;1.2
2025-11-13;10:27;Movil 7ma;26;;46.9;14.9;37.0;0.1;279.0;563.0;0.3
2025-11-13;10:27;Bolivia;27;;69.0;16.7;74.0;0.0;455.0;565.0;1.5
2025-11-13;10:27;Fontibon;30;;59.0;17.3;184.0;0.0;;565.0;0.7
2025-11-13;10:27;Usme;32;;;16.9;;0.0;408.0;563.0;
2025-11-13;10:27;Jazmin;34;;62.0;17.8;230.0;0.0;293.0;564.0;1.1
2025-11-13;10:27;Ciudad Bolivar;37;;;16.7;;4.8;481.0;558.0;
2025-11-13;10:27;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;10:27;Movil Fontibon;39;;;17.0;;;190.0;565.0;
2025-11-13;11:30;Usaquen;1;;;16.0;99.0;0.1;;;2.2
2025-11-13;11:30;Carvajal - Sevillana;3;;;19.8;261.0;0.0;;;3.3
2025-11-13;11:30;Tunal;4;;50.0;;182.0;0.0;526.0;563.0;1.6
2025-11-13;11:30;Centro de Alto Rendimiento;5;;65.0;15.6;323.0;0.4;258.0;565.0;0.2
2025-11-13;11:30;Las Ferias;6;;57.0;17.9;3.0;0.0;;564.0;2.4
2025-11-13;11:30;Guaymaral;8;16.5;57.0;17.2;33.0;0.1;97.0;564.0;1.3
2025-11-13;11:30;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;11:30;Suba;11;;;18.2;38.0;0.0;;;2.0
2025-11-13;11:30;Puente Aranda;13;;74.0;16.8;218.0;0.0;221.0;564.0;1.7
2025-11-13;11:30;MinAmbiente;17;;;;-9999.0;0.9;;;-9999.0
2025-11-13;11:30;San Cristobal;24;;56.0;18.2;119.0;0.0;486.0;;1.9
2025-11-13;11:30;Movil 7ma;26;;56.0;-62.4;3.0;0.1;265.0;562.0;0.2
2025-11-13;11:30;Bolivia;27;;71.0;16.8;54.0;0.0;282.0;565.0;1.7
2025-11-13;11:30;Fontibon;30;;63.0;16.7;58.0;0.0;;565.0;2.1
2025-11-13;11:30;Usme;32;;;17.5;;0.0;375.0;562.0;
2025-11-13;11:30;Jazmin;34;;63.0;18.0;128.0;0.0;467.0;564.0;2.0
2025-11-13;11:30;Ciudad Bolivar;37;;;17.5;;0.0;472.0;558.0;
2025-11-13;11:30;Colina;38;;;14.8;271.0;0.3;53.0;562.0;0.9
2025-11-13;11:30;Movil Fontibon;39;;;17.1;;;229.0;565.0;
2025-11-13;12:23;Usaquen;1;;;16.5;87.0;0.1;;;1.1
2025-11-13;12:23;Carvajal - Sevillana;3;;;19.4;251.0;0.0;;;2.6
2025-11-13;12:23;Tunal;4;;51.0;;183.0;0.0;556.0;563.0;1.5
2025-11-13;12:23;Centro de Alto Rendimiento;5;;68.0;15.7;15.0;0.6;246.0;565.0;1.3
2025-11-13;12:23;Las Ferias;6;;70.0;16.1;360.0;0.7;;564.0;2.5
2025-11-13;12:23;Guaymaral;8;16.2;65.0;17.6;1.0;0.0;229.0;564.0;1.3
2025-11-13;12:23;Kennedy;9;;46.2;;174.0;0.0;615.0;;1.7
2025-11-13;12:23;Suba;11;;;17.8;11.0;0.0;;;2.3
2025-11-13;12:23;Puente Aranda;13;;76.0;17.1;6.0;0.0;305.0;563.0;1.5
2025-11-13;12:23;MinAmbiente;17;;;;-9999.0;0.0;;;-9999.0
2025-11-13;12:23;San Cristobal;24;;60.0;17.4;105.0;0.0;299.0;;2.1
2025-11-13;12:23;Movil 7ma;26;;58.4;-63.6;83.0;0.8;200.0;562.0;0.7
2025-11-13;12:23;Bolivia;27;;77.0;16.0;61.0;0.3;320.0;565.0;2.1
2025-11-13;12:23;Fontibon;30;;64.0;17.3;68.0;0.0;;564.0;2.3
2025-11-13;12:23;Usme;32;;;16.7;;0.1;286.0;562.0;
2025-11-13;12:23;Jazmin;34;;67.0;17.5;15.0;0.0;375.0;564.0;1.5
