Fecha;Hora;name;stationId;Presion Baro;Vel Viento;Lluvia;Humedad;Temperatura;Temperatura 8M;Dir Viento;Rad Solar
2026-01-09;06:24;Usaquen;1;;0.6;0.0;;10.5;;92.0;
2026-01-09;06:24;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;06:24;Tunal;4;563.0;0.3;0.0;76.0;;;254.0;0.0
2026-01-09;06:24;Centro de Alto Rendimiento;5;564.0;1.6;0.0;90.0;10.6;;28.0;0.0
2026-01-09;06:24;Las Ferias;6;563.0;1.7;0.0;76.0;11.6;;4.0;
2026-01-09;06:24;Guaymaral;8;563.0;0.5;0.0;83.0;8.7;8.8;311.0;0.0
2026-01-09;06:24;Kennedy;9;;1.1;0.0;81.4;;;40.0;0.0
2026-01-09;06:24;Suba;11;;1.1;0.0;;10.0;;50.0;
2026-01-09;06:24;Puente Aranda;13;563.0;1.1;0.0;86.0;13.5;;340.0;0.0
2026-01-09;06:24;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;06:24;San Cristobal;24;;1.2;0.0;79.0;10.8;;92.0;0.0
2026-01-09;06:24;Movil 7ma;26;562.0;0.4;0.0;64.3;13.1;;225.0;0.0
2026-01-09;06:24;Bolivia;27;564.0;1.8;0.0;88.0;11.9;;64.0;0.0
2026-01-09;06:24;Fontibon;30;564.0;2.2;0.0;84.0;12.0;;41.0;
2026-01-09;06:24;Usme;32;562.0;;0.0;;12.4;;;0.0
2026-01-09;06:24;Jazmin;34;563.0;1.0;0.0;86.0;13.2;;327.0;0.0
2026-01-09;06:24;Ciudad Bolivar;37;557.0;;0.0;;12.6;;;0.0
2026-01-09;06:24;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;06:24;Movil Fontibon;39;564.0;;;;12.7;;;0.0
2026-01-09;07:55;Usaquen;1;;0.5;0.0;;11.1;;63.0;
2026-01-09;07:55;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;07:55;Tunal;4;563.0;0.8;0.0;78.0;;;318.0;46.0
2026-01-09;07:55;Centro de Alto Rendimiento;5;565.0;2.4;0.0;87.0;11.4;;56.0;37.0
2026-01-09;07:55;Las Ferias;6;564.0;1.8;0.0;74.0;12.1;;8.0;
2026-01-09;07:55;Guaymaral;8;564.0;0.4;0.0;85.0;9.3;9.4;332.0;2.0
2026-01-09;07:55;Kennedy;9;;1.5;0.0;82.9;;;69.0;24.0
2026-01-09;07:55;Suba;11;;1.5;0.0;;9.9;;31.0;
2026-01-09;07:55;Puente Aranda;13;564.0;1.3;0.0;85.0;13.3;;28.0;31.0
2026-01-09;07:55;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;07:55;San Cristobal;24;;1.2;0.0;75.0;11.5;;91.0;33.0
2026-01-09;07:55;Movil 7ma;26;562.0;0.3;0.0;65.0;13.0;;203.0;33.0
2026-01-09;07:55;Bolivia;27;565.0;1.9;0.0;89.0;11.8;;72.0;27.0
2026-01-09;07:55;Fontibon;30;564.0;2.6;0.0;85.0;12.0;;48.0;
2026-01-09;07:55;Usme;32;562.0;;0.0;;12.7;;;44.0
2026-01-09;07:55;Jazmin;34;564.0;1.0;0.0;86.0;13.1;;345.0;47.0
2026-01-09;07:55;Ciudad Bolivar;37;557.0;;0.0;;12.2;;;28.0
2026-01-09;07:55;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;07:55;Movil Fontibon;39;565.0;;;;12.6;;;33.0
2026-01-09;08:41;Usaquen;1;;1.1;0.0;;12.4;;135.0;
2026-01-09;08:41;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;08:41;Tunal;4;564.0;0.7;0.0;74.0;;;231.0;122.0
2026-01-09;08:41;Centro de Alto Rendimiento;5;565.0;1.1;0.0;72.0;14.1;;72.0;77.0
2026-01-09;08:41;Las Ferias;6;564.0;2.5;0.0;68.0;13.3;;35.0;
2026-01-09;08:41;Guaymaral;8;564.0;0.8;0.0;86.0;11.4;11.3;278.0;9.0
2026-01-09;08:41;Kennedy;9;;0.9;0.0;80.7;;;107.0;67.0
2026-01-09;08:41;Suba;11;;1.9;0.0;;10.5;;15.0;
2026-01-09;08:41;Puente Aranda;13;564.0;1.1;0.0;81.0;13.8;;26.0;78.0
2026-01-09;08:41;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;08:41;San Cristobal;24;;0.1;0.0;71.0;13.2;;287.0;87.0
2026-01-09;08:41;Movil 7ma;26;563.0;0.1;0.0;62.4;14.0;;276.0;81.0
2026-01-09;08:41;Bolivia;27;565.0;2.1;0.0;88.0;11.8;;58.0;58.0
2026-01-09;08:41;Fontibon;30;565.0;2.7;0.0;81.0;12.6;;54.0;
2026-01-09;08:41;Usme;32;563.0;;0.0;;13.9;;;75.0
2026-01-09;08:41;Jazmin;34;564.0;0.7;0.0;80.0;13.9;;316.0;119.0
2026-01-09;08:41;Ciudad Bolivar;37;558.0;;0.0;;13.2;;;94.0
2026-01-09;08:41;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;08:41;Movil Fontibon;39;565.0;;;;13.2;;;75.0
2026-01-09;09:29;Usaquen;1;;0.7;0.0;;15.5;;164.0;
2026-01-09;09:29;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;09:29;Tunal;4;564.0;1.2;0.0;63.0;;;186.0;447.0
2026-01-09;09:29;Centro de Alto Rendimiento;5;565.0;0.6;0.0;58.0;18.1;;233.0;376.0
2026-01-09;09:29;Las Ferias;6;564.0;2.0;0.0;55.0;17.1;;17.0;
2026-01-09;09:29;Guaymaral;8;564.0;0.9;0.0;77.0;15.1;15.1;300.0;269.0
2026-01-09;09:29;Kennedy;9;;0.9;0.0;74.5;;;142.0;168.0
2026-01-09;09:29;Suba;11;;1.8;0.0;;12.8;;12.0;
2026-01-09;09:29;Puente Aranda;13;564.0;1.0;0.0;73.0;15.6;;248.0;266.0
2026-01-09;09:29;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;09:29;San Cristobal;24;;0.7;0.0;63.0;15.0;;148.0;238.0
2026-01-09;09:29;Movil 7ma;26;563.0;0.4;0.0;54.6;16.7;;290.0;396.0
2026-01-09;09:29;Bolivia;27;565.0;1.9;0.0;80.0;13.6;;71.0;492.0
2026-01-09;09:29;Fontibon;30;565.0;2.0;0.0;67.0;15.5;;48.0;
2026-01-09;09:29;Usme;32;563.0;;0.0;;15.0;;;302.0
2026-01-09;09:29;Jazmin;34;565.0;1.3;0.0;69.0;16.0;;274.0;507.0
2026-01-09;09:29;Ciudad Bolivar;37;558.0;;0.0;;15.0;;;410.0
2026-01-09;09:29;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;09:29;Movil Fontibon;39;565.0;;;;15.3;;;539.0
2026-01-09;10:29;Usaquen;1;;0.3;0.0;;17.2;;84.0;
2026-01-09;10:29;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;10:29;Tunal;4;564.0;1.6;0.0;48.0;;;198.0;803.0
2026-01-09;10:29;Centro de Alto Rendimiento;5;565.0;1.5;0.0;48.0;20.2;;113.0;561.0
2026-01-09;10:29;Las Ferias;6;564.0;2.8;0.0;47.0;19.4;;45.0;
2026-01-09;10:29;Guaymaral;8;564.0;1.4;0.0;55.0;19.3;17.9;62.0;406.0
2026-01-09;10:29;Kennedy;9;;1.1;0.0;56.1;;;189.0;528.0
2026-01-09;10:29;Suba;11;;2.2;0.0;;16.9;;9.0;
2026-01-09;10:29;Puente Aranda;13;564.0;1.7;0.0;60.0;17.1;;106.0;275.0
2026-01-09;10:29;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
2026-01-09;10:29;San Cristobal;24;;1.6;0.0;54.0;16.8;;122.0;496.0
2026-01-09;10:29;Movil 7ma;26;563.0;0.8;0.0;44.2;19.3;;186.0;588.0
2026-01-09;10:29;Bolivia;27;565.0;2.0;0.0;71.0;15.9;;56.0;707.0
2026-01-09;10:29;Fontibon;30;565.0;1.1;0.0;54.0;17.9;;80.0;
2026-01-09;10:29;Usme;32;563.0;;0.0;;16.6;;;573.0
2026-01-09;10:29;Jazmin;34;564.0;2.0;0.0;52.0;18.1;;153.0;804.0
2026-01-09;10:29;Ciudad Bolivar;37;558.0;;0.0;;16.4;;;643.0
2026-01-09;10:29;Colina;38;563.0;1.8;0.0;;16.5;;169.0;93.0
2026-01-09;10:29;Movil Fontibon;39;565.0;;;;17.4;;;713.0
2026-01-09;11:34;Usaquen;1;;1.7;0.0;;19.5;;188.0;
2026-01-09;11:34;Carvajal - Sevillana;3;;1.6;0.0;;11.9;;243.0;
2026-01-09;11:34;Tunal;4;563.0;1.9;0.0;43.0;;;174.0;711.0
2026-01-09;11:34;Centro de Alto Rendimiento;5;565.0;2.9;0.0;52.0;18.5;;134.0;317.0
2026-01-09;11:34;Las Ferias;6;564.0;2.3;0.0;42.0;20.7;;103.0;
2026-01-09;11:34;Guaymaral;8;564.0;1.7;0.0;50.0;19.0;18.2;110.0;271.0
2026-01-09;11:34;Kennedy;9;;1.1;0.0;45.3;;;164.0;439.0
2026-01-09;11:34;Suba;11;;2.0;0.0;;18.4;;29.0;
2026-01-09;11:34;Puente Aranda;13;564.0;2.1;0.0;56.0;17.6;;90.0;259.0
2026-01-09;11:34;MinAmbiente;17;;-9999.0;0.0;;;;-9999.0;
