Fecha;Hora;name;stationId;Lluvia;Vel Viento;Temperatura 8M;Dir Viento;Temperatura;Humedad;Presion Baro;Rad Solar
2025-12-27;04:25;San Cristobal;24;0.0;1.8;;114.0;9.0;79.0;;0.0
2025-12-27;04:25;Movil 7ma;26;0.0;0.6;;168.0;12.0;65.6;561.0;0.0
2025-12-27;04:25;Bolivia;27;0.0;1.0;;329.0;11.1;90.0;563.0;0.0
2025-12-27;04:25;Fontibon;30;0.0;1.1;;32.0;11.4;87.0;563.0;
2025-12-27;04:25;Usme;32;0.0;;;;10.0;;561.0;0.0
2025-12-27;04:25;Jazmin;34;0.0;0.9;;272.0;12.2;85.0;563.0;0.0
2025-12-27;04:25;Ciudad Bolivar;37;0.0;;;;10.4;;556.0;0.0
2025-12-27;04:25;Colina;38;0.3;0.9;;271.0;14.8;;562.0;53.0
2025-12-27;04:25;Movil Fontibon;39;;;;;11.4;;563.0;0.0
2025-12-27;05:25;Usaquen;1;0.0;0.8;;28.0;10.8;;;
2025-12-27;05:25;Carvajal - Sevillana;3;0.0;0.6;;293.0;11.4;;;
2025-12-27;05:25;Tunal;4;0.0;1.0;;187.0;;64.0;563.0;0.0
2025-12-27;05:25;Centro de Alto Rendimiento;5;0.0;0.5;;254.0;7.9;88.0;564.0;0.0
2025-12-27;05:25;Las Ferias;6;0.0;0.8;;339.0;10.5;80.0;563.0;
2025-12-27;05:25;Guaymaral;8;0.0;0.7;10.2;274.0;10.3;83.0;563.0;0.0
2025-12-27;05:25;Kennedy;9;0.0;0.7;;307.0;;87.7;;0.0
2025-12-27;05:25;Suba;11;0.0;1.0;;45.0;9.1;;;
2025-12-27;05:25;Puente Aranda;13;0.0;1.2;;233.0;12.5;89.0;562.0;0.0
2025-12-27;05:25;MinAmbiente;17;0.0;-9999.0;;-9999.0;;;;
2025-12-27;05:25;San Cristobal;24;0.0;1.7;;114.0;8.5;80.0;;0.0
2025-12-27;05:25;Movil 7ma;26;0.0;0.4;;182.0;11.6;67.3;561.0;0.0
2025-12-27;05:25;Bolivia;27;0.0;0.9;;356.0;10.5;91.0;564.0;0.0
2025-12-27;05:25;Fontibon;30;0.0;1.4;;18.0;11.1;87.0;563.0;
2025-12-27;05:25;Usme;32;0.0;;;;9.5;;561.0;0.0
