Fecha;Hora;name;stationId;Lluvia;Rad Solar;Temperatura;Vel Viento;Dir Viento;Humedad;Presion Baro;Temperatura 8M
2025-12-06;05:24;Guaymaral;8;0.0;0.0;10.3;0.4;328.0;86.0;563.0;10.0
2025-12-06;05:24;Kennedy;9;0.0;0.0;;0.5;195.0;85.5;;
2025-12-06;05:24;Suba;11;0.0;;10.1;0.6;31.0;;;
2025-12-06;05:24;Puente Aranda;13;0.0;0.0;12.1;0.9;217.0;83.0;563.0;
2025-12-06;05:24;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;05:24;San Cristobal;24;0.0;0.0;9.5;1.3;112.0;81.0;;
2025-12-06;05:24;Movil 7ma;26;0.0;0.0;12.2;0.2;229.0;71.9;562.0;
2025-12-06;05:24;Bolivia;27;0.0;0.0;10.8;0.6;320.0;97.0;564.0;
2025-12-06;05:24;Fontibon;30;0.0;;11.5;0.6;326.0;89.0;564.0;
2025-12-06;05:24;Usme;32;0.0;0.0;9.7;;;;561.0;
2025-12-06;05:24;Jazmin;34;0.0;0.0;11.4;0.4;253.0;87.0;563.0;
2025-12-06;05:24;Ciudad Bolivar;37;0.0;0.0;10.4;;;;557.0;
2025-12-06;05:24;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
2025-12-06;05:24;Movil Fontibon;39;;0.0;12.0;;;;564.0;
2025-12-06;06:19;Usaquen;1;0.0;;10.6;0.5;43.0;;;
2025-12-06;06:19;Carvajal - Sevillana;3;0.0;;11.5;0.9;279.0;;;
2025-12-06;06:19;Tunal;4;0.0;1.0;;0.4;229.0;82.0;563.0;
2025-12-06;06:19;Centro de Alto Rendimiento;5;0.0;0.0;10.8;0.2;184.0;91.0;565.0;
2025-12-06;06:19;Las Ferias;6;0.0;;11.9;0.4;295.0;83.0;564.0;
2025-12-06;06:19;Guaymaral;8;0.0;0.0;10.5;0.4;290.0;86.0;563.0;10.1
2025-12-06;06:19;Kennedy;9;0.0;0.0;;0.3;255.0;84.0;;
2025-12-06;06:19;Suba;11;0.0;;10.2;0.4;360.0;;;
2025-12-06;06:19;Puente Aranda;13;0.0;1.0;12.2;0.9;241.0;82.0;563.0;
2025-12-06;06:19;MinAmbiente;17;0.0;;;-9999.0;-9999.0;;;
2025-12-06;06:19;San Cristobal;24;0.0;0.0;9.7;0.9;108.0;81.0;;
2025-12-06;06:19;Movil 7ma;26;0.0;0.0;12.3;0.1;241.0;71.9;562.0;
2025-12-06;06:19;Bolivia;27;0.0;1.0;11.1;0.6;326.0;97.0;565.0;
2025-12-06;06:19;Fontibon;30;0.0;;11.4;0.8;341.0;90.0;564.0;
2025-12-06;06:19;Usme;32;0.0;1.0;10.3;;;;562.0;
2025-12-06;06:19;Jazmin;34;0.0;0.0;11.6;0.4;260.0;88.0;564.0;
2025-12-06;06:19;Ciudad Bolivar;37;0.0;0.0;10.5;;;;557.0;
2025-12-06;06:19;Colina;38;0.3;53.0;14.8;0.9;271.0;;562.0;
