Fecha;Hora;name;stationId;Vel Viento;Humedad;Lluvia;Rad Solar;Dir Viento;Temperatura;Presion Baro;Temperatura 8M
2025-11-28;02:24;Usaquen;1;0.6;;0.0;;325.0;13.2;;
2025-11-28;02:24;Carvajal - Sevillana;3;1.4;;0.0;;51.0;14.6;;
2025-11-28;02:24;Tunal;4;0.6;74.0;0.0;1.0;195.0;;562.0;
2025-11-28;02:24;Centro de Alto Rendimiento;5;1.4;82.0;0.0;0.0;335.0;12.5;564.0;
2025-11-28;02:24;Las Ferias;6;0.7;66.0;0.0;;327.0;13.3;563.0;
2025-11-28;02:24;Guaymaral;8;0.4;75.0;0.0;0.0;290.0;12.0;563.0;11.9
2025-11-28;02:24;Kennedy;9;1.1;71.9;0.0;0.0;347.0;;;
2025-11-28;02:24;Suba;11;0.7;;0.0;;50.0;11.9;;
2025-11-28;02:24;Puente Aranda;13;0.9;75.0;0.0;0.0;285.0;14.7;563.0;
2025-11-28;02:24;MinAmbiente;17;-9999.0;;0.0;;-9999.0;;;
2025-11-28;02:24;San Cristobal;24;1.3;74.0;0.0;0.0;97.0;11.6;;
2025-11-28;02:24;Movil 7ma;26;0.3;63.1;0.0;0.0;245.0;11.9;561.0;
2025-11-28;02:24;Bolivia;27;1.5;74.0;0.0;0.0;49.0;14.9;564.0;
2025-11-28;02:24;Fontibon;30;1.2;76.0;0.0;;0.0;13.1;564.0;
2025-11-28;02:24;Usme;32;;;0.0;0.0;;13.0;561.0;
2025-11-28;02:24;Jazmin;34;0.6;75.0;0.0;0.0;290.0;14.4;563.0;
2025-11-28;02:24;Ciudad Bolivar;37;;;0.0;0.0;;13.2;557.0;
2025-11-28;02:24;Colina;38;0.9;;0.3;53.0;271.0;14.8;562.0;
2025-11-28;02:24;Movil Fontibon;39;;;;0.0;;14.0;564.0;
2025-11-28;03:33;Usaquen;1;1.2;;0.0;;137.0;13.1;;
2025-11-28;03:33;Carvajal - Sevillana;3;1.2;;0.0;;247.0;14.1;;
2025-11-28;03:33;Tunal;4;0.8;75.0;0.0;1.0;184.0;;562.0;
2025-11-28;03:33;Centro de Alto Rendimiento;5;0.6;81.0;0.0;0.0;221.0;12.5;564.0;
