Fecha;Hora;name;stationId;Dir Viento;Humedad;Rad Solar;Temperatura 8M;Temperatura;Vel Viento;Presion Baro;Lluvia
2025-11-07;01:35;San Cristobal;24;118.0;80.0;0.0;;10.0;1.0;;0.0
2025-11-07;01:35;Movil 7ma;26;276.0;65.4;0.0;;11.7;0.4;563.0;0.0
2025-11-07;01:35;Bolivia;27;355.0;87.0;0.0;;11.7;0.9;565.0;0.0
2025-11-07;01:35;Fontibon;30;270.0;86.0;;;11.6;0.5;565.0;0.0
2025-11-07;01:35;Usme;32;;;0.0;;12.7;;563.0;0.0
2025-11-07;01:35;Jazmin;34;273.0;89.0;0.0;;11.8;0.3;565.0;0.0
2025-11-07;01:35;Ciudad Bolivar;37;;;0.0;;11.3;;558.0;0.0
2025-11-07;01:35;Colina;38;271.0;;53.0;;14.8;0.9;562.0;0.3
2025-11-07;01:35;Movil Fontibon;39;;;0.0;;11.8;;565.0;
2025-11-07;02:23;Usaquen;1;309.0;;;;11.9;0.6;;0.0
2025-11-07;02:23;Carvajal - Sevillana;3;239.0;;;;12.1;1.1;;0.0
2025-11-07;02:23;Tunal;4;152.0;83.0;1.0;;;0.9;563.0;0.0
2025-11-07;02:23;Centro de Alto Rendimiento;5;283.0;86.0;0.0;;7.5;0.4;565.0;0.0
2025-11-07;02:23;Las Ferias;6;293.0;82.0;;;10.7;0.3;564.0;0.0
2025-11-07;02:23;Guaymaral;8;307.0;85.0;0.0;9.3;9.2;0.7;564.0;0.0
2025-11-07;02:23;Kennedy;9;174.0;46.2;615.0;;;1.7;;0.0
2025-11-07;02:23;Suba;11;23.0;;;;9.5;1.2;;0.0
2025-11-07;02:23;Puente Aranda;13;321.0;88.0;0.0;;13.1;0.8;564.0;0.0
2025-11-07;02:23;MinAmbiente;17;-9999.0;;;;;-9999.0;;0.0
2025-11-07;02:23;San Cristobal;24;104.0;81.0;0.0;;9.5;1.2;;0.0
2025-11-07;02:23;Movil 7ma;26;185.0;68.1;0.0;;11.1;0.7;562.0;0.0
2025-11-07;02:23;Bolivia;27;14.0;90.0;0.0;;11.0;0.6;565.0;0.0
2025-11-07;02:23;Fontibon;30;32.0;89.0;;;11.2;1.4;564.0;0.0
2025-11-07;02:23;Usme;32;;;0.0;;12.1;;562.0;0.0
