Fecha;Hora;name;stationId;Temperatura 8M;Vel Viento;Dir Viento;Presion Baro;Lluvia;Temperatura;Rad Solar;Humedad
2025-12-05;05:27;Usaquen;1;;0.5;68.0;;0.0;12.1;;
2025-12-05;05:27;Carvajal - Sevillana;3;;1.4;78.0;;0.1;13.1;;
2025-12-05;05:27;Tunal;4;;1.2;314.0;563.0;0.0;;1.0;84.0
2025-12-05;05:27;Centro de Alto Rendimiento;5;;2.0;26.0;564.0;0.0;13.2;0.0;85.0
2025-12-05;05:27;Las Ferias;6;;1.5;4.0;563.0;0.0;12.5;;79.0
2025-12-05;05:27;Guaymaral;8;11.4;1.1;329.0;563.0;0.1;11.6;0.0;82.0
2025-12-05;05:27;Kennedy;9;;1.1;5.0;;0.0;;0.0;88.0
2025-12-05;05:27;Suba;11;;1.4;30.0;;0.0;11.8;;
2025-12-05;05:27;Puente Aranda;13;;1.3;0.0;563.0;0.1;13.6;0.0;97.0
2025-12-05;05:27;MinAmbiente;17;;-9999.0;-9999.0;;0.1;;;
2025-12-05;05:27;San Cristobal;24;;0.7;36.0;;0.0;11.3;0.0;89.0
2025-12-05;05:27;Movil 7ma;26;;0.5;149.0;562.0;0.0;13.4;0.0;76.9
2025-12-05;05:27;Bolivia;27;;1.7;51.0;564.0;0.0;12.6;0.0;94.0
2025-12-05;05:27;Fontibon;30;;2.0;21.0;564.0;0.0;12.2;;92.0
2025-12-05;05:27;Usme;32;;;;562.0;0.0;12.7;0.0;
2025-12-05;05:27;Jazmin;34;;1.4;338.0;564.0;0.0;13.2;0.0;98.0
2025-12-05;05:27;Ciudad Bolivar;37;;;;557.0;0.0;12.4;0.0;
2025-12-05;05:27;Colina;38;;0.9;271.0;562.0;0.3;14.8;53.0;
2025-12-05;05:27;Movil Fontibon;39;;;;564.0;;12.9;0.0;
2025-12-05;06:23;Usaquen;1;;0.7;62.0;;0.0;12.4;;
2025-12-05;06:23;Carvajal - Sevillana;3;;1.3;50.0;;0.0;13.0;;
2025-12-05;06:23;Tunal;4;;1.2;310.0;563.0;0.0;;2.0;84.0
2025-12-05;06:23;Centro de Alto Rendimiento;5;;1.8;343.0;565.0;0.0;13.2;0.0;83.0
2025-12-05;06:23;Las Ferias;6;;1.2;331.0;564.0;0.0;12.7;;77.0
2025-12-05;06:23;Guaymaral;8;11.4;1.1;274.0;564.0;0.0;11.6;0.0;83.0
2025-12-05;06:23;Kennedy;9;;1.1;346.0;;0.0;;1.0;88.8
2025-12-05;06:23;Suba;11;;1.4;360.0;;0.0;11.4;;
2025-12-05;06:23;Puente Aranda;13;;1.1;298.0;563.0;0.0;13.7;1.0;94.0
2025-12-05;06:23;MinAmbiente;17;;-9999.0;-9999.0;;0.0;;;
2025-12-05;06:23;San Cristobal;24;;0.6;357.0;;0.0;11.6;0.0;90.0
2025-12-05;06:23;Movil 7ma;26;;0.3;291.0;562.0;0.0;13.4;0.0;76.6
2025-12-05;06:23;Bolivia;27;;1.8;32.0;565.0;0.0;12.2;1.0;92.0
2025-12-05;06:23;Fontibon;30;;2.5;31.0;564.0;0.0;12.4;;90.0
2025-12-05;06:23;Usme;32;;;;562.0;0.1;12.8;0.0;
2025-12-05;06:23;Jazmin;34;;0.9;307.0;564.0;0.0;13.4;0.0;95.0
2025-12-05;06:23;Ciudad Bolivar;37;;;;557.0;0.0;12.0;0.0;
2025-12-05;06:23;Colina;38;;0.9;271.0;562.0;0.3;14.8;53.0;
2025-12-05;06:23;Movil Fontibon;39;;;;564.0;;13.1;1.0;
2025-12-05;07:51;Usaquen;1;;0.7;12;;0;12.3;;
2025-12-05;07:51;Carvajal - Sevillana;3;;1.4;64;;0;13.2;;
2025-12-05;07:51;Tunal;4;;0.9;265;563;0;;51;84
2025-12-05;07:51;Centro de Alto Rendimiento;5;;1.7;354;565;0;13.4;53;81
2025-12-05;07:51;Las Ferias;6;;1.6;2;564;0;12.9;;75
2025-12-05;07:51;Guaymaral;8;11.7;0.7;319;564;0;12;12;84
2025-12-05;07:51;Kennedy;9;;1.1;354;;0;;44;88.4
2025-12-05;07:51;Suba;11;;1.5;27;;0;11.5;;
2025-12-05;07:51;Puente Aranda;13;;1.1;318;564;0;13.7;45;91
2025-12-05;07:51;MinAmbiente;17;;-9999;-9999;;0;;;
2025-12-05;07:51;San Cristobal;24;;0.8;106;;0;11.6;28;87
2025-12-05;07:51;Movil 7ma;26;;0.1;230;562;0;13.5;38;75.6
2025-12-05;07:51;Bolivia;27;;2;46;565;0;12.5;89;90
2025-12-05;07:51;Fontibon;30;;2.4;42;565;0;12.4;;88
2025-12-05;07:51;Usme;32;;;;562;0;13.1;44;
2025-12-05;07:51;Jazmin;34;;1.1;306;564;0;13.4;60;92
2025-12-05;07:51;Ciudad Bolivar;37;;;;558;0;12.2;36;
2025-12-05;07:51;Colina;38;;0.9;271;562;0.3;14.8;53;
2025-12-05;07:51;Movil Fontibon;39;;;;565;;13;74;
