Fecha;Hora;name;stationId;CO;SO2;NO2;NO;OZONO;NOX;PM25;BBP;eBC;PM10
2025-11-20;08:33;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;08:33;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;9.3;;;60.7
2025-11-20;09:24;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;10.0;;;20.8
2025-11-20;09:24;Carvajal - Sevillana;3;1.35;6.3;;;;;48.0;;;171.0
2025-11-20;09:24;Tunal;4;-9999.0;2.4;8.1;21.2;11.4;29.3;0.0;11.1;1.3;93.0
2025-11-20;09:24;Centro de Alto Rendimiento;5;1.1;1.0;22.6;37.0;0.0;59.6;13.5;3.3;11.8;34.9
2025-11-20;09:24;Las Ferias;6;0.69;;21.3;23.6;11.8;44.9;19.0;;;15.3
2025-11-20;09:24;Guaymaral;8;0.34;0.7;11.4;17.6;11.7;29.0;10.0;;;28.0
2025-11-20;09:24;Kennedy;9;3.98;62.9;22.4;94.2;6.1;116.6;27.5;8.4;7.8;50.1
2025-11-20;09:24;Suba;11;0.46;1.6;10.0;12.6;6.5;22.5;15.0;;;73.6
2025-11-20;09:24;Puente Aranda;13;1.05;1.9;33.4;53.1;5.7;86.0;29.9;0.1;-9999.0;87.8
2025-11-20;09:24;MinAmbiente;17;1.79;0.8;43.1;68.1;5.3;111.2;21.0;;;66.0
2025-11-20;09:24;San Cristobal;24;0.83;0.4;-9999.0;-9999.0;10.0;-9999.0;27.0;5.6;5.2;37.0
2025-11-20;09:24;Movil 7ma;26;-9999.0;;;;;;9.7;;;44.5
2025-11-20;09:24;Bolivia;27;0.8;;17.9;20.3;6.5;38.1;16.6;;;-0.7
2025-11-20;09:24;Fontibon;30;0.85;-9999.0;27.6;33.7;7.1;61.3;13.9;3.3;7.2;-9999.0
2025-11-20;09:24;Usme;32;0.29;0.5;9.5;9.9;17.3;19.4;16.0;;;24.2
2025-11-20;09:24;Jazmin;34;1.18;2.0;31.8;42.5;5.8;74.3;35.0;;;64.8
2025-11-20;09:24;Ciudad Bolivar;37;1.04;8.2;36.1;68.3;7.1;104.4;25.8;2.5;10.3;78.6
2025-11-20;09:24;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;09:24;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;15.4;;;63.5
2025-11-20;10:26;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;18.8;;;46.3
2025-11-20;10:26;Carvajal - Sevillana;3;0.82;7.2;;;;;47.0;;;149.0
2025-11-20;10:26;Tunal;4;-9999.0;8.0;21.1;49.3;8.2;70.4;0.0;2.2;10.7;37.0
2025-11-20;10:26;Centro de Alto Rendimiento;5;1.03;1.2;26.7;23.4;0.0;50.1;10.6;6.2;10.3;37.1
2025-11-20;10:26;Las Ferias;6;0.73;;26.2;20.3;19.9;46.5;16.0;;;24.0
2025-11-20;10:26;Guaymaral;8;0.29;0.6;8.5;15.5;17.2;24.0;7.0;;;26.0
2025-11-20;10:26;Kennedy;9;1.17;4.5;24.5;23.7;0.0;48.2;21.1;9.7;6.4;54.6
2025-11-20;10:26;Suba;11;0.46;1.0;10.6;10.0;10.3;20.6;13.0;;;65.1
2025-11-20;10:26;Puente Aranda;13;0.76;2.8;34.6;36.6;9.8;71.1;25.5;0.1;-9999.0;94.7
2025-11-20;10:26;MinAmbiente;17;1.77;0.7;53.3;50.7;10.1;103.9;36.0;;;76.0
2025-11-20;10:26;San Cristobal;24;0.49;0.1;-9999.0;-9999.0;15.0;-9999.0;13.0;2.7;2.2;17.0
2025-11-20;10:26;Movil 7ma;26;-9999.0;;;;;;11.6;;;38.7
2025-11-20;10:26;Bolivia;27;0.8;;17.2;10.1;14.4;27.2;12.7;;;0.0
2025-11-20;10:26;Fontibon;30;0.88;-9999.0;33.1;24.7;14.4;57.7;27.0;5.0;8.1;-9999.0
2025-11-20;10:26;Usme;32;0.24;2.1;10.6;11.1;17.3;21.6;12.3;;;14.5
2025-11-20;10:26;Jazmin;34;0.91;3.8;31.5;31.2;9.9;62.7;30.6;;;70.1
2025-11-20;10:26;Ciudad Bolivar;37;0.65;7.9;29.1;49.8;10.0;78.9;27.6;4.0;7.4;76.9
2025-11-20;10:26;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;10:26;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;15.8;;;66.9
2025-11-20;11:32;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;11.3;;;41.1
2025-11-20;11:32;Carvajal - Sevillana;3;0.59;5.2;;;;;35.0;;;105.0
2025-11-20;11:32;Tunal;4;-9999.0;2.5;10.6;17.3;17.1;27.9;0.0;6.0;3.2;104.0
2025-11-20;11:32;Centro de Alto Rendimiento;5;0.95;1.4;31.3;13.7;0.0;45.0;10.5;4.9;10.1;45.0
2025-11-20;11:32;Las Ferias;6;0.51;;22.0;11.3;23.0;33.4;13.0;;;27.0
2025-11-20;11:32;Guaymaral;8;0.24;0.6;5.2;11.9;22.6;17.1;4.0;;;17.0
2025-11-20;11:32;Kennedy;9;1.13;1.7;26.1;13.7;22.0;39.7;23.8;6.2;5.0;69.9
2025-11-20;11:32;Suba;11;0.36;0.8;8.0;6.0;13.6;14.1;15.0;;;67.6
2025-11-20;11:32;Puente Aranda;13;0.58;2.5;35.0;20.4;16.6;55.3;28.8;0.1;-9999.0;85.6
2025-11-20;11:32;MinAmbiente;17;0.85;0.9;26.9;16.1;17.1;42.9;19.0;;;90.0
2025-11-20;11:32;San Cristobal;24;0.3;-0.2;-9999.0;-9999.0;17.1;-9999.0;8.0;14.4;0.9;12.0
2025-11-20;11:32;Movil 7ma;26;-9999.0;;;;;;21.7;;;37.4
2025-11-20;11:32;Bolivia;27;0.83;;6.5;224.1;13.3;230.7;10.2;;;67.3
2025-11-20;11:32;Fontibon;30;0.71;-9999.0;33.5;12.7;22.9;46.3;34.0;1.5;6.6;-9999.0
2025-11-20;11:32;Usme;32;0.18;2.2;6.4;7.5;21.4;13.9;8.6;;;20.0
2025-11-20;11:32;Jazmin;34;0.63;2.8;26.7;16.2;18.2;43.0;31.2;;;81.3
2025-11-20;11:32;Ciudad Bolivar;37;0.32;2.3;15.6;21.2;19.6;36.8;20.4;4.3;2.9;81.5
2025-11-20;11:32;Colina;38;0.7;0.4;62.8;23.5;-9999.0;86.3;8.0;;;2.4
2025-11-20;11:32;Movil Fontibon;39;-9999.0;;-9999.0;-9999.0;;-9999.0;16.3;;;67.8
2025-11-20;12:19;Usaquen;1;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;-9999.0;9.1;;;26.1
2025-11-20;12:19;Carvajal - Sevillana;3;0.64;3.9;;;;;20.0;;;47.0
2025-11-20;12:19;Tunal;4;-9999.0;1.2;7.3;15.0;16.9;22.3;0.0;9.7;1.5;33.0
2025-11-20;12:19;Centro de Alto Rendimiento;5;0.73;1.6;26.0;7.6;0.0;33.5;12.1;4.4;7.8;49.4
2025-11-20;12:19;Las Ferias;6;0.67;;31.7;14.6;15.1;46.3;8.0;;;20.0
2025-11-20;12:19;Guaymaral;8;0.18;0.5;6.5;16.0;19.7;22.5;0.0;;;16.0
