Fecha;Hora;name;stationId;Humedad;Rad Solar;Vel Viento;Temperatura;Presion Baro;Temperatura 8M;Dir Viento;Lluvia
2025-11-16;02:21;Usaquen;1;;;0.7;12.6;;;261.0;1.7
2025-11-16;02:21;Carvajal - Sevillana;3;;;1.6;13.2;;;46.0;0.0
2025-11-16;02:21;Tunal;4;87.0;1.0;0.7;;562.0;;321.0;0.0
2025-11-16;02:21;Centro de Alto Rendimiento;5;88.0;0.0;1.0;11.3;564.0;;275.0;0.2
2025-11-16;02:21;Las Ferias;6;82.0;;2.1;13.0;563.0;;220.0;0.0
2025-11-16;02:21;Guaymaral;8;84.0;0.0;0.9;13.0;563.0;12.7;269.0;3.3
2025-11-16;02:21;Kennedy;9;90.4;0.0;1.5;;;;287.0;0.0
2025-11-16;02:21;Suba;11;;;0.7;12.7;;;262.0;0.2
2025-11-16;02:21;Puente Aranda;13;100.0;0.0;1.5;13.2;563.0;;255.0;0.0
2025-11-16;02:21;MinAmbiente;17;;;-9999.0;;;;-9999.0;1.1
2025-11-16;02:21;San Cristobal;24;87.0;0.0;0.9;11.6;;;107.0;0.0
2025-11-16;02:21;Movil 7ma;26;75.7;0.0;0.4;10.0;561.0;;313.0;0.1
2025-11-16;02:21;Bolivia;27;95.0;0.0;1.5;12.9;564.0;;257.0;0.0
2025-11-16;02:21;Fontibon;30;93.0;;3.0;12.6;564.0;;248.0;0.0
2025-11-16;02:21;Usme;32;;0.0;;12.8;561.0;;;0.0
2025-11-16;02:21;Jazmin;34;100.0;0.0;1.1;13.3;563.0;;289.0;0.0
2025-11-16;02:21;Ciudad Bolivar;37;;0.0;;12.4;556.0;;;0.0
2025-11-16;02:21;Colina;38;;53.0;0.9;14.8;562.0;;271.0;0.3
2025-11-16;02:21;Movil Fontibon;39;;1.0;;12.9;564.0;;;
2025-11-16;03:29;Usaquen;1;;;1.0;12.3;;;269.0;0.1
2025-11-16;03:29;Carvajal - Sevillana;3;;;1.5;13.1;;;36.0;0.6
2025-11-16;03:29;Tunal;4;86.0;1.0;0.7;;562.0;;291.0;0.0
2025-11-16;03:29;Centro de Alto Rendimiento;5;88.0;0.0;0.7;11.1;564.0;;294.0;1.2
2025-11-16;03:29;Las Ferias;6;83.0;;1.7;12.6;563.0;;216.0;0.0
