Fecha;Hora;name;stationId;Temperatura;Dir Viento;Humedad;Presion Baro;Temperatura 8M;Lluvia;Rad Solar;Vel Viento
2025-12-22;01:41;Kennedy;9;;346.0;82.3;;;0.0;0.0;1.2
2025-12-22;01:41;Suba;11;10.9;15.0;;;;0.0;;0.7
2025-12-22;01:41;Puente Aranda;13;14.0;285.0;88.0;563.0;;0.0;0.0;1.2
2025-12-22;01:41;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;01:41;San Cristobal;24;10.9;108.0;73.0;;;0.0;0.0;1.4
2025-12-22;01:41;Movil 7ma;26;13.4;164.0;66.4;562.0;;0.0;0.0;0.5
2025-12-22;01:41;Bolivia;27;12.0;263.0;93.0;564.0;;0.0;0.0;0.6
2025-12-22;01:41;Fontibon;30;12.5;337.0;89.0;564.0;;0.0;;0.8
2025-12-22;01:41;Usme;32;12.0;;;562.0;;0.0;0.0;
2025-12-22;01:41;Jazmin;34;13.9;284.0;75.0;563.0;;0.0;0.0;0.4
2025-12-22;01:41;Ciudad Bolivar;37;12.8;;;557.0;;0.0;0.0;
2025-12-22;01:41;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;01:41;Movil Fontibon;39;12.9;;;564.0;;;1.0;
2025-12-22;02:28;Usaquen;1;12.6;46.0;;;;0.0;;0.1
2025-12-22;02:28;Carvajal - Sevillana;3;13.6;249.0;;;;0.0;;1.4
2025-12-22;02:28;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;02:28;Centro de Alto Rendimiento;5;12.0;346.0;90.0;564.0;;0.0;0.0;0.4
2025-12-22;02:28;Las Ferias;6;12.7;298.0;79.0;563.0;;0.0;;0.4
2025-12-22;02:28;Guaymaral;8;11.5;307.0;83.0;563.0;11.3;0.0;0.0;0.4
2025-12-22;02:28;Kennedy;9;;355.0;81.4;;;0.0;0.0;0.8
2025-12-22;02:28;Suba;11;11.1;30.0;;;;0.0;;0.8
2025-12-22;02:28;Puente Aranda;13;14.0;34.0;91.0;563.0;;0.0;0.0;0.8
2025-12-22;02:28;MinAmbiente;17;;-9999.0;;;;0.0;;-9999.0
2025-12-22;02:28;San Cristobal;24;11.4;108.0;73.0;;;0.0;0.0;1.2
2025-12-22;02:28;Movil 7ma;26;13.8;176.0;68.9;561.0;;0.0;0.0;0.1
2025-12-22;02:28;Bolivia;27;12.4;83.0;88.0;564.0;;0.0;0.0;1.3
2025-12-22;02:28;Fontibon;30;12.5;44.0;87.0;564.0;;0.0;;1.8
2025-12-22;02:28;Usme;32;11.8;;;561.0;;0.0;0.0;
2025-12-22;02:28;Jazmin;34;14.0;339.0;86.0;563.0;;0.0;0.0;0.7
2025-12-22;02:28;Ciudad Bolivar;37;12.5;;;557.0;;0.0;0.0;
2025-12-22;02:28;Colina;38;14.8;271.0;;562.0;;0.3;53.0;0.9
2025-12-22;02:28;Movil Fontibon;39;13.2;;;564.0;;;1.0;
2025-12-22;03:36;Usaquen;1;12.7;1.0;;;;0.0;;0.7
2025-12-22;03:36;Carvajal - Sevillana;3;13.4;262.0;;;;0.0;;1.2
2025-12-22;03:36;Tunal;4;;187.0;64.0;563.0;;0.0;0.0;1.0
2025-12-22;03:36;Centro de Alto Rendimiento;5;12.3;317.0;90.0;564.0;;0.0;0.0;1.2
2025-12-22;03:36;Las Ferias;6;12.9;349.0;76.0;563.0;;0.0;;1.2
2025-12-22;03:36;Guaymaral;8;11.8;323.0;80.0;563.0;11.6;0.0;0.0;0.7
2025-12-22;03:36;Kennedy;9;;345.0;81.2;;;0.0;0.0;1.1
2025-12-22;03:36;Suba;11;11.3;26.0;;;;0.0;;0.9
2025-12-22;03:36;Puente Aranda;13;14.0;314.0;90.0;562.0;;0.0;0.0;0.8
