Fecha;Hora;name;stationId;Humedad;Dir Viento;Temperatura;Rad Solar;Presion Baro;Temperatura 8M;Lluvia;Vel Viento
2026-01-17;02:23;Fontibon;30;78.0;44.0;13.4;;564.0;;0.0;1.9
2026-01-17;02:23;Usme;32;;;14.5;0.0;562.0;;0.0;
2026-01-17;02:23;Jazmin;34;76.0;289.0;15.1;0.0;564.0;;0.0;0.9
2026-01-17;02:23;Ciudad Bolivar;37;;;14.3;0.0;557.0;;0.0;
2026-01-17;02:23;Colina;38;;169.0;16.5;93.0;563.0;;0.0;1.8
2026-01-17;02:23;Movil Fontibon;39;;;14.1;1.0;565.0;;;
2026-01-17;03:31;Usaquen;1;;77.0;13.4;;;;0.0;1.0
2026-01-17;03:31;Carvajal - Sevillana;3;;243.0;11.9;;;;0.0;1.6
2026-01-17;03:31;Tunal;4;64.0;145.0;;0.0;563.0;;0.0;1.9
2026-01-17;03:31;Centro de Alto Rendimiento;5;70.0;134.0;14.2;0.0;564.0;;0.0;1.9
2026-01-17;03:31;Las Ferias;6;66.0;50.0;14.1;;563.0;;0.0;1.5
2026-01-17;03:31;Guaymaral;8;80.0;331.0;11.5;0.0;563.0;11.4;0.0;0.7
2026-01-17;03:31;Kennedy;9;80.5;71.0;;0.0;;;0.0;0.9
2026-01-17;03:31;Suba;11;;9.0;11.4;;;;0.0;1.3
2026-01-17;03:31;Puente Aranda;13;72.0;173.0;15.5;0.0;563.0;;0.0;1.4
2026-01-17;03:31;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2026-01-17;03:31;San Cristobal;24;63.0;140.0;13.6;0.0;;;0.0;0.9
2026-01-17;03:31;Movil 7ma;26;59.8;189.0;14.7;0.0;562.0;;0.0;0.4
2026-01-17;03:31;Bolivia;27;82.0;82.0;13.1;0.0;564.0;;0.0;1.4
2026-01-17;03:31;Fontibon;30;77.0;69.0;13.7;;564.0;;0.0;2.5
2026-01-17;03:31;Usme;32;;;14.3;0.0;562.0;;0.0;
2026-01-17;03:31;Jazmin;34;65.0;160.0;15.6;0.0;563.0;;0.0;1.3
2026-01-17;03:31;Ciudad Bolivar;37;;;14.1;0.0;557.0;;0.0;
2026-01-17;03:31;Colina;38;;169.0;16.5;93.0;563.0;;0.0;1.8
2026-01-17;03:31;Movil Fontibon;39;;;14.3;1.0;564.0;;;
2026-01-17;04:25;Usaquen;1;;88.0;12.7;;;;0.0;0.8
2026-01-17;04:25;Carvajal - Sevillana;3;;243.0;11.9;;;;0.0;1.6
2026-01-17;04:25;Tunal;4;63.0;172.0;;0.0;562.0;;0.0;1.2
2026-01-17;04:25;Centro de Alto Rendimiento;5;68.0;102.0;14.3;0.0;564.0;;0.0;1.9
2026-01-17;04:25;Las Ferias;6;67.0;24.0;13.9;;563.0;;0.0;2.0
2026-01-17;04:25;Guaymaral;8;77.0;58.0;12.4;0.0;563.0;12.6;0.0;0.7
2026-01-17;04:25;Kennedy;9;73.1;99.0;;0.0;;;0.0;1.6
2026-01-17;04:25;Suba;11;;7.0;11.7;;;;0.0;0.9
2026-01-17;04:25;Puente Aranda;13;66.0;80.0;15.6;0.0;563.0;;0.0;2.0
2026-01-17;04:25;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2026-01-17;04:25;San Cristobal;24;64.0;152.0;13.4;0.0;;;0.0;1.5
2026-01-17;04:25;Movil 7ma;26;59.8;171.0;14.5;0.0;561.0;;0.0;0.6
2026-01-17;04:25;Bolivia;27;81.0;70.0;13.1;0.0;564.0;;0.0;1.4
2026-01-17;04:25;Fontibon;30;71.0;67.0;14.2;;564.0;;0.0;3.0
2026-01-17;04:25;Usme;32;;;14.4;0.0;561.0;;0.0;
2026-01-17;04:25;Jazmin;34;59.0;116.0;15.7;0.0;563.0;;0.0;1.9
2026-01-17;04:25;Ciudad Bolivar;37;;;13.7;0.0;557.0;;0.0;
2026-01-17;04:25;Colina;38;;169.0;16.5;93.0;563.0;;0.0;1.8
2026-01-17;04:25;Movil Fontibon;39;;;14.8;0.0;564.0;;;
2026-01-17;05:25;Usaquen;1;;12.0;12.7;;;;0.0;1.1
2026-01-17;05:25;Carvajal - Sevillana;3;;243.0;11.9;;;;0.0;1.6
2026-01-17;05:25;Tunal;4;63.0;151.0;;0.0;563.0;;0.0;2.1
2026-01-17;05:25;Centro de Alto Rendimiento;5;68.0;119.0;14.2;0.0;564.0;;0.0;2.2
2026-01-17;05:25;Las Ferias;6;66.0;49.0;13.9;;563.0;;0.0;2.7
2026-01-17;05:25;Guaymaral;8;72.0;59.0;13.1;0.0;563.0;13.2;0.0;1.2
2026-01-17;05:25;Kennedy;9;69.8;95.0;;0.0;;;0.0;1.9
2026-01-17;05:25;Suba;11;;72.0;11.9;;;;0.0;0.8
2026-01-17;05:25;Puente Aranda;13;71.0;79.0;15.1;0.0;563.0;;0.0;2.1
2026-01-17;05:25;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2026-01-17;05:25;San Cristobal;24;65.0;152.0;13.2;0.0;;;0.0;1.4
2026-01-17;05:25;Movil 7ma;26;58.6;270.0;14.6;0.0;562.0;;0.0;0.3
2026-01-17;05:25;Bolivia;27;79.0;95.0;13.6;0.0;564.0;;0.0;1.5
2026-01-17;05:25;Fontibon;30;73.0;71.0;13.8;;564.0;;0.0;3.6
2026-01-17;05:25;Usme;32;;;14.4;0.0;562.0;;0.0;
2026-01-17;05:25;Jazmin;34;62.0;106.0;15.4;0.0;563.0;;0.0;2.2
2026-01-17;05:25;Ciudad Bolivar;37;;;13.8;0.0;557.0;;0.0;
2026-01-17;05:25;Colina;38;;169.0;16.5;93.0;563.0;;0.0;1.8
2026-01-17;05:25;Movil Fontibon;39;;;14.4;1.0;564.0;;;
2026-01-17;06:20;Usaquen;1;;355.0;13.1;;;;0.0;1.2
2026-01-17;06:20;Carvajal - Sevillana;3;;243.0;11.9;;;;0.0;1.6
2026-01-17;06:20;Tunal;4;63.0;149.0;;0.0;563.0;;0.0;1.6
2026-01-17;06:20;Centro de Alto Rendimiento;5;66.0;139.0;14.3;0.0;564.0;;0.0;2.8
2026-01-17;06:20;Las Ferias;6;62.0;52.0;14.1;;564.0;;0.0;2.7
2026-01-17;06:20;Guaymaral;8;70.0;124.0;13.1;0.0;564.0;13.1;0.0;0.7
2026-01-17;06:20;Kennedy;9;66.4;135.0;;0.0;;;0.0;1.1
2026-01-17;06:20;Suba;11;;82.0;12.7;;;;0.0;2.0
2026-01-17;06:20;Puente Aranda;13;70.0;85.0;15.0;0.0;563.0;;0.0;2.2
2026-01-17;06:20;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2026-01-17;06:20;San Cristobal;24;68.0;152.0;12.8;0.0;;;0.0;1.2
2026-01-17;06:20;Movil 7ma;26;59.5;92.0;14.4;0.0;562.0;;0.0;0.4
2026-01-17;06:20;Bolivia;27;75.0;90.0;14.1;0.0;565.0;;0.0;2.0
2026-01-17;06:20;Fontibon;30;73.0;75.0;13.8;;564.0;;0.0;3.0
2026-01-17;06:20;Usme;32;;;14.0;0.0;562.0;;0.0;
2026-01-17;06:20;Jazmin;34;64.0;118.0;15.1;0.0;564.0;;0.0;1.5
2026-01-17;06:20;Ciudad Bolivar;37;;;13.5;0.0;557.0;;0.0;
2026-01-17;06:20;Colina;38;;169.0;16.5;93.0;563.0;;0.0;1.8
2026-01-17;06:20;Movil Fontibon;39;;;14.5;1.0;564.0;;;
2026-01-17;07:50;Usaquen;1;;355.0;13.2;;;;0.0;2.1
2026-01-17;07:50;Carvajal - Sevillana;3;;243.0;11.9;;;;0.0;1.6
2026-01-17;07:50;Tunal;4;68.0;190.0;;22.0;563.0;;0.0;0.9
2026-01-17;07:50;Centro de Alto Rendimiento;5;67.0;141.0;14.2;29.0;565.0;;0.0;2.2
2026-01-17;07:50;Las Ferias;6;63.0;53.0;14.0;;564.0;;0.0;2.3
2026-01-17;07:50;Guaymaral;8;72.0;354.0;12.8;0.0;564.0;12.7;0.0;0.7
2026-01-17;07:50;Kennedy;9;67.5;161.0;;20.0;;;0.0;0.7
2026-01-17;07:50;Suba;11;;26.0;12.9;;;;0.0;1.2
2026-01-17;07:50;Puente Aranda;13;70.0;67.0;15.0;34.0;564.0;;0.0;2.1
2026-01-17;07:50;MinAmbiente;17;;-9999.0;;;;;0.0;-9999.0
2026-01-17;07:50;San Cristobal;24;69.0;167.0;12.9;12.0;;;0.0;0.9
2026-01-17;07:50;Movil 7ma;26;59.6;132.0;14.3;30.0;562.0;;0.0;0.5
2026-01-17;07:50;Bolivia;27;75.0;67.0;13.9;28.0;565.0;;0.0;2.0
2026-01-17;07:50;Fontibon;30;69.0;99.0;14.1;;565.0;;0.0;2.3
2026-01-17;07:50;Usme;32;;;13.9;13.0;562.0;;0.0;
2026-01-17;07:50;Jazmin;34;65.0;21.0;15.1;30.0;564.0;;0.0;1.1
2026-01-17;07:50;Ciudad Bolivar;37;;;13.3;13.0;557.0;;0.0;
2026-01-17;07:50;Colina;38;;169.0;16.5;93.0;563.0;;0.0;1.8
2026-01-17;07:50;Movil Fontibon;39;;;14.6;44.0;565.0;;;
2026-01-17;08:32;Usaquen;1;;352;13.9;;;;0;1.2
2026-01-17;08:32;Carvajal - Sevillana;3;;243;11.9;;;;0;1.6
2026-01-17;08:32;Tunal;4;65;167;;135;564;;0;1.7
2026-01-17;08:32;Centro de Alto Rendimiento;5;61;123;15.8;129;565;;0;2.6
2026-01-17;08:32;Las Ferias;6;59;42;15.3;;564;;0;2.3
2026-01-17;08:32;Guaymaral;8;70;347;14.2;63;564;13.6;0;1.4
2026-01-17;08:32;Kennedy;9;68.1;184;;89;;;0;0.8
2026-01-17;08:32;Suba;11;;27;13.5;;;;0;2.1
2026-01-17;08:32;Puente Aranda;13;65;90;15.8;161;564;;0;2
2026-01-17;08:32;MinAmbiente;17;;-9999;;;;;0;-9999
2026-01-17;08:32;San Cristobal;24;63;177;14;156;;;0;1.1
2026-01-17;08:32;Movil 7ma;26;56.6;120;15.4;185;563;;0;0.8
2026-01-17;08:32;Bolivia;27;76;56;13.7;165;565;;0;2.7
2026-01-17;08:32;Fontibon;30;67;58;14.5;;565;;0;3.5
2026-01-17;08:32;Usme;32;;;14.4;79;563;;0;
2026-01-17;08:32;Jazmin;34;62;278;15.8;161;564;;0;1.2
2026-01-17;08:32;Ciudad Bolivar;37;;;14;117;558;;0;
2026-01-17;08:32;Colina;38;;169;16.5;93;563;;0;1.8
2026-01-17;08:32;Movil Fontibon;39;;;15.1;159;565;;;
