Fecha;Hora;name;stationId;NOX;PM25;eBC;NO;NO2;PM10;CO;BBP;OZONO;SO2
2025-12-14;01:36;Suba;11;34.0;12.0;;17.7;16.3;77.7;0.47;;0.7;1.2
2025-12-14;01:36;Puente Aranda;13;78.3;7.3;-9999.0;60.5;18.1;3.8;0.85;0.1;1.0;2.5
2025-12-14;01:36;MinAmbiente;17;20.0;5.0;;9.8;10.2;16.0;0.48;;4.8;0.7
2025-12-14;01:36;San Cristobal;24;-9999.0;2.0;0.5;-9999.0;-9999.0;6.0;0.19;3.9;6.8;0.3
2025-12-14;01:36;Movil 7ma;26;;11.5;;;;36.4;-9999.0;;;
2025-12-14;01:36;Bolivia;27;-0.1;7.3;;0.3;-0.4;44.6;0.55;;0.7;
2025-12-14;01:36;Fontibon;30;62.9;18.0;4.7;42.1;20.9;-9999.0;0.97;8.6;1.7;-9999.0
2025-12-14;01:36;Usme;32;29.7;4.6;;16.1;13.6;41.5;0.3;;1.5;1.9
2025-12-14;01:36;Jazmin;34;80.5;6.6;;58.8;21.7;31.6;0.94;;0.2;2.2
2025-12-14;01:36;Ciudad Bolivar;37;187.2;30.3;10.5;155.4;31.9;101.4;2.08;10.8;0.9;2.0
2025-12-14;01:36;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;01:36;Movil Fontibon;39;-9999.0;26.9;;-9999.0;-9999.0;94.1;-9999.0;;;
2025-12-14;02:22;Usaquen;1;-9999.0;4.8;;-9999.0;-9999.0;35.3;-9999.0;;-9999.0;-9999.0
2025-12-14;02:22;Carvajal - Sevillana;3;;28.0;;;;92.0;1.4;;;2.1
2025-12-14;02:22;Tunal;4;17.5;0.0;1.4;11.8;5.7;47.0;-9999.0;4.3;1.7;0.8
2025-12-14;02:22;Centro de Alto Rendimiento;5;99.3;15.1;10.3;88.1;11.2;41.6;1.64;9.4;-9999.0;1.4
2025-12-14;02:22;Las Ferias;6;48.2;18.0;;32.0;16.2;1.7;0.73;;0.2;
2025-12-14;02:22;Guaymaral;8;114.1;12.0;;99.7;14.3;60.0;0.98;;0.2;3.5
2025-12-14;02:22;Kennedy;9;60.9;14.4;4.1;41.9;19.0;42.1;0.99;9.3;0.1;2.8
2025-12-14;02:22;Suba;11;28.9;10.0;;13.7;15.2;60.0;0.49;;0.6;1.2
2025-12-14;02:22;Puente Aranda;13;72.1;7.5;-9999.0;55.1;17.2;6.2;0.63;0.1;0.9;2.3
2025-12-14;02:22;MinAmbiente;17;17.0;4.0;;7.4;9.5;9.0;0.44;;4.0;0.6
2025-12-14;02:22;San Cristobal;24;-9999.0;4.0;0.3;-9999.0;-9999.0;12.0;0.16;9.5;6.6;0.4
2025-12-14;02:22;Movil 7ma;26;;9.1;;;;45.0;-9999.0;;;
2025-12-14;02:22;Bolivia;27;-0.1;7.9;;0.4;-0.5;43.9;0.89;;0.4;
2025-12-14;02:22;Fontibon;30;45.2;17.0;3.9;29.0;16.2;-9999.0;1.14;10.5;1.8;-9999.0
2025-12-14;02:22;Usme;32;41.2;9.3;;28.7;12.5;53.8;0.38;;0.9;1.6
2025-12-14;02:22;Jazmin;34;88.0;11.9;;68.8;19.2;30.7;0.96;;0.2;1.7
2025-12-14;02:22;Ciudad Bolivar;37;142.5;38.0;7.2;113.2;29.4;103.0;1.42;11.4;0.9;2.0
2025-12-14;02:22;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;02:22;Movil Fontibon;39;-9999.0;20.0;;-9999.0;-9999.0;97.8;-9999.0;;;
2025-12-14;03:31;Usaquen;1;-9999.0;3.8;;-9999.0;-9999.0;35.2;-9999.0;;-9999.0;-9999.0
2025-12-14;03:31;Carvajal - Sevillana;3;;24.0;;;;99.0;1.13;;;1.9
2025-12-14;03:31;Tunal;4;19.8;0.0;1.3;13.5;6.4;55.0;-9999.0;5.2;1.7;0.8
2025-12-14;03:31;Centro de Alto Rendimiento;5;110.1;15.8;10.8;99.4;10.7;48.4;1.69;7.5;-9999.0;1.0
2025-12-14;03:31;Las Ferias;6;70.9;17.0;;54.7;16.1;1.6;0.98;;0.3;
2025-12-14;03:31;Guaymaral;8;110.2;10.0;;99.3;10.9;35.0;0.97;;0.2;3.3
2025-12-14;03:31;Kennedy;9;92.6;22.3;5.3;74.1;18.6;39.3;1.29;11.2;0.1;2.0
2025-12-14;03:31;Suba;11;27.0;8.0;;16.2;10.8;48.7;0.45;;0.6;0.8
2025-12-14;03:31;Puente Aranda;13;60.2;7.8;-9999.0;43.4;16.9;16.4;0.41;0.1;0.6;1.6
2025-12-14;03:31;MinAmbiente;17;17.6;8.0;;8.1;9.6;12.0;0.43;;3.5;0.6
2025-12-14;03:31;San Cristobal;24;-9999.0;4.0;0.4;-9999.0;-9999.0;14.0;0.17;0.8;6.5;0.5
2025-12-14;03:31;Movil 7ma;26;;8.2;;;;46.9;-9999.0;;;
2025-12-14;03:31;Bolivia;27;-0.1;7.2;;0.3;-0.5;65.3;0.85;;0.4;
2025-12-14;03:31;Fontibon;30;59.3;27.0;5.3;44.4;14.9;-9999.0;0.92;8.1;2.0;-9999.0
2025-12-14;03:31;Usme;32;36.2;8.7;;23.6;12.7;76.8;0.29;;1.1;1.2
2025-12-14;03:31;Jazmin;34;79.2;12.8;;60.4;18.8;33.5;0.84;;0.2;1.4
2025-12-14;03:31;Ciudad Bolivar;37;148.3;30.4;7.3;120.3;28.0;100.7;1.33;14.3;0.8;1.9
2025-12-14;03:31;Colina;38;86.3;8.0;;23.5;62.8;2.4;0.7;;-9999.0;0.4
2025-12-14;03:31;Movil Fontibon;39;-9999.0;28.6;;-9999.0;-9999.0;90.5;-9999.0;;;
2025-12-14;04:24;Usaquen;1;-9999.0;6.9;;-9999.0;-9999.0;35.2;-9999.0;;-9999.0;-9999.0
2025-12-14;04:24;Carvajal - Sevillana;3;;28.0;;;;98.0;1.19;;;2.0
2025-12-14;04:24;Tunal;4;17.8;0.0;1.5;11.5;6.3;68.0;-9999.0;6.5;1.6;0.8
