Fecha;Hora;name;stationId;Lluvia;Dir Viento;Rad Solar;Vel Viento;Presion Baro;Temperatura;Humedad;Temperatura 8M
2025-12-28;01:38;San Cristobal;24;0.0;100.0;0.0;0.6;;10.4;64.0;
2025-12-28;01:38;Movil 7ma;26;0.0;133.0;0.0;0.2;562.0;13.4;45.1;
2025-12-28;01:38;Bolivia;27;0.0;51.0;0.0;2.5;565.0;10.6;79.0;
2025-12-28;01:38;Fontibon;30;0.0;30.0;;2.3;564.0;11.1;73.0;
2025-12-28;01:38;Usme;32;0.0;;0.0;;562.0;12.3;;
2025-12-28;01:38;Jazmin;34;0.0;201.0;0.0;1.2;564.0;13.4;60.0;
2025-12-28;01:38;Ciudad Bolivar;37;0.0;;0.0;;557.0;12.7;;
2025-12-28;01:38;Colina;38;0.3;271.0;53.0;0.9;562.0;14.8;;
2025-12-28;01:38;Movil Fontibon;39;;;0.0;;565.0;12.0;;
2025-12-28;02:24;Usaquen;1;0.0;45.0;;0.5;;10.4;;
2025-12-28;02:24;Carvajal - Sevillana;3;0.0;236.0;;2.1;;12.6;;
2025-12-28;02:24;Tunal;4;0.0;187.0;0.0;1.0;563.0;;64.0;
2025-12-28;02:24;Centro de Alto Rendimiento;5;0.0;281.0;0.0;0.1;564.0;4.7;84.0;
2025-12-28;02:24;Las Ferias;6;0.0;20.0;;1.7;563.0;11.3;56.0;
2025-12-28;02:24;Guaymaral;8;0.0;326.0;0.0;0.6;563.0;7.8;78.0;8.0
2025-12-28;02:24;Kennedy;9;0.0;54.0;0.0;0.9;;;71.1;
2025-12-28;02:24;Suba;11;0.0;6.0;;1.2;;7.8;;
2025-12-28;02:24;Puente Aranda;13;0.0;279.0;0.0;0.9;563.0;12.5;73.0;
2025-12-28;02:24;MinAmbiente;17;0.0;-9999.0;;-9999.0;;;;
2025-12-28;02:24;San Cristobal;24;0.0;105.0;0.0;0.9;;9.8;61.0;
2025-12-28;02:24;Movil 7ma;26;0.0;161.0;0.0;0.3;562.0;12.8;48.1;
2025-12-28;02:24;Bolivia;27;0.0;47.0;0.0;2.5;564.0;10.2;80.0;
2025-12-28;02:24;Fontibon;30;0.0;23.0;;2.2;564.0;10.8;73.0;
2025-12-28;02:24;Usme;32;0.0;;0.0;;561.0;11.5;;
2025-12-28;02:24;Jazmin;34;0.0;205.0;0.0;1.2;563.0;13.1;55.0;
2025-12-28;02:24;Ciudad Bolivar;37;0.0;;0.0;;557.0;12.2;;
2025-12-28;02:24;Colina;38;0.3;271.0;53.0;0.9;562.0;14.8;;
2025-12-28;02:24;Movil Fontibon;39;;;0.0;;564.0;11.7;;
2025-12-28;03:32;Usaquen;1;0;72;;0.5;;9;;
2025-12-28;03:32;Carvajal - Sevillana;3;0;237;;2.8;;11.6;;
2025-12-28;03:32;Tunal;4;0;187;0;1;563;;64;
2025-12-28;03:32;Centro de Alto Rendimiento;5;0;357;0;0.1;564;3.8;84;
2025-12-28;03:32;Las Ferias;6;0;357;;1.5;563;10.2;66;
2025-12-28;03:32;Guaymaral;8;0;318;0;0.4;563;6.5;80;6.7
2025-12-28;03:32;Kennedy;9;0;79;0;0.9;;;72.4;
2025-12-28;03:32;Suba;11;0;23;;1.4;;7;;
2025-12-28;03:32;Puente Aranda;13;0;283;0;0.8;563;12.2;71;
2025-12-28;03:32;MinAmbiente;17;0;-9999;;-9999;;;;
2025-12-28;03:32;San Cristobal;24;0;105;0;1.4;;9.1;64;
2025-12-28;03:32;Movil 7ma;26;0;181;0;0.5;561;11.6;51.6;
2025-12-28;03:32;Bolivia;27;0;53;0;2.2;564;9.9;80;
2025-12-28;03:32;Fontibon;30;0;32;;2.3;564;10.5;73;
2025-12-28;03:32;Usme;32;0;;0;;561;10.4;;
2025-12-28;03:32;Jazmin;34;0;189;0;0.8;563;12.2;60;
2025-12-28;03:32;Ciudad Bolivar;37;0;;0;;556;11;;
2025-12-28;03:32;Colina;38;0.3;271;53;0.9;562;14.8;;
2025-12-28;03:32;Movil Fontibon;39;;;0;;564;11.3;;
