Fecha;Hora;name;stationId;Lluvia;Dir Viento;Vel Viento;Temperatura 8M;Humedad;Presion Baro;Temperatura;Rad Solar
2025-10-16;02:23;Movil Fontibon;39;;;;;;564.0;13.3;1.0
2025-10-16;03:32;Usaquen;1;0;307;0.5;;;;12.8;
2025-10-16;03:32;Carvajal - Sevillana;3;1;;;;;;12.5;
2025-10-16;03:32;Tunal;4;0.8;261;1.3;;78;563;;1
2025-10-16;03:32;Centro de Alto Rendimiento;5;0.1;296;1.4;;83;564;11.1;0
2025-10-16;03:32;Las Ferias;6;2.9;260;0.9;;80;563;12.6;
2025-10-16;03:32;Guaymaral;8;0;322;0.7;12;83;563;12.1;0
2025-10-16;03:32;Kennedy;9;0;265;3;;79.9;;;0
2025-10-16;03:32;Suba;11;0;323;0.6;;;;11.9;
2025-10-16;03:32;Puente Aranda;13;0.1;235;2.3;;90;563;13;0
2025-10-16;03:32;MinAmbiente;17;0.6;-9999;-9999;;;;;
2025-10-16;03:32;San Cristobal;24;1.8;216;0.5;;80;;11.3;0
2025-10-16;03:32;Movil 7ma;26;0;228;0.6;;71.5;561;13.4;0
2025-10-16;03:32;Bolivia;27;2.2;327;0.9;;93;564;12.4;0
2025-10-16;03:32;Fontibon;30;6.3;249;2;;90;564;12;
2025-10-16;03:32;Usme;32;0.4;;;;;561;12.5;0
2025-10-16;03:32;Jazmin;34;0;243;2;;85;563;13.2;0
2025-10-16;03:32;Ciudad Bolivar;37;1.1;;;;;557;11.4;0
2025-10-16;03:32;Colina;38;0;328;0.7;;;563;12.7;0
2025-10-16;03:32;Movil Fontibon;39;;;;;;564;12.5;1
