Fecha;Hora;name;stationId;Temperatura;Dir Viento;Presion Baro;Vel Viento;Lluvia;Rad Solar;Humedad;Temperatura 8M
2026-01-11;03:32;Ciudad Bolivar;37;12.3;;556.0;;0.0;0.0;;
2026-01-11;03:32;Colina;38;16.5;169.0;563.0;1.8;0.0;93.0;;
2026-01-11;03:32;Movil Fontibon;39;13.4;;564.0;;;0.0;;
2026-01-11;04:26;Usaquen;1;13.1;129;;2.1;0;;;
2026-01-11;04:26;Carvajal - Sevillana;3;11.9;243;;1.6;0;;;
2026-01-11;04:26;Tunal;4;;193;562;0.8;0;0;75;
2026-01-11;04:26;Centro de Alto Rendimiento;5;12;307;564;1.7;0;0;89;
2026-01-11;04:26;Las Ferias;6;13.1;279;563;0.9;0;;73;
2026-01-11;04:26;Guaymaral;8;10.8;305;563;0.7;0;0;82;10.7
2026-01-11;04:26;Kennedy;9;;210;;0.8;0;0;82.1;
2026-01-11;04:26;Suba;11;11.5;21;;1.4;0;;;
2026-01-11;04:26;Puente Aranda;13;13.5;218;562;1.2;0;0;81;
2026-01-11;04:26;MinAmbiente;17;;-9999;;-9999;0;;;
2026-01-11;04:26;San Cristobal;24;11.8;20;;0.2;0;0;76;
2026-01-11;04:26;Movil 7ma;26;13.9;302;561;0.4;0;0;66.7;
2026-01-11;04:26;Bolivia;27;12.6;355;564;0.8;0;0;88;
2026-01-11;04:26;Fontibon;30;12.4;278;563;0.9;0;;86;
2026-01-11;04:26;Usme;32;12.5;;561;;0;0;;
2026-01-11;04:26;Jazmin;34;13.3;209;563;0.5;0;0;78;
2026-01-11;04:26;Ciudad Bolivar;37;12.8;;556;;0;0;;
2026-01-11;04:26;Colina;38;16.5;169;563;1.8;0;93;;
2026-01-11;04:26;Movil Fontibon;39;12.8;;564;;;0;;
