Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Dir Viento;Lluvia;Temperatura;Presion Baro;Rad Solar;Vel Viento
2025-11-08;02:20;Usme;32;;;;0.0;11.2;561.0;0.0;
2025-11-08;02:20;Jazmin;34;78.0;;236.0;0.0;13.0;563.0;0.0;0.4
2025-11-08;02:20;Ciudad Bolivar;37;;;;0.0;10.9;556.0;0.0;
2025-11-08;02:20;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;02:20;Movil Fontibon;39;;;;;12.6;564.0;0.0;
2025-11-08;03:28;Usaquen;1;;;39.0;0.0;10.1;;;0.2
2025-11-08;03:28;Carvajal - Sevillana;3;;;249.0;0.0;11.4;;;2.2
2025-11-08;03:28;Tunal;4;71.0;;209.0;0.0;;562.0;1.0;0.6
2025-11-08;03:28;Centro de Alto Rendimiento;5;88.0;;332.0;0.1;8.1;563.0;0.0;0.3
2025-11-08;03:28;Las Ferias;6;80.0;;350.0;0.0;10.8;563.0;;1.0
2025-11-08;03:28;Guaymaral;8;85.0;8.2;312.0;0.0;7.9;563.0;0.0;0.7
2025-11-08;03:28;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;03:28;Suba;11;;;42.0;0.0;9.4;;;1.4
2025-11-08;03:28;Puente Aranda;13;84.0;;242.0;0.0;12.9;562.0;0.0;1.0
2025-11-08;03:28;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;03:28;San Cristobal;24;76.0;;108.0;0.0;9.3;;0.0;2.1
2025-11-08;03:28;Movil 7ma;26;64.9;;171.0;0.0;-53.1;561.0;0.0;0.8
2025-11-08;03:28;Bolivia;27;87.0;;80.0;0.0;11.6;564.0;0.0;1.4
2025-11-08;03:28;Fontibon;30;88.0;;48.0;0.0;11.3;563.0;;1.2
2025-11-08;03:28;Usme;32;;;;0.0;10.7;561.0;0.0;
2025-11-08;03:28;Jazmin;34;81.0;;260.0;0.0;12.6;563.0;0.0;0.4
2025-11-08;03:28;Ciudad Bolivar;37;;;;0.0;11.1;556.0;0.0;
2025-11-08;03:28;Colina;38;;;271.0;0.3;14.8;562.0;53.0;0.9
2025-11-08;03:28;Movil Fontibon;39;;;;;12.3;563.0;0.0;
2025-11-08;04:21;Usaquen;1;;;124.0;0.0;9.6;;;0.8
2025-11-08;04:21;Carvajal - Sevillana;3;;;257.0;0.0;10.8;;;1.7
2025-11-08;04:21;Tunal;4;76.0;;244.0;0.0;;562.0;1.0;0.6
2025-11-08;04:21;Centro de Alto Rendimiento;5;86.0;;306.0;0.0;7.4;564.0;0.0;0.3
2025-11-08;04:21;Las Ferias;6;81.0;;340.0;0.0;10.3;563.0;;0.9
2025-11-08;04:21;Guaymaral;8;85.0;7.6;291.0;0.0;7.2;563.0;0.0;0.6
2025-11-08;04:21;Kennedy;9;46.2;;174.0;0.0;;;615.0;1.7
2025-11-08;04:21;Suba;11;;;34.0;0.0;8.9;;;1.2
2025-11-08;04:21;Puente Aranda;13;81.0;;241.0;0.0;12.3;562.0;0.0;0.9
2025-11-08;04:21;MinAmbiente;17;;;-9999.0;0.0;;;;-9999.0
2025-11-08;04:21;San Cristobal;24;78.0;;115.0;0.0;8.9;;0.0;1.6
2025-11-08;04:21;Movil 7ma;26;64.8;;170.0;0.0;-43.0;561.0;0.0;0.8
2025-11-08;04:21;Bolivia;27;90.0;;349.0;0.0;10.2;564.0;0.0;1.0
2025-11-08;04:21;Fontibon;30;89.0;;6.0;0.0;10.7;563.0;;0.8
2025-11-08;04:21;Usme;32;;;;0.0;10.3;561.0;0.0;
2025-11-08;04:21;Jazmin;34;84.0;;213.0;0.0;11.5;563.0;0.0;0.4
