Fecha;Hora;name;stationId;Humedad;Temperatura 8M;Vel Viento;Temperatura;Rad Solar;Dir Viento;Presion Baro;Lluvia
2025-10-28;02:22;Colina;38;;;0.9;14.8;53.0;271.0;562.0;0.3
2025-10-28;02:22;Movil Fontibon;39;;;;13.8;0.0;;564.0;
2025-10-28;03:32;Usaquen;1;;;0.2;12.7;;267.0;;0.0
2025-10-28;03:32;Carvajal - Sevillana;3;;;2.3;13.9;;235.0;;0.0
2025-10-28;03:32;Tunal;4;82.0;;1.0;;1.0;167.0;562.0;0.0
2025-10-28;03:32;Centro de Alto Rendimiento;5;89.0;;0.3;9.1;0.0;277.0;564.0;0.0
2025-10-28;03:32;Las Ferias;6;82.0;;1.0;11.9;;327.0;563.0;0.0
2025-10-28;03:32;Guaymaral;8;86.0;10.3;0.7;10.3;0.0;311.0;563.0;0.0
2025-10-28;03:32;Kennedy;9;86.0;;1.0;;0.0;116.0;;0.0
2025-10-28;03:32;Suba;11;;;1.7;10.5;;21.0;;0.0
2025-10-28;03:32;Puente Aranda;13;90.0;;0.8;14.0;0.0;276.0;563.0;0.0
2025-10-28;03:32;MinAmbiente;17;;;-9999.0;;;-9999.0;;0.1
2025-10-28;03:32;San Cristobal;24;86.0;;0.2;10.8;0.0;107.0;;0.0
2025-10-28;03:32;Movil 7ma;26;72.4;;0.2;13.0;0.0;211.0;561.0;0.0
2025-10-28;03:32;Bolivia;27;93.0;;1.5;11.8;0.0;22.0;564.0;0.0
2025-10-28;03:32;Fontibon;30;90.0;;1.0;12.3;;15.0;564.0;0.0
2025-10-28;03:32;Usme;32;;;;13.4;0.0;;561.0;0.0
2025-10-28;03:32;Jazmin;34;88.0;;0.4;13.3;0.0;273.0;563.0;0.0
2025-10-28;03:32;Ciudad Bolivar;37;;;;13.4;0.0;;557.0;0.0
2025-10-28;03:32;Colina;38;;;0.9;14.8;53.0;271.0;562.0;0.3
2025-10-28;03:32;Movil Fontibon;39;;;;13.3;0.0;;564.0;
2025-10-28;04:26;Usaquen;1;;;0.6;12.3;;112;;0
2025-10-28;04:26;Carvajal - Sevillana;3;;;2.3;13.8;;238;;0
2025-10-28;04:26;Tunal;4;81;;1.2;;1;159;562;0
2025-10-28;04:26;Centro de Alto Rendimiento;5;89;;0.1;9.1;0;136;564;0
2025-10-28;04:26;Las Ferias;6;82;;0.4;11.5;;299;563;0.1
2025-10-28;04:26;Guaymaral;8;86;10.8;0.8;10.5;0;340;563;0
2025-10-28;04:26;Kennedy;9;85.9;;1.2;;0;97;;0
2025-10-28;04:26;Suba;11;;;1.9;10;;22;;0
2025-10-28;04:26;Puente Aranda;13;94;;0.9;13.6;0;4;563;0
2025-10-28;04:26;MinAmbiente;17;;;-9999;;;-9999;;0
2025-10-28;04:26;San Cristobal;24;86;;0.6;10.9;0;57;;0
2025-10-28;04:26;Movil 7ma;26;74.2;;0.1;12.8;0;185;561;0
2025-10-28;04:26;Bolivia;27;93;;2;11.4;0;54;564;0
2025-10-28;04:26;Fontibon;30;90;;2.1;11.7;;27;564;0
2025-10-28;04:26;Usme;32;;;;13.3;0;;561;0
2025-10-28;04:26;Jazmin;34;92;;0.7;13.3;0;348;563;0
2025-10-28;04:26;Ciudad Bolivar;37;;;;13.2;0;;557;0
2025-10-28;04:26;Colina;38;;;0.9;14.8;53;271;562;0.3
2025-10-28;04:26;Movil Fontibon;39;;;;12.6;0;;564;
