Fecha;Hora;name;stationId;Humedad;Dir Viento;Temperatura 8M;Lluvia;Presion Baro;Vel Viento;Rad Solar;Temperatura
2025-11-27;01:38;Puente Aranda;13;87.0;191.0;;0.0;563.0;1.6;0.0;14.1
2025-11-27;01:38;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;01:38;San Cristobal;24;85.0;148.0;;0.1;;0.5;0.0;11.8
2025-11-27;01:38;Movil 7ma;26;68.1;131.0;;0.0;562.0;0.6;0.0;14.3
2025-11-27;01:38;Bolivia;27;93.0;39.0;;0.0;564.0;0.5;0.0;12.8
2025-11-27;01:38;Fontibon;30;88.0;57.0;;0.1;564.0;1.2;;12.9
2025-11-27;01:38;Usme;32;;;;0.0;562.0;;0.0;13.2
2025-11-27;01:38;Jazmin;34;89.0;206.0;;0.0;563.0;0.7;0.0;14.0
2025-11-27;01:38;Ciudad Bolivar;37;;;;0.0;557.0;;0.0;13.2
2025-11-27;01:38;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;01:38;Movil Fontibon;39;;;;;564.0;;0.0;13.8
2025-11-27;02:24;Usaquen;1;;37.0;;0.0;;0.4;;13.2
2025-11-27;02:24;Carvajal - Sevillana;3;;258.0;;0.0;;2.5;;13.7
2025-11-27;02:24;Tunal;4;80.0;204.0;;0.0;562.0;0.8;1.0;
2025-11-27;02:24;Centro de Alto Rendimiento;5;86.0;290.0;;0.0;564.0;1.4;0.0;13.6
2025-11-27;02:24;Las Ferias;6;79.0;275.0;;0.0;563.0;0.4;;13.1
2025-11-27;02:24;Guaymaral;8;80.0;292.0;12.7;0.0;563.0;0.6;0.0;12.8
2025-11-27;02:24;Kennedy;9;78.7;179.0;;0.0;;1.1;0.0;
2025-11-27;02:24;Suba;11;;336.0;;0.0;;0.6;;12.1
2025-11-27;02:24;Puente Aranda;13;87.0;196.0;;0.0;563.0;1.3;0.0;14.0
2025-11-27;02:24;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;02:24;San Cristobal;24;85.0;271.0;;0.1;;0.2;0.0;11.6
2025-11-27;02:24;Movil 7ma;26;61.8;302.0;;0.0;561.0;0.9;0.0;14.3
2025-11-27;02:24;Bolivia;27;92.0;356.0;;0.0;564.0;0.7;0.0;13.0
2025-11-27;02:24;Fontibon;30;89.0;27.0;;0.0;564.0;0.5;;13.2
2025-11-27;02:24;Usme;32;;;;0.0;561.0;;0.0;13.1
2025-11-27;02:24;Jazmin;34;88.0;205.0;;0.0;563.0;0.7;0.0;13.9
2025-11-27;02:24;Ciudad Bolivar;37;;;;0.0;557.0;;0.0;12.9
2025-11-27;02:24;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;02:24;Movil Fontibon;39;;;;;564.0;;1.0;14.2
2025-11-27;03:33;Usaquen;1;;13.0;;0.0;;0.7;;12.9
2025-11-27;03:33;Carvajal - Sevillana;3;;252.0;;0.0;;2.7;;13.9
2025-11-27;03:33;Tunal;4;78.0;239.0;;0.0;562.0;0.9;1.0;
2025-11-27;03:33;Centro de Alto Rendimiento;5;81.0;49.0;;0.0;564.0;0.4;0.0;13.5
2025-11-27;03:33;Las Ferias;6;70.0;11.0;;0.0;563.0;1.3;;13.3
2025-11-27;03:33;Guaymaral;8;79.0;45.0;12.4;0.0;563.0;0.9;0.0;12.5
2025-11-27;03:33;Kennedy;9;77.8;162.0;;0.0;;0.8;0.0;
2025-11-27;03:33;Suba;11;;59.0;;0.0;;1.4;;12.0
2025-11-27;03:33;Puente Aranda;13;84.0;246.0;;0.0;562.0;1.0;0.0;14.2
2025-11-27;03:33;MinAmbiente;17;;-9999.0;;0.0;;-9999.0;;
2025-11-27;03:33;San Cristobal;24;77.0;168.0;;0.0;;0.4;0.0;12.0
2025-11-27;03:33;Movil 7ma;26;59.3;323.0;;0.0;561.0;0.4;0.0;14.5
2025-11-27;03:33;Bolivia;27;88.0;58.0;;0.0;564.0;1.6;0.0;13.2
2025-11-27;03:33;Fontibon;30;88.0;17.0;;0.0;563.0;1.1;;13.1
2025-11-27;03:33;Usme;32;;;;0.0;561.0;;0.0;13.1
2025-11-27;03:33;Jazmin;34;86.0;279.0;;0.0;563.0;0.7;0.0;13.7
2025-11-27;03:33;Ciudad Bolivar;37;;;;0.0;556.0;;0.0;13.1
2025-11-27;03:33;Colina;38;;271.0;;0.3;562.0;0.9;53.0;14.8
2025-11-27;03:33;Movil Fontibon;39;;;;;564.0;;0.0;14.0
2025-11-27;04:27;Usaquen;1;;48.0;;0.0;;1.3;;12.0
2025-11-27;04:27;Carvajal - Sevillana;3;;257.0;;0.0;;1.8;;13.8
2025-11-27;04:27;Tunal;4;78.0;199.0;;0.0;562.0;0.8;1.0;
2025-11-27;04:27;Centro de Alto Rendimiento;5;72.0;100.0;;0.0;564.0;2.2;0.0;13.4
2025-11-27;04:27;Las Ferias;6;67.0;9.0;;0.0;563.0;2.1;;12.9
2025-11-27;04:27;Guaymaral;8;77.0;188.0;12.0;0.0;563.0;0.7;0.0;11.9
