Fecha;Hora;name;stationId;NO2;PM25;CO;OZONO;SO2;NO;BBP;eBC;NOX;PM10
2025-11-08;06:17;Guaymaral;8;20.5;28.0;0.86;-0.2;4.5;186.1;;;206.7;53.0
2025-11-08;06:17;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3.0;28.5;31.6
2025-11-08;06:17;Suba;11;16.6;28.0;0.6;0.7;1.9;37.4;;;54.0;39.1
2025-11-08;06:17;Puente Aranda;13;29.0;22.6;0.98;0.8;1.7;132.0;0.1;-9999.0;159.5;49.1
2025-11-08;06:17;MinAmbiente;17;9.6;6.0;0.63;1.7;0.1;14.9;;;24.4;15.0
2025-11-08;06:17;San Cristobal;24;7.3;5.0;0.32;4.6;-0.2;7.4;1.9;0.8;14.7;11.0
2025-11-08;06:17;Movil 7ma;26;;10.0;-9999.0;;;;;;;44.1
2025-11-08;06:17;Bolivia;27;18.1;26.2;1.16;0.3;;43.2;;;61.3;60.6
2025-11-08;06:17;Fontibon;30;26.2;33.6;0.96;0.6;-9999.0;68.9;6.3;9.9;94.9;-9999.0
2025-11-08;06:17;Usme;32;27.9;13.4;0.76;0.9;2.0;65.5;;;93.4;45.9
2025-11-08;06:17;Jazmin;34;21.9;15.2;1.45;0.1;0.9;118.4;;;140.3;50.0
2025-11-08;06:17;Ciudad Bolivar;37;-9999.0;23.5;0.98;0.7;0.9;-9999.0;11.8;11.2;-9999.0;90.8
2025-11-08;06:17;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;06:17;Movil Fontibon;39;-9999.0;17.4;-9999.0;;;-9999.0;;;-9999.0;56.9
2025-11-08;07:42;Usaquen;1;-9999.0;4.8;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;21.5
2025-11-08;07:42;Carvajal - Sevillana;3;;95.0;2.83;;3.1;;;;;187.0
2025-11-08;07:42;Tunal;4;16.2;28.0;-9999.0;2.0;2.2;55.4;2.3;7.6;71.6;114.0
2025-11-08;07:42;Centro de Alto Rendimiento;5;10.0;12.5;0.81;0.0;1.5;51.5;3.3;9.6;61.5;28.2
2025-11-08;07:42;Las Ferias;6;18.5;23.0;0.64;1.5;;45.2;;;63.6;15.6
2025-11-08;07:42;Guaymaral;8;19.6;24.0;0.98;0.2;3.0;115.0;;;134.6;48.0
2025-11-08;07:42;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3.0;28.5;31.6
2025-11-08;07:42;Suba;11;12.1;35.0;0.59;1.5;2.7;28.9;;;41.0;42.6
2025-11-08;07:42;Puente Aranda;13;28.9;24.7;0.7;1.2;1.6;87.6;0.1;-9999.0;115.2;59.9
2025-11-08;07:42;MinAmbiente;17;8.7;7.0;0.85;2.5;0.1;30.4;;;39.1;9.0
2025-11-08;07:42;San Cristobal;24;11.1;7.0;0.65;3.0;-0.1;19.8;1.9;1.2;30.9;27.0
2025-11-08;07:42;Movil 7ma;26;;7.4;-9999.0;;;;;;;36.7
2025-11-08;07:42;Bolivia;27;14.7;24.2;0.75;2.5;;14.8;;;29.5;63.4
2025-11-08;07:42;Fontibon;30;31.1;36.2;0.9;1.1;-9999.0;62.7;1.2;9.6;93.8;-9999.0
2025-11-08;07:42;Usme;32;23.3;14.0;1.03;2.0;1.9;59.1;;;82.4;50.0
2025-11-08;07:42;Jazmin;34;28.2;26.3;2.31;0.4;1.2;157.9;;;186.0;50.4
2025-11-08;07:42;Ciudad Bolivar;37;-9999.0;17.4;0.79;1.3;1.5;-9999.0;5.6;7.5;-9999.0;100.6
2025-11-08;07:42;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;07:42;Movil Fontibon;39;-9999.0;18.6;-9999.0;;;-9999.0;;;-9999.0;73.1
2025-11-08;08:26;Usaquen;1;-9999.0;8.4;-9999.0;-9999.0;-9999.0;-9999.0;;;-9999.0;44.6
2025-11-08;08:26;Carvajal - Sevillana;3;;56.0;1.97;;4.8;;;;;152.0
2025-11-08;08:26;Tunal;4;25.9;35.0;-9999.0;4.7;3.2;81.4;3.8;9.1;107.3;69.0
2025-11-08;08:26;Centro de Alto Rendimiento;5;17.7;25.3;0.96;0.0;2.2;48.3;4.2;10.5;66.0;29.3
2025-11-08;08:26;Las Ferias;6;18.0;22.0;0.51;7.3;;31.0;;;49.0;29.2
2025-11-08;08:26;Guaymaral;8;21.9;20.0;0.77;3.0;2.0;50.8;;;72.8;52.0
2025-11-08;08:26;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3.0;28.5;31.6
2025-11-08;08:26;Suba;11;11.6;23.0;0.53;4.2;4.6;22.3;;;34.0;53.5
2025-11-08;08:26;Puente Aranda;13;32.9;21.8;0.7;2.6;1.7;69.7;0.1;-9999.0;102.6;61.6
2025-11-08;08:26;MinAmbiente;17;15.6;16.0;1.19;4.3;0.4;47.4;;;63.0;21.0
2025-11-08;08:26;San Cristobal;24;19.8;13.0;0.91;4.7;0.4;31.6;2.3;2.6;51.4;29.0
2025-11-08;08:26;Movil 7ma;26;;12.7;-9999.0;;;;;;;34.5
2025-11-08;08:26;Bolivia;27;17.4;23.6;0.73;5.5;;22.3;;;39.8;51.1
2025-11-08;08:26;Fontibon;30;33.4;29.3;0.57;5.2;-9999.0;30.7;4.1;5.0;64.0;-9999.0
2025-11-08;08:26;Usme;32;30.4;15.6;1.11;3.8;5.3;59.0;;;89.4;55.5
2025-11-08;08:26;Jazmin;34;41.2;28.2;1.79;2.3;1.4;102.5;;;143.7;70.3
2025-11-08;08:26;Ciudad Bolivar;37;-9999.0;17.9;1.29;3.6;4.3;-9999.0;6.1;11.1;-9999.0;88.9
2025-11-08;08:26;Colina;38;62.8;8.0;0.7;-9999.0;0.4;23.5;;;86.3;2.4
2025-11-08;08:26;Movil Fontibon;39;-9999.0;14.3;-9999.0;;;-9999.0;;;-9999.0;83.0
2025-11-08;09:19;Usaquen;1;-9999;10.5;-9999;-9999;-9999;-9999;;;-9999;36.7
2025-11-08;09:19;Carvajal - Sevillana;3;;36;0.87;;3.4;;;;;114
2025-11-08;09:19;Tunal;4;13.6;15;-9999;13.9;1.8;23.1;7.7;5.2;36.7;87
2025-11-08;09:19;Centro de Alto Rendimiento;5;22.4;19;0.92;0;2.8;31.9;2.5;7.8;54.3;38.3
2025-11-08;09:19;Las Ferias;6;16.2;17;0.43;14;;20.1;;;36.3;21.9
2025-11-08;09:19;Guaymaral;8;13.2;14;0.38;11.7;1.1;9.9;;;23.1;32
2025-11-08;09:19;Kennedy;9;12.4;16.7;0.69;15.7;-0.5;16.1;4.5;3;28.5;31.6
2025-11-08;09:19;Suba;11;8.2;19;0.4;9;2.2;11.4;;;19.6;45.8
2025-11-08;09:19;Puente Aranda;13;39.6;30.9;0.6;6.5;1.3;43.6;0.1;-9999;82.9;96.3
2025-11-08;09:19;MinAmbiente;17;26.2;20;1.04;11.2;0.5;36.9;;;63.1;37
2025-11-08;09:19;San Cristobal;24;30.1;18;1.1;12.1;0.7;23.7;4.3;3.5;53.8;44
2025-11-08;09:19;Movil 7ma;26;;15.8;-9999;;;;;;;38.8
2025-11-08;09:19;Bolivia;27;19.1;20.5;0.66;8.1;;19.5;;;38.6;45.1
2025-11-08;09:19;Fontibon;30;22.5;18.4;0.56;10.2;-9999;22.8;7.2;4.1;45.3;-9999
2025-11-08;09:19;Usme;32;30.6;22.2;1.01;11.4;3.1;56.1;;;86.7;63.6
2025-11-08;09:19;Jazmin;34;30.4;39.6;0.79;12;1;23.8;;;54.2;78
2025-11-08;09:19;Ciudad Bolivar;37;-9999;26.1;0.35;13;2.2;-9999;5.5;4.8;-9999;83.6
2025-11-08;09:19;Colina;38;62.8;8;0.7;-9999;0.4;23.5;;;86.3;2.4
2025-11-08;09:19;Movil Fontibon;39;-9999;11.2;-9999;;;-9999;;;-9999;52.8
