Fecha;Hora;name;stationId;Vel Viento;Temperatura 8M;Dir Viento;Lluvia;Humedad;Rad Solar;Temperatura;Presion Baro
2025-12-25;03:34;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;03:34;San Cristobal;24;0.7;;303.0;0.0;83.0;0.0;12.2;
2025-12-25;03:34;Movil 7ma;26;0.3;;31.0;0.0;70.2;0.0;14.1;561.0
2025-12-25;03:34;Bolivia;27;1.1;;313.0;0.0;88.0;0.0;12.7;564.0
2025-12-25;03:34;Fontibon;30;1.9;;345.0;0.0;88.0;;12.7;563.0
2025-12-25;03:34;Usme;32;;;;0.0;;0.0;13.4;561.0
2025-12-25;03:34;Jazmin;34;1.7;;306.0;0.0;91.0;0.0;13.5;563.0
2025-12-25;03:34;Ciudad Bolivar;37;;;;0.0;;0.0;12.5;556.0
2025-12-25;03:34;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;03:34;Movil Fontibon;39;;;;;;0.0;13.4;563.0
2025-12-25;04:28;Usaquen;1;0.9;;346.0;0.0;;;12.7;
2025-12-25;04:28;Carvajal - Sevillana;3;1.5;;53.0;0.0;;;13.6;
2025-12-25;04:28;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;04:28;Centro de Alto Rendimiento;5;1.4;;320.0;0.0;84.0;0.0;12.0;563.0
2025-12-25;04:28;Las Ferias;6;1.1;;296.0;0.0;74.0;;12.5;563.0
2025-12-25;04:28;Guaymaral;8;0.5;11.1;276.0;0.0;80.0;0.0;11.3;562.0
2025-12-25;04:28;Kennedy;9;1.5;;339.0;0.0;83.3;0.0;;
2025-12-25;04:28;Suba;11;0.4;;13.0;0.0;;;10.9;
2025-12-25;04:28;Puente Aranda;13;1.1;;270.0;0.0;92.0;0.0;13.5;562.0
2025-12-25;04:28;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;04:28;San Cristobal;24;0.3;;286.0;0.0;84.0;0.0;12.0;
2025-12-25;04:28;Movil 7ma;26;0.6;;73.0;0.0;69.9;0.0;13.7;561.0
2025-12-25;04:28;Bolivia;27;0.8;;325.0;0.0;88.0;0.0;12.2;563.0
2025-12-25;04:28;Fontibon;30;1.7;;351.0;0.0;87.0;;12.3;563.0
2025-12-25;04:28;Usme;32;;;;0.0;;0.0;13.2;561.0
2025-12-25;04:28;Jazmin;34;1.1;;301.0;0.0;91.0;0.0;13.4;563.0
2025-12-25;04:28;Ciudad Bolivar;37;;;;0.0;;0.0;12.4;556.0
2025-12-25;04:28;Colina;38;0.9;;271.0;0.3;;53.0;14.8;562.0
2025-12-25;04:28;Movil Fontibon;39;;;;;;0.0;13.1;563.0
2025-12-25;05:27;Usaquen;1;0.5;;358.0;0.0;;;11.7;
2025-12-25;05:27;Carvajal - Sevillana;3;1.8;;53.0;0.0;;;13.2;
2025-12-25;05:27;Tunal;4;1.0;;187.0;0.0;64.0;0.0;;563.0
2025-12-25;05:27;Centro de Alto Rendimiento;5;1.5;;323.0;0.0;85.0;0.0;11.5;564.0
2025-12-25;05:27;Las Ferias;6;0.5;;282.0;0.0;76.0;;12.1;563.0
2025-12-25;05:27;Guaymaral;8;0.5;10.1;302.0;0.0;81.0;0.0;10.2;563.0
2025-12-25;05:27;Kennedy;9;1.5;;348.0;0.0;82.9;0.0;;
2025-12-25;05:27;Suba;11;0.8;;18.0;0.0;;;10.2;
2025-12-25;05:27;Puente Aranda;13;1.3;;270.0;0.0;92.0;0.0;13.0;562.0
2025-12-25;05:27;MinAmbiente;17;-9999.0;;-9999.0;0.0;;;;
2025-12-25;05:27;San Cristobal;24;0.7;;314.0;0.0;84.0;0.0;11.9;
2025-12-25;05:27;Movil 7ma;26;0.5;;81.0;0.0;69.3;0.0;13.5;561.0
2025-12-25;05:27;Bolivia;27;0.8;;333.0;0.0;86.0;0.0;11.8;564.0
2025-12-25;05:27;Fontibon;30;1.0;;338.0;0.0;87.0;;11.8;563.0
2025-12-25;05:27;Usme;32;;;;0.0;;0.0;13.1;561.0
2025-12-25;05:27;Jazmin;34;1.3;;306.0;0.0;90.0;0.0;13.1;563.0
